t,norm,peak,PR,R_rms,k_star,k_star_L,crystallinity,i_star
0.0,0.5000000000000001,0.7183484884547973,1.9686627096041145,0.6123724353664733,0.47123889803846897,9.42477796076938,0.9952294968707961,1
0.04,0.5000000000000034,0.7621880475257075,1.9660953225918008,0.6162785303326621,0.47123889803846897,9.42477796076938,0.9952096516420073,1
0.08,0.5000000000000072,0.8396785861588811,1.9717313424658687,0.6280642537504999,0.47123889803846897,9.42477796076938,0.9951525181229005,1
0.12,0.5000000000000107,0.866182384684159,2.0294695895347488,0.6475293283687903,0.47123889803846897,9.42477796076938,0.9950615111983174,1
0.16,0.5000000000000141,0.8149188635053062,2.188037700227965,0.6742278802211904,0.47123889803846897,9.42477796076938,0.9949411515365301,1
0.2,0.5000000000000177,0.7085673485137047,2.477358826983913,0.707625352135004,0.47123889803846897,9.42477796076938,0.9947987630305992,1
0.24,0.5000000000000213,0.5841532438831069,2.915673287309646,0.7471421563433509,0.47123889803846897,9.42477796076938,0.9946435257572664,1
0.28,0.5000000000000245,0.4688417545256788,3.519716492076912,0.7921624988255471,0.47123889803846897,9.42477796076938,0.9944842140128067,1
0.32,0.5000000000000275,0.3728360634912903,4.3094627291048315,0.8420543201390133,0.47123889803846897,9.42477796076938,0.9943276881846681,1
0.36,0.5000000000000311,0.29600080309139815,5.308213860971668,0.8961983815138229,0.47123889803846897,9.42477796076938,0.9941785448151689,1
0.4,0.5000000000000344,0.23553106413190428,6.541373460774763,0.9540154235696959,0.47123889803846897,9.42477796076938,0.9940394324965921,1
0.44,0.5000000000000376,0.18849925004634246,8.03563961792496,1.0149832583724365,0.47123889803846897,9.42477796076938,0.99391157170801,1
0.48,0.5000000000000411,0.15205041574559575,9.818583791431275,1.0786437968452869,0.47123889803846897,9.42477796076938,0.9937952374612348,1
0.52,0.5000000000000444,0.12373195404237738,11.918409062416798,1.1446027938026215,0.47123889803846897,9.42477796076938,0.9936901265365365,1
0.56,0.5000000000000477,0.10162686542891923,14.363801518247765,1.2125251777457227,0.47123889803846897,9.42477796076938,0.9935956098330192,1
0.6,0.5000000000000507,0.08422724060782637,17.183819628317888,1.2821283113696578,0.47123889803846897,9.42477796076938,0.9935108955133523,1
0.64,0.5000000000000536,0.07040504860210578,20.407810778963217,1.3531746985897612,0.47123889803846897,9.42477796076938,0.9934351302918368,1
0.68,0.5000000000000571,0.0593408510255927,24.065347344293258,1.4254649984521621,0.47123889803846897,9.42477796076938,0.9933674602045742,1
0.72,0.5000000000000604,0.05040282882668296,28.186177174108135,1.498831768901533,0.47123889803846897,9.42477796076938,0.9933070655723065,1
0.76,0.5000000000000631,0.04311541502838477,32.80018645857839,1.5731340741956747,0.47123889803846897,9.42477796076938,0.9932531798073582,1
0.8,0.5000000000000664,0.03713091772765918,37.9373708047537,1.6482529401306614,0.47123889803846897,9.42477796076938,0.9932050982247047,1
0.84,0.5000000000000697,0.032177573815163105,43.627812659681474,1.7240875796585786,0.47123889803846897,9.42477796076938,0.9931621807305887,1
0.88,0.5000000000000728,0.028045990163095957,49.90166387791313,1.8005522844805486,0.47123889803846897,9.42477796076938,0.9931238508405885,1
0.92,0.5000000000000758,0.024577864186800212,56.7891320564731,1.877573874169232,0.47123889803846897,9.42477796076938,0.9930895925811325,1
0.96,0.500000000000079,0.021647006568380513,64.32046975303786,1.9550896058719947,0.47123889803846897,9.42477796076938,0.9930589462526049,1
1.0,0.5000000000000818,0.019155794500698133,72.52596604493344,2.0330454589202347,0.47123889803846897,9.42477796076938,0.9930315036758373,1
1.04,0.5000000000000853,0.017026531553567783,81.43593978197913,2.1113947175455188,0.47123889803846897,9.42477796076938,0.9930069033118208,1
1.08,0.5000000000000886,0.015195130531245809,91.08073426309745,2.1900967855233042,0.47123889803846897,9.42477796076938,0.9929848254919488,1
1.12,0.5000000000000918,0.013613965324310574,101.490713009484,2.2691161786810925,0.47123889803846897,9.42477796076938,0.9929649879014607,1
1.16,0.500000000000095,0.012242611269445485,112.69625600147181,2.348421660001811,0.47123889803846897,9.42477796076938,0.9929471413911906,1
1.2,0.5000000000000983,0.011045115706815259,124.72775760552854,2.4279855101773977,0.47123889803846897,9.42477796076938,0.9929310661506257,1
1.24,0.5000000000001016,0.009997558039768477,137.61562357649896,2.5077829411285815,0.47123889803846897,9.42477796076938,0.9929165682535105,1
1.28,0.5000000000001047,0.00907837804455121,151.39026886464248,2.58779162112008,0.47123889803846897,9.42477796076938,0.9929034765646476,1
1.32,0.5000000000001084,0.008265073631717405,166.0821186472341,2.667991187368858,0.47123889803846897,9.42477796076938,0.9928916399861659,1
1.36,0.5000000000001114,0.007545372484189308,181.72160276558333,2.7483625814302517,0.47123889803846897,9.42477796076938,0.9928809250230042,1
1.4000000000000001,0.5000000000001147,0.006908234870921606,198.33915712196713,2.8288872168528014,0.47123889803846897,9.42477796076938,0.9928712136365704,1
1.44,0.5000000000001183,0.006337910554464505,215.9652272904507,2.909546341920662,0.47123889803846897,9.42477796076938,0.9928624013542195,1
1.48,0.5000000000001217,0.005827785641561563,234.63025418258104,2.9903210747071074,0.47123889803846897,9.42477796076938,0.9928543956145455,1
1.52,0.5000000000001251,0.0053733641117328715,254.364688372782,3.0711930709737567,0.47123889803846897,9.42477796076938,0.9928471143223225,1
1.56,0.5000000000001288,0.0049624922978479665,275.19898916933823,3.1521450624337777,0.47123889803846897,9.42477796076938,0.9928404845806832,1
1.6,0.5000000000001322,0.004590907255768401,297.16359406835335,3.233160664408841,0.47123889803846897,9.42477796076938,0.9928344415765769,1
1.6400000000000001,0.500000000000136,0.0042587355886990075,320.2889706846823,3.3142240282821582,0.47123889803846897,9.42477796076938,0.9928289276104026,1
1.68,0.5000000000001397,0.003956022517871684,344.60557729484134,3.395320440401468,0.47123889803846897,9.42477796076938,0.9928238912489654,1
1.72,0.5000000000001431,0.0036786457753292976,370.1438205313307,3.4764376581711294,0.47123889803846897,9.42477796076938,0.9928192865858956,1
1.76,0.5000000000001468,0.003430459491486611,396.9341940737812,3.557566441183981,0.47123889803846897,9.42477796076938,0.9928150726187484,1
1.8,0.5000000000001507,0.0032034994630734358,425.00706959847196,3.638699815570032,0.47123889803846897,9.42477796076938,0.9928112126386973,1
1.84,0.5000000000001543,0.0029917435667170607,454.3926957684353,3.7198325785737656,0.47123889803846897,9.42477796076938,0.9928076737647991,1
1.8800000000000001,0.5000000000001578,0.002802241069804765,485.1216419841413,3.8009618845429967,0.47123889803846897,9.42477796076938,0.9928044264985942,1
1.92,0.5000000000001616,0.00263026806088997,517.2250904729132,3.8820875288578693,0.47123889803846897,9.42477796076938,0.9928014443506419,1
1.96,0.5000000000001654,0.002465405730687371,550.7294626095977,3.9632110219493955,0.47123889803846897,9.42477796076938,0.992798703487158,1
2.0,0.5000000000001693,0.002316617998870909,585.6655693421372,4.044334823827638,0.47123889803846897,9.42477796076938,0.9927961824556528,1
2.04,0.5000000000001731,0.002185969513921446,622.0756086717353,4.125462502019102,0.47123889803846897,9.42477796076938,0.9927938619172042,1
2.08,0.500000000000177,0.0020573067454496777,659.9727115148504,4.2065983657073245,0.47123889803846897,9.42477796076938,0.9927917244096124,1
2.12,0.5000000000001806,0.0019349660181713474,699.3842508061664,4.2877462067647985,0.47123889803846897,9.42477796076938,0.992789754162344,1
2.16,0.5000000000001844,0.0018327174674692848,740.3560479405614,4.368908821224493,0.47123889803846897,9.42477796076938,0.9927879368993388,1
2.2,0.5000000000001882,0.001738982694243245,782.9081094376742,4.4500882735122005,0.47123889803846897,9.42477796076938,0.9927862597068237,1
2.24,0.5000000000001922,0.0016365900929475362,827.0726193809028,4.5312851833971015,0.47123889803846897,9.42477796076938,0.9927847108506288,1
2.2800000000000002,0.5000000000001962,0.0015445421407939562,872.8690819186106,4.6124976010172825,0.47123889803846897,9.42477796076938,0.9927832797104932,1
2.32,0.5000000000002,0.0014737630946664397,920.3465184219142,4.693721030869404,0.47123889803846897,9.42477796076938,0.9927819566166205,1
2.36,0.5000000000002042,0.0014083077326043129,969.4984924426875,4.774948659425294,0.47123889803846897,9.42477796076938,0.9927807328075365,1
2.4,0.500000000000208,0.001328970049337309,1020.4129350815446,4.856170877630762,0.47123889803846897,9.42477796076938,0.9927796002323824,1
2.44,0.5000000000002119,0.001253911976126515,1073.0286607923026,4.9373750975626916,0.47123889803846897,9.42477796076938,0.9927785516540903,1
2.48,0.5000000000002158,0.001193867211959685,1127.4857079620465,5.018545616867098,0.47123889803846897,9.42477796076938,0.9927775803694019,1
2.52,0.5000000000002202,0.0011515276698502938,1183.718699560535,5.0996632586435355,0.47123889803846897,9.42477796076938,0.9927766803743756,1
2.56,0.5000000000002245,0.001109034976166536,1241.74441797634,5.180706535282601,0.47123889803846897,9.42477796076938,0.9927758461081173,1
2.6,0.5000000000002287,0.0010444630748806046,1301.795245077995,5.261652535283974,0.47123889803846897,9.42477796076938,0.9927750723571654,1
2.64,0.5000000000002331,0.0009925339150924954,1363.4870553292578,5.34247441411856,0.47123889803846897,9.42477796076938,0.9927743546901977,1
2.68,0.5000000000002374,0.0009545195548247236,1427.2347888918425,5.423141173757434,0.47123889803846897,9.42477796076938,0.9927736886402508,1
2.72,0.500000000000242,0.0009060226423596629,1493.0878735864871,5.503623052304866,0.47123889803846897,9.42477796076938,0.9927730703625192,1
2.7600000000000002,0.5000000000002466,0.0008926944057486594,1560.3513456014264,5.5838908205614,0.47123889803846897,9.42477796076938,0.9927724965825977,1
2.8000000000000003,0.5000000000002512,0.0008590838178930723,1629.9806381807812,5.663907982828175,0.47123889803846897,9.42477796076938,0.9927719634606376,1
2.84,0.5000000000002559,0.0007958546625955072,1701.9001280927528,5.743635368517983,0.47123889803846897,9.42477796076938,0.9927714680823183,1
2.88,0.5000000000002607,0.0007687100141831394,1774.7451656368041,5.823042537110456,0.47123889803846897,9.42477796076938,0.9927710081707035,1
2.92,0.5000000000002655,0.0007441851022340398,1849.9886433752501,5.9020979795024555,0.47123889803846897,9.42477796076938,0.9927705804786527,1
2.96,0.5000000000002703,0.0007036283365709989,1928.2603723525917,5.980755999241668,0.47123889803846897,9.42477796076938,0.9927701826640243,1
3.0,0.5000000000002751,0.0006957598228109719,2006.9538391460255,6.058975680364803,0.47123889803846897,9.42477796076938,0.9927698135057811,1
3.04,0.5000000000002799,0.0006880323280640243,2086.8228779231445,6.136735177168881,0.47123889803846897,9.42477796076938,0.9927694703670548,1
3.08,0.5000000000002847,0.0006556920337791824,2170.7914546602788,6.2140018125005545,0.47123889803846897,9.42477796076938,0.9927691504596505,1
3.12,0.5000000000002895,0.0005971869746002093,2256.430707259401,6.290719700132644,0.47123889803846897,9.42477796076938,0.9927688530395742,1
3.16,0.5000000000002942,0.0005815901692192699,2340.786977707743,6.366853621621372,0.47123889803846897,9.42477796076938,0.9927685771495232,1
3.2,0.5000000000002989,0.0005656901349909647,2427.443499715491,6.442398611753401,0.47123889803846897,9.42477796076938,0.9927683200963862,1
3.24,0.5000000000003034,0.0005404079290239522,2518.9240137536744,6.51732189144072,0.47123889803846897,9.42477796076938,0.9927680801595595,1
3.2800000000000002,0.500000000000308,0.0005211676240738584,2610.5962930634614,6.591556218453794,0.47123889803846897,9.42477796076938,0.9927678575569601,1
3.3200000000000003,0.5000000000003125,0.0005272032183388735,2699.6105441059653,6.665071370339926,0.47123889803846897,9.42477796076938,0.9927676515543229,1
3.36,0.5000000000003167,0.0005178620000891005,2790.6737291807303,6.737882823176736,0.47123889803846897,9.42477796076938,0.9927674595637949,1
3.4,0.5000000000003211,0.0004966496186418019,2886.956180510084,6.809972590174829,0.47123889803846897,9.42477796076938,0.9927672798557071,1
3.44,0.5000000000003255,0.00046149117469729603,2983.0907305408505,6.881269687731776,0.47123889803846897,9.42477796076938,0.9927671128194714,1
3.48,0.5000000000003297,0.00043795981804970965,3075.580665133913,6.951725025626429,0.47123889803846897,9.42477796076938,0.9927669584748647,1
3.52,0.5000000000003336,0.00043107337977711576,3167.8482607187198,7.021352430580091,0.47123889803846897,9.42477796076938,0.9927668151216223,1
3.56,0.5000000000003376,0.0004172347458753551,3264.9129254327395,7.0901792502196175,0.47123889803846897,9.42477796076938,0.9927666808699512,1
3.6,0.5000000000003414,0.00040149638084940105,3362.895694011144,7.158181727415481,0.47123889803846897,9.42477796076938,0.9927665556646715,1
3.64,0.5000000000003453,0.0003864963813154609,3455.024858175346,7.225283038119309,0.47123889803846897,9.42477796076938,0.9927664403600984,1
3.68,0.500000000000349,0.0003901468627549974,3545.2473575513354,7.291422340122773,0.47123889803846897,9.42477796076938,0.9927663343590324,1
3.72,0.5000000000003525,0.00037501539005368653,3639.097072000566,7.3566215972508235,0.47123889803846897,9.42477796076938,0.9927662359902402,1
3.7600000000000002,0.500000000000356,0.00035466234619428304,3737.108213462161,7.4209554955805155,0.47123889803846897,9.42477796076938,0.9927661438912415,1
3.8000000000000003,0.5000000000003596,0.0003413166175016048,3830.933646542744,7.484445420524156,0.47123889803846897,9.42477796076938,0.9927660581570706,1
3.84,0.5000000000003632,0.00033247956589959476,3910.4799156117533,7.547009211774527,0.47123889803846897,9.42477796076938,0.9927659797751617,1
3.88,0.5000000000003666,0.00033191752903205545,3986.5471545207197,7.608531477465461,0.47123889803846897,9.42477796076938,0.9927659082847256,1
3.92,0.50000000000037,0.00031619976787799754,4075.012040957516,7.668979351371424,0.47123889803846897,9.42477796076938,0.9927658422018325,1
3.96,0.5000000000003733,0.0002954089014356118,4172.359578236339,7.728444308928191,0.47123889803846897,9.42477796076938,0.9927657807010036,1
4.0,0.5000000000003767,0.00028539898141695115,4266.757774963104,7.787056947447756,0.47123889803846897,9.42477796076938,0.9927657235626628,1
4.04,0.5000000000003801,0.0002718658446774047,4341.20902703113,7.844848887103928,0.47123889803846897,9.42477796076938,0.9927656715257108,1
4.08,0.5000000000003835,0.0002920151478065244,4387.13602155442,7.901705279991412,0.47123889803846897,9.42477796076938,0.9927656255380269,1
4.12,0.5000000000003868,0.0002995198422991716,4432.012533030822,7.957457995502014,0.47123889803846897,9.42477796076938,0.9927655846645654,1
4.16,0.5000000000003902,0.00027974920095983117,4508.03136182262,8.012030633520327,0.47123889803846897,9.42477796076938,0.9927655471631058,1
4.2,0.5000000000003935,0.0002508511425793663,4607.734456522029,8.065515681639058,0.47123889803846897,9.42477796076938,0.9927655126605495,1
4.24,0.5000000000003969,0.00024425507070721534,4702.3981536127,8.118114772728768,0.47123889803846897,9.42477796076938,0.9927654813275264,1
4.28,0.5000000000004005,0.00024160996054974586,4771.063352161651,8.169975895134389,0.47123889803846897,9.42477796076938,0.9927654531436285,1
4.32,0.5000000000004037,0.0002423907328244011,4794.075214117039,8.221071053130803,0.47123889803846897,9.42477796076938,0.9927654289729275,1
4.36,0.5000000000004071,0.0002654130886405701,4780.607311816239,8.271217801404005,0.47123889803846897,9.42477796076938,0.9927654094500087,1
4.4,0.5000000000004104,0.0002664527811273403,4784.166680274984,8.32020369826438,0.47123889803846897,9.42477796076938,0.9927653933937617,1
4.44,0.500000000000414,0.000241254583270179,4846.436974203318,8.367930577100731,0.47123889803846897,9.42477796076938,0.9927653795064764,1
4.48,0.5000000000004174,0.00020711653497680808,4951.841324726389,8.414501970415769,0.47123889803846897,9.42477796076938,0.9927653681115322,1
4.5200000000000005,0.5000000000004208,0.00020943118611880987,5050.186159929688,8.460167253965459,0.47123889803846897,9.42477796076938,0.9927653597636497,1
4.5600000000000005,0.5000000000004242,0.0002148883952991693,5109.153851497106,8.50515465051425,0.47123889803846897,9.42477796076938,0.99276535363554,1
4.6000000000000005,0.5000000000004279,0.00020960545944712045,5113.193177836154,8.54954429324465,0.47123889803846897,9.42477796076938,0.9927653489852996,1
4.64,0.5000000000004315,0.00024058428371801342,5055.266711972923,8.593234665583786,0.47123889803846897,9.42477796076938,0.9927653465054775,1
4.68,0.5000000000004352,0.0002568539560808284,4976.239838363949,8.635980216945851,0.47123889803846897,9.42477796076938,0.9927653466117439,1
4.72,0.5000000000004386,0.00024856486677849485,4944.829240675185,8.677529916638903,0.47123889803846897,9.42477796076938,0.9927653486770662,1
4.76,0.5000000000004423,0.00021475174342999815,4994.626852301421,8.717793649375073,0.47123889803846897,9.42477796076938,0.9927653526482085,1
4.8,0.5000000000004461,0.00019351202157376728,5102.618700635985,8.756874894390938,0.47123889803846897,9.42477796076938,0.9927653596322307,1
4.84,0.5000000000004498,0.0001852718961831028,5209.334831716576,8.795002247038797,0.47123889803846897,9.42477796076938,0.9927653703181167,1
4.88,0.5000000000004534,0.00018293212650759023,5263.0234394312465,8.832460269354355,0.47123889803846897,9.42477796076938,0.9927653833206993,1
4.92,0.5000000000004571,0.00018617991806854707,5251.935470282911,8.869461453491239,0.47123889803846897,9.42477796076938,0.9927653959106785,1
4.96,0.5000000000004609,0.0002035955918196326,5173.8587706778135,8.90600912346422,0.47123889803846897,9.42477796076938,0.992765406764127,1
5.0,0.5000000000004647,0.00022427991014439236,5042.720931554337,8.941931586258377,0.47123889803846897,9.42477796076938,0.9927654167156833,1
5.04,0.5000000000004683,0.0002382679409476125,4920.348922337581,8.977000333802547,0.47123889803846897,9.42477796076938,0.9927654269572886,1
5.08,0.5000000000004718,0.00023411561730642353,4869.180407605902,9.010971990861576,0.47123889803846897,9.42477796076938,0.9927654386998761,1
5.12,0.5000000000004756,0.000213700202185749,4903.852179144373,9.043678477603562,0.47123889803846897,9.42477796076938,0.9927654541059148,1
5.16,0.5000000000004795,0.00019205534699503495,4996.724456204923,9.075171244357879,0.47123889803846897,9.42477796076938,0.9927654756979938,1
5.2,0.5000000000004833,0.0001958357369976955,5101.929422232274,9.105674532522256,0.47123889803846897,9.42477796076938,0.9927655045513665,1
5.24,0.5000000000004866,0.00018678423113996167,5169.499718477543,9.135425865717643,0.47123889803846897,9.42477796076938,0.9927655390860021,1
5.28,0.5000000000004903,0.0001828789465258086,5162.251367030408,9.164659459873548,0.47123889803846897,9.42477796076938,0.9927655752833136,1
5.32,0.5000000000004936,0.0001894263748402,5083.873162500697,9.193585942130985,0.47123889803846897,9.42477796076938,0.992765608263112,1
5.36,0.5000000000004973,0.00022409058724438187,4950.8726161389595,9.22223250188625,0.47123889803846897,9.42477796076938,0.9927656348263645,1
5.4,0.5000000000005008,0.0002611971205626499,4779.959628814647,9.250420344618615,0.47123889803846897,9.42477796076938,0.9927656546957313,1
5.44,0.500000000000504,0.00027472514970556817,4630.1426725287865,9.2779416433983,0.47123889803846897,9.42477796076938,0.9927656691356919,1
