config,rank,E,frac,mag,omega,leak_max,L,T,dE,noise_floor
Lambda_m2_T251,0,0.5698557774,1.02549397,3.62921723e+03,-0.5698557774,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
Lambda_m2_T251,1,0.9008531527,0.13566526,4.80118585e+02,-0.9008531527,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
Lambda_m2_T251,2,1.0072871218,0.10632840,3.76295589e+02,-1.0072871218,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
Lambda_m2_T251,3,0.6389143998,0.07809382,2.76373593e+02,-0.6389143998,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
Lambda_m2_T251,4,3.0081581580,0.07496912,2.65315271e+02,-3.0081581580,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
Lambda_m2_T251,5,1.9005008719,0.06931546,2.45306997e+02,-1.9005008719,1.11093081e-22,40.0,251.0,0.0250316135,1.76949711e+02
