t,Re_c,Im_c,abs_c,rho2,V_mem_x0
72.140000,1.504073120899e-01,-1.429865374741e-01,2.075271293806e-01,4.995740159997e-01,0.000000000000e+00
72.150000,1.507370756398e-01,-1.382131094977e-01,2.045104633251e-01,4.994236195259e-01,0.000000000000e+00
72.160000,1.511037800836e-01,-1.334338166562e-01,2.015860505665e-01,4.991982477439e-01,0.000000000000e+00
72.170000,1.515076043856e-01,-1.286494006819e-01,1.987592072899e-01,4.989006441019e-01,0.000000000000e+00
72.180000,1.519487118586e-01,-1.238606282561e-01,1.960353699399e-01,4.985336985005e-01,0.000000000000e+00
72.190000,1.524272493056e-01,-1.190682910908e-01,1.934200720560e-01,4.981004331353e-01,0.000000000000e+00
72.200000,1.529433461743e-01,-1.142732058714e-01,1.909189166089e-01,4.976039902700e-01,0.000000000000e+00
72.210000,1.534971137313e-01,-1.094762140601e-01,1.885375436584e-01,4.970476219929e-01,0.000000000000e+00
72.220000,1.540886442640e-01,-1.046781815607e-01,1.862815932559e-01,4.964346818729e-01,0.000000000000e+00
72.230000,1.547180103156e-01,-9.987999824956e-02,1.841566636491e-01,4.957686183209e-01,0.000000000000e+00
72.240000,1.553852639582e-01,-9.508257737540e-02,1.821682650072e-01,4.950529693947e-01,0.000000000000e+00
72.250000,1.560904361068e-01,-9.028685483373e-02,1.803217690679e-01,4.942913587537e-01,0.000000000000e+00
72.260000,1.568335358779e-01,-8.549378832100e-02,1.786223553126e-01,4.934874924679e-01,0.000000000000e+00
72.270000,1.576145499944e-01,-8.070435637307e-02,1.770749544897e-01,4.926451564140e-01,0.000000000000e+00
72.280000,1.584334422385e-01,-7.591955729276e-02,1.756841905212e-01,4.917682140294e-01,0.000000000000e+00
72.290000,1.592901529536e-01,-7.114040797062e-02,1.744543220278e-01,4.908606042438e-01,0.000000000000e+00
72.300000,1.601845985959e-01,-6.636794260266e-02,1.733891848780e-01,4.899263394546e-01,0.000000000000e+00
72.310000,1.611166713386e-01,-6.160321130824e-02,1.724921372895e-01,4.889695034474e-01,0.000000000000e+00
