t,family,score
0.0,SC_axes,0.2052888771677608
0.0,FCC_faces,0.16297387313014197
0.0,BCC_body,0.1309849186761358
0.0,HEX_basal,0.19447489829479792
0.0,PLANAR_cross,0.21448756417090264
0.1,SC_axes,0.20520248805668354
0.1,FCC_faces,0.16300798879176687
0.1,BCC_body,0.131107698244516
0.1,HEX_basal,0.19458149688503582
0.1,PLANAR_cross,0.21442722255791682
0.2,SC_axes,0.20511819226560055
0.2,FCC_faces,0.16304095579521546
0.2,BCC_body,0.13122962568730417
0.2,HEX_basal,0.19468584566382807
0.2,PLANAR_cross,0.21436811363786917
0.3,SC_axes,0.20503818947350774
0.3,FCC_faces,0.16307209586643134
0.3,BCC_body,0.13134820896887012
0.3,HEX_basal,0.19478201823845326
0.3,PLANAR_cross,0.21431188236384308
0.4,SC_axes,0.20496038356031704
0.4,FCC_faces,0.16310229049923375
0.4,BCC_body,0.13146672345245675
0.4,HEX_basal,0.1948707963182894
0.4,PLANAR_cross,0.21425709661989253
0.5,SC_axes,0.20488628596606248
0.5,FCC_faces,0.1631308199094594
0.5,BCC_body,0.131581967681602
0.5,HEX_basal,0.1949529162558654
0.5,PLANAR_cross,0.21420475735584532
0.6,SC_axes,0.20481463900518848
0.6,FCC_faces,0.16315802118416867
0.6,BCC_body,0.13169474470790082
0.6,HEX_basal,0.19503383768275026
0.6,PLANAR_cross,0.2141539060332384
0.7000000000000001,SC_axes,0.20474671084762097
0.7000000000000001,FCC_faces,0.16318372038476395
0.7000000000000001,BCC_body,0.13180458698328804
0.7000000000000001,HEX_basal,0.19510475583288442
0.7000000000000001,PLANAR_cross,0.21410560850260363
0.8,SC_axes,0.20468137534461286
0.8,FCC_faces,0.16320801388764475
0.8,BCC_body,0.13191096496459662
0.8,HEX_basal,0.19517623470912504
0.8,PLANAR_cross,0.21405889874469702
0.9,SC_axes,0.20461934751931235
0.9,FCC_faces,0.16323103184892238
0.9,BCC_body,0.13201493328327696
0.9,HEX_basal,0.19523640540587628
0.9,PLANAR_cross,0.21401449836603623
1.0,SC_axes,0.2045602259434628
1.0,FCC_faces,0.16325272345490444
1.0,BCC_body,0.13211555717989742
1.0,HEX_basal,0.19529197525404488
1.0,PLANAR_cross,0.2139720214877104
1.1,SC_axes,0.2045025354553167
1.1,FCC_faces,0.16327365268832772
1.1,BCC_body,0.13221527147165318
1.1,HEX_basal,0.19534404321226756
1.1,PLANAR_cross,0.21393042353497868
1.2,SC_axes,0.20444722706217333
1.2,FCC_faces,0.16329323602400972
1.2,BCC_body,0.1323103966364422
1.2,HEX_basal,0.19540255221681105
1.2,PLANAR_cross,0.2138902701657309
1.3,SC_axes,0.20439359457332176
1.3,FCC_faces,0.163312116731764
1.3,BCC_body,0.13240482126846767
1.3,HEX_basal,0.19545311816291155
1.3,PLANAR_cross,0.21385125475950445
1.4000000000000001,SC_axes,0.2043423562867003
1.4000000000000001,FCC_faces,0.16332997378314287
1.4000000000000001,BCC_body,0.13249657592768388
1.4000000000000001,HEX_basal,0.1954979388413526
1.4000000000000001,PLANAR_cross,0.21381386741977423
1.5,SC_axes,0.20429294940931408
1.5,FCC_faces,0.1633468559052178
1.5,BCC_body,0.13258514666228513
1.5,HEX_basal,0.19554646200842
1.5,PLANAR_cross,0.21377762439682554
1.6,SC_axes,0.2042472249195114
1.6,FCC_faces,0.1633622842196952
1.6,BCC_body,0.13266806893354408
1.6,HEX_basal,0.19559086595206882
1.6,PLANAR_cross,0.2137439659380151
1.7,SC_axes,0.20420365461979076
1.7,FCC_faces,0.1633768652907376
1.7,BCC_body,0.1327485272968223
1.7,HEX_basal,0.1956283456074509
1.7,PLANAR_cross,0.21371181707274983
1.8,SC_axes,0.2041601840876193
1.8,FCC_faces,0.1633912432243263
1.8,BCC_body,0.1328298205242283
1.8,HEX_basal,0.19566347592129987
1.8,PLANAR_cross,0.2136796408879718
1.9000000000000001,SC_axes,0.20411994398654726
1.9000000000000001,FCC_faces,0.1634044447936159
1.9000000000000001,BCC_body,0.13290648097538266
1.9000000000000001,HEX_basal,0.19568978625370514
1.9000000000000001,PLANAR_cross,0.21364978831077358
2.0,SC_axes,0.20408341344333555
2.0,FCC_faces,0.16341622474438536
2.0,BCC_body,0.1329761828020445
2.0,HEX_basal,0.19571674389263186
2.0,PLANAR_cross,0.21362257277140276
2.1,SC_axes,0.20404852251229152
2.1,FCC_faces,0.16342732059103768
2.1,BCC_body,0.13304313704321985
2.1,HEX_basal,0.19574312133131844
2.1,PLANAR_cross,0.21359649035689648
2.2,SC_axes,0.20401660220510118
2.2,FCC_faces,0.1634373220724325
2.2,BCC_body,0.13310452669812592
2.2,HEX_basal,0.19577006107116995
2.2,PLANAR_cross,0.21357254453881075
2.3000000000000003,SC_axes,0.2039822696341296
2.3000000000000003,FCC_faces,0.16344799050661585
2.3000000000000003,BCC_body,0.13317155635402375
2.3000000000000003,HEX_basal,0.19579343778717934
2.3000000000000003,PLANAR_cross,0.21354673578546515
2.4,SC_axes,0.20395157855829915
2.4,FCC_faces,0.16345738465658807
2.4,BCC_body,0.1332316358241185
2.4,HEX_basal,0.19581673802412244
2.4,PLANAR_cross,0.21352358462287566
2.5,SC_axes,0.20392359877808464
2.5,FCC_faces,0.16346590325223787
2.5,BCC_body,0.13328741131924485
2.5,HEX_basal,0.19583036608968887
2.5,PLANAR_cross,0.2135024497809383
2.6,SC_axes,0.20389447022512583
2.6,FCC_faces,0.1634746927455279
2.6,BCC_body,0.13334622460982698
2.6,HEX_basal,0.19583818864344404
2.6,PLANAR_cross,0.21348040132024243
2.7,SC_axes,0.20386921890430085
2.7,FCC_faces,0.1634821482306658
2.7,BCC_body,0.13339653047015365
2.7,HEX_basal,0.1958562287425535
2.7,PLANAR_cross,0.21346119931525462
2.8000000000000003,SC_axes,0.20384776679327438
2.8000000000000003,FCC_faces,0.16348842801657684
2.8000000000000003,BCC_body,0.13343959574839473
2.8000000000000003,HEX_basal,0.19587018208064988
2.8000000000000003,PLANAR_cross,0.21344485552500322
2.9,SC_axes,0.20382676423372964
2.9,FCC_faces,0.1634945015889425
2.9,BCC_body,0.13348171810889842
2.9,HEX_basal,0.1958871319538185
2.9,PLANAR_cross,0.21342881325819069
3.0,SC_axes,0.20380802739787557
3.0,FCC_faces,0.16349988761836573
3.0,BCC_body,0.1335197277957957
3.0,HEX_basal,0.19589763915947206
3.0,PLANAR_cross,0.21341448271058502
3.1,SC_axes,0.20379297495152762
3.1,FCC_faces,0.16350417164894693
3.1,BCC_body,0.13355020202228
3.1,HEX_basal,0.19590928451947928
3.1,PLANAR_cross,0.2134029465969281
3.2,SC_axes,0.20377532675823817
3.2,FCC_faces,0.16350917975355697
3.2,BCC_body,0.13358642891834013
3.2,HEX_basal,0.1959162012302521
3.2,PLANAR_cross,0.21338941178868348
3.3000000000000003,SC_axes,0.2037615019726357
3.3000000000000003,FCC_faces,0.16351305978976297
3.3000000000000003,BCC_body,0.1336147248265267
3.3000000000000003,HEX_basal,0.19592415309938266
3.3000000000000003,PLANAR_cross,0.21337878589924844
3.4,SC_axes,0.20374944013556026
3.4,FCC_faces,0.16351642755676407
3.4,BCC_body,0.1336395199583561
3.4,HEX_basal,0.19593050713235954
3.4,PLANAR_cross,0.21336950514007505
3.5,SC_axes,0.2037371938201965
3.5,FCC_faces,0.16351984948923348
3.5,BCC_body,0.1336651762039303
3.5,HEX_basal,0.19592751914992187
3.5,PLANAR_cross,0.21336008285842767
3.6,SC_axes,0.20372862379610648
3.6,FCC_faces,0.16352219545828822
3.6,BCC_body,0.13368255892346656
3.6,HEX_basal,0.1959382285778805
3.6,PLANAR_cross,0.21335346373052713
3.7,SC_axes,0.20372316374249938
3.7,FCC_faces,0.16352369968012534
3.7,BCC_body,0.1336938889529481
3.7,HEX_basal,0.19594007049222312
3.7,PLANAR_cross,0.21334925125694135
3.8000000000000003,SC_axes,0.2037175298034665
3.8000000000000003,FCC_faces,0.16352526604680612
3.8000000000000003,BCC_body,0.13370592805399573
3.8000000000000003,HEX_basal,0.19593403995304462
