t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,n_det_rho,n_raw_rho,n_pos,n_neg,n_raw_pos,n_raw_neg,n_inner,pair_sep,pair_sep_com,ax,ay,az,bx,by,bz,re_plus,re_minus,re_max,re_min,mass_plus,mass_minus,two_inner,nest3,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.1,327.0404276145987,0.12441012614540582,16427.904943557583,15.994502219424026,15.732132722552274,19.222382786741086,20.89258241577618,0.10516880699302052,0.011156404314626438,0.2945243112740431,9.42477796076938,0.9973257660051094,0.11036970711066625,0.00046964009689295824,4.825987703051547e-06,True,0,8736,0,0,9658,9647,0,nan,4.417524274383979,-1.9729588767610142,-0.6606579425298271,0.391268791169864,2.3607012190635466,-0.237572457477917,-0.3536537289407491,0.22313928160788749,-0.14374767419165002,0.32956952250004634,-0.3197205478497329,2.6992102615510225,1.3289043216184369,False,False,483,4.867278242658203,2.4336391213291013,False,64,0.5
0.11,359.7136019621452,0.14158005610447075,16409.905688868123,15.993921540615695,15.732132722552274,19.222382786741086,20.886598574205422,0.11687197501441138,0.013150893263932022,0.2945243112740431,9.42477796076938,0.9975715709981241,0.1262047063099047,0.0005645988761547149,5.818201838845411e-06,True,0,8675,0,0,9621,9652,0,nan,4.366528238861819,-1.9795560337393834,-0.7002628558867023,0.41483036850939925,2.2984795325992167,-0.2993043768418602,-0.36248092820621913,0.24276125226726825,-0.17673261242481073,0.3709557008505163,-0.326536727268475,2.7659423386538875,1.3645581101540332,False,False,423,4.656760680970258,2.328380340485129,False,64,0.5
0.12,392.35485130002337,0.19244088875580195,16411.654752073533,15.995644600982866,15.732132722552274,19.222382786741086,20.886598574205422,0.14313314092462423,0.015251845749490948,0.2945243112740431,9.42477796076938,0.9977728815786758,0.1422328387104506,0.0006681785053575022,6.904995350585889e-06,True,0,6567,0,0,9637,9658,0,nan,4.2361570475884465,-1.9903018545409559,-0.7202735091869563,0.3825016866143578,2.1693204129148533,-0.33861473745741044,-0.32241370255015234,0.2656977078975783,-0.19162747979744268,0.37585707626735276,-0.33668783894060095,2.876017102627686,1.5337551809812777,False,False,82,2.695101222399913,1.3475506111999564,False,64,0.5
0.13,424.9834652035439,0.1802233985483094,16407.927113900627,15.995251990756929,15.732132722552274,19.222382786741086,20.89258241577618,0.18281965310098047,0.017449145088825,0.2945243112740431,9.42477796076938,0.9979514248651435,0.15810286492725148,0.0007791581587848256,8.074507799381074e-06,True,0,8072,0,0,9611,9658,0,nan,4.042988409129378,-1.9633594698184123,-0.7178732530661023,0.402434967260632,2.003848882499348,-0.3352999149652707,-0.27627764248600073,0.23410248522737664,-0.22055412171041477,0.3928884539758243,-0.3853672462074571,3.010510198141177,1.6904364283845401,False,False,265,3.984609397434215,1.9923046987171076,False,64,0.5
0.14,456.86698225711564,0.17661763158555918,16419.407526594096,16.00373476935004,15.732132722552274,19.235384061671343,20.89258241577618,0.216707856253051,0.019729330111476914,0.2945243112740431,9.42477796076938,0.9981273779177435,0.1743853633330124,0.0009008586179102236,9.361992688904077e-06,True,0,8725,0,0,9677,9638,0,nan,3.881113872587063,-1.960979335443854,-0.6872995528552952,0.41742883097263217,1.852876207048677,-0.3207781351112846,-0.20161304428434335,0.2569195519485514,-0.22800198561773663,0.41083458617155466,-0.37799936588867644,3.02353733391917,1.7601606595541541,False,False,445,4.736132027501613,2.3680660137508065,False,64,0.5
0.15,489.60054571792574,0.17449502449533918,16430.27834387118,16.00340106461239,15.732132722552274,19.222382786741086,20.89258241577618,0.24640513682585793,0.022086323859417684,0.2945243112740431,9.42477796076938,0.9982830308284483,0.18967896666421427,0.0010262231105393317,1.0694845487423786e-05,True,0,9095,0,0,9740,9611,0,nan,3.7553326898420814,-1.9677145241325942,-0.6544550598887433,0.421248218244596,1.725886559085918,-0.3429288361423506,-0.18106902487725485,0.2679255481186109,-0.2566192901369676,0.40074444152352406,-0.3759580239459308,3.063381966120672,1.8565856903306153,False,False,745,5.623705303659842,2.811852651829921,False,64,0.5
0.16,522.1060731514692,0.1796417568990844,16424.99357396966,16.00137306194771,15.732132722552274,19.222382786741086,20.89258241577618,0.27019288326355384,0.024514157262872555,0.2945243112740431,9.42477796076938,0.9984049582637506,0.20460021123618913,0.0011582425494979958,1.2104635127011584e-05,True,0,9227,0,0,9672,9632,0,nan,3.668719222324981,-1.9912432621726381,-0.651661001187593,0.429084759436801,1.6093507331019445,-0.3521816895951435,-0.20773213369461097,0.2682940447586789,-0.23274502626615237,0.3976376965247408,-0.4213043548022571,3.0632284852530467,1.9075542076333805,False,False,904,5.998278235900232,2.999139117950116,False,64,0.5
0.17,554.4568985821313,0.20531137839793503,16435.399901275916,16.004221040967753,15.732132722552274,19.235384061671343,20.89258241577618,0.28608032062448824,0.027006537168075828,0.2945243112740431,9.42477796076938,0.9984975563111975,0.21944198274084462,0.0012986271527782153,1.3609888879894763e-05,True,0,8944,0,0,9617,9699,0,nan,3.5536694751469295,-1.9994108786809122,-0.6159549913117868,0.4526783805131167,1.4704341115320965,-0.25784993811415013,-0.2259255196812866,0.3113619939987914,-0.24171134524099833,0.4454890641221082,-0.420519292738272,3.137903331120607,2.0969461388908646,False,False,577,5.164509349153498,2.582254674576749,False,64,0.5
0.18,586.3848122580926,0.23941843334467286,16429.14335942483,16.007220015501073,15.748015748023622,19.235384061671343,20.89258241577618,0.3017688023953068,0.029554766592424574,0.2945243112740431,9.42477796076938,0.9986046093122539,0.2339093766042599,0.0014458833244047078,1.519573571935073e-05,True,0,8314,0,0,9678,9663,0,nan,3.505941208320379,-1.9707237775388595,-0.6052384775246367,0.4783438112619116,1.4390194103138718,-0.18173019942784485,-0.2187328613318158,0.3150107094511855,-0.2833247848965181,0.4495633538754948,-0.418187576398798,3.1812385140765573,2.131609351106782,False,False,308,4.189421293243516,2.094710646621758,False,64,0.5
0.19,618.2810367005168,0.2900555251189866,16431.21868371504,16.001355686918124,15.732132722552274,19.235384061671343,20.89258241577618,0.3273228273553618,0.03215298617027082,0.2945243112740431,9.42477796076938,0.9987070351104999,0.2480247109582815,0.0016000649294793262,1.686336471388444e-05,True,0,6978,0,0,9718,9691,0,nan,3.5356862849611326,-1.9452981874221145,-0.6024104651725395,0.5231087848274427,1.4842956512357972,-0.11314427180654718,-0.1837025050732617,0.36282686749547544,-0.30568626620481887,0.46225147806381583,-0.47937416551029555,3.2228690962875652,2.124665335145638,False,False,107,2.9450887683989615,1.4725443841994807,False,64,0.5
0.2,650.4807496811961,0.28907912650026923,16437.98687561121,16.002398567546905,15.732132722552274,19.235384061671343,20.89258241577618,0.3521078540192827,0.03479636746567377,0.2945243112740431,9.42477796076938,0.9987527012285253,0.2614690688032739,0.0017589790801289462,1.8590241476756942e-05,True,0,7574,0,0,9725,9550,0,nan,3.5996903998950986,-1.9394909654537997,-0.5808437423888009,0.5696325589623541,1.5543062384664275,-0.06700461302988359,-0.12830828531873983,0.36804284693524947,-0.29812210408318274,0.4810844455976012,-0.5355113240242197,3.3395202392785324,2.182583801415742,False,False,160,3.3677806019212593,1.6838903009606296,False,64,0.5
0.21,682.1797621827462,0.3123425970162715,16453.365889048142,16.003764065248106,15.732132722552274,19.235384061671343,20.89258241577618,0.37378001538431127,0.03748081156472438,0.2945243112740431,9.42477796076938,0.9987976115115748,0.2749459011085202,0.0019273561132998555,2.0426995192769014e-05,True,0,7267,0,0,9694,9529,0,nan,3.7419102347204047,-1.9645944415522987,-0.5406511247718484,0.6386378190127857,1.6741198160433086,-0.08747788275862334,-0.10720718432167686,0.33528701192723975,-0.3334334613127231,0.4658448017321357,-0.5167004023995692,3.403389496806339,2.175395717251399,False,False,121,3.0683077734506896,1.5341538867253448,False,64,0.5
0.22,714.587803141272,0.27574161747619813,16467.52212024491,16.002807770408097,15.732132722552274,19.235384061671343,20.89258241577618,0.40981043651652893,0.04020201503380329,0.2945243112740431,9.42477796076938,0.9988581012270571,0.2873419341221,0.0020972986761076903,2.229056626377791e-05,True,0,8778,0,0,9681,9594,0,nan,3.8689882046100177,-2.0181005707743758,-0.4986493973144306,0.6765719722499384,1.7523168368285482,-0.10358117313324655,-0.0960491497099909,0.32084641369092526,-0.33571779119573786,0.4745581115270191,-0.4880234842232285,3.4854446963561143,2.24718935823757,False,False,439,4.714749650390264,2.357374825195132,False,64,0.5
