t,R_rms,norm,peak_density,participation,Vmem_mean,Vmem_peak,memory_density_overlap
0.0,3.91918358823039,1.0,0.005480564029736221,516.0832186943647,0.0,0.0,0.0
0.1,4.032668681552587,1.0054470833475553,0.0058784636317069025,489.32440743837225,5.958934452063376e-05,0.011098871748078427,0.999909277240905
0.2,4.142575983589116,1.0104599522383237,0.006234670656123176,462.77097786600547,8.271665478207741e-05,0.016112680892932166,0.9997574784117238
0.3,4.252850337014421,1.0153485109168259,0.006570630224519931,437.4047806249281,9.23774167570866e-05,0.018804811905641552,0.9996360416328331
0.4,4.360213276158202,1.0200576634981533,0.007164747956802585,413.0991112200656,9.70521763182209e-05,0.020852298355250005,0.9995235317920125
0.5,4.465814942852598,1.02484052721012,0.007756543088637529,389.3797050983926,9.98291197776289e-05,0.022963875168075992,0.9994360450316291
0.6,4.569105489874536,1.0299861674033313,0.008368532648258572,365.92523716202874,0.00010191244917000042,0.025085660005859517,0.9993319665233249
0.7000000000000001,4.667831677852179,1.0343725528426313,0.009027470567896267,344.0414404727828,0.00010368453008588977,0.02728465770774237,0.9992613333791166
0.8,4.768456341454171,1.0387682730538965,0.0096820809820219,322.94882032953205,0.00010528491775469622,0.029619189423978017,0.9991714920886421
0.9,4.86419346366379,1.0433185010591217,0.010318168508162235,302.6392344469659,0.0001068196623964086,0.03189025166564243,0.9990702477840091
1.0,4.960785957413263,1.0478401452899666,0.011020994430764633,282.74150255488456,0.00010829969669973745,0.0343416388034324,0.9989476439289479
1.1,5.0574669249510675,1.051465780441725,0.012098640567981628,263.98075952711173,0.00010969265625897276,0.03722958244375845,0.9988284781792686
1.2,5.151011628585903,1.0567793055999921,0.013182752524983422,245.79233891868145,0.00011105750631727271,0.04058238423873383,0.9986870135689982
1.3,5.24957350769558,1.0616029545299746,0.014667318208232317,228.8000249292466,0.00011242592598306611,0.04480813162086169,0.9985835891773689
1.4000000000000001,5.345131355625378,1.0660592102013686,0.015881319596583555,212.24990981574462,0.00011374867777509634,0.049170161648799234,0.998446013962291
1.5,5.437723790500707,1.0707614060308808,0.017055477361523578,196.73868342259672,0.0001150183175006694,0.05342942575444486,0.9982754616491794
1.6,5.530192803969956,1.0751193307037596,0.0186994419319613,181.93867884658013,0.00011627832370197783,0.058013215549120756,0.9981246900803205
1.7,5.620945771909043,1.0797700640446308,0.020845042170594165,167.97868462377,0.0001174733897095393,0.06389111850291787,0.9979832710334525
1.8,5.707000262153697,1.0843211706272196,0.023445403389772617,154.54888858169883,0.00011865877745438031,0.07106424494489053,0.9978005254765868
1.9000000000000001,5.797111798567292,1.089550953649373,0.02648759000696918,142.23478105671344,0.00011985093976750999,0.07990266998057857,0.9976628888091942
2.0,5.888105847023876,1.0939069925458327,0.0293330220901994,130.6125897636575,0.00012097618701978796,0.08930830818712071,0.9974971321393805
2.1,5.9731193167661365,1.098914518618026,0.031703565150939764,119.76175337680446,0.00012209698314610964,0.09824576390448729,0.9973832555172307
2.2,6.055777693876036,1.1026945276370819,0.034704533187196095,109.72054421635033,0.0001231690002236008,0.10747840613736336,0.9972943053317437
2.3000000000000003,6.139531071653641,1.1071685278864432,0.039128518737467984,100.26793466793583,0.0001242064530193564,0.11887233100308817,0.997135406205471
2.4,6.224034267604052,1.1117525433549387,0.04411555547527957,91.66984628145792,0.00012523561531913773,0.133137482362351,0.9970396996940509
2.5,6.308944452734866,1.1165906681274687,0.04889098716822568,83.77232358360489,0.00012624300347002825,0.14902188714922054,0.9969799214885405
2.6,6.3970008154601485,1.121578135282819,0.05330504728571479,76.54471370959246,0.000127252167450227,0.16446300528475988,0.9969051650683758
2.7,6.483737609290357,1.1262850039549015,0.05896389955375569,69.95744967744024,0.0001282549365136525,0.18106703201750404,0.9968630566878406
