t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,rho_shell,rho_origin,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,contrast_oi,contrast_sf,two_scale_bright,two_scale_hollow,two_scale,re_core_mean,re_core_min,re_mid_mean,re_mid_max,re_origin,re_max,re_min,plus_env,minus_core,hole_core,sign_nest,N,dx
2.7,7768.283737538988,2.259469087479624,17076.87961286326,15.998887290317654,15.732132722552274,19.241881404893856,20.89258241577618,5.124792692031372,0.8033767744894565,10.701049976290232,342.4335992412874,0.9999791888278378,0.7078430584586521,0.12285377455250676,0.002519025442372871,True,1.3280197150781925,1651,7.331949887629233,3.6659749438146165,False,0.19593916537334058,0.22110703768524353,0.23677511543111945,0.21620045352804593,0.08571971710598263,0.4653555177616839,22.165980527945663,7253.220901669769,5.990454693524231e-05,0.002853394813687367,0.9336967014502495,0.886173354881039,0.9338271772464453,2.522178803515401,0.9131046272932388,False,False,False,-0.09507978571330744,-0.7110496769442556,-0.00210227440134068,1.088437538126412,-0.1993893044959891,1.459349761276013,-1.37690141676972,False,True,True,False,64,0.5
2.8000000000000003,8024.8464166123995,2.6258884298758853,17073.816220025456,16.00301772907668,15.732132722552274,19.241881404893856,20.89258241577618,5.253390153651957,0.8333556818579633,10.701049976290232,342.4335992412874,0.9999783114362722,0.7066775888537743,0.1283586445893464,0.002696697560165625,True,1.3280197150781925,740,5.611096056635691,2.8055480283178453,False,0.17712915717895994,0.23326091730981294,0.24467940551055978,0.23110620922949107,0.02905551367766532,0.42068174830002986,23.38440696030875,7495.355983782044,5.242240492343479e-05,0.0029140005610450324,0.934018621000117,0.7593606302409426,0.9533328594741332,7.953953655520469,0.9445266092062541,False,False,False,0.0199366674743305,-0.5686398912865644,0.00770425126154616,1.05703510862226,0.01650445398414746,1.5252617844957255,-1.5097986867650781,False,False,True,False,64,0.5
2.9,8273.757353303747,2.8007572675070675,17102.960322156643,16.00178723118388,15.732132722552274,19.241881404893856,20.89258241577618,6.064306767158154,0.8632041936155899,10.701049976290232,342.4335992412874,0.9999842739831071,0.7086274652998357,0.13425667009225448,0.0028894092565573187,True,1.3280197150781925,598,5.22641860952969,2.613209304764845,False,0.13096322339935354,0.2483414127222795,0.2523399379566643,0.25804174843638966,0.006500751891189236,0.3110376555734647,24.89622662540852,7730.023946903231,3.759327743026764e-05,0.0030090593139605855,0.9342821667131197,0.5273515277365756,0.9841542117083681,39.69413888663023,1.0225957512944486,False,False,False,0.028240669422994653,-0.6251459093865832,0.002946496961668621,1.0088177657486646,0.06393242476643471,1.4421167685270577,-1.6455631967754267,False,False,True,False,64,0.5
3.0,8507.5856034024,2.5608757862147793,17151.721648787607,16.001905783698007,15.732132722552274,19.241881404893856,20.898564544006366,5.977830441689636,0.8924741846400677,10.701049976290232,342.4335992412874,0.9999773579462157,0.7115024856633004,0.14070458388987747,0.003101583560487849,True,1.3283999641096293,1268,6.714446453371265,3.3572232266856323,False,0.22607040575193768,0.2634062937142221,0.25954243613164124,0.2757990466196349,0.44066331324369507,0.536917213660852,26.406480944850767,7950.660774434116,6.311040977902416e-05,0.0031038748448549425,0.9345378518735615,0.8582574188497132,1.014887190087948,0.6258724934224621,1.0626356550022833,False,False,False,0.03130638848058577,-0.6313113736354945,0.006193469809002339,0.9772228198737174,0.055155994622298365,1.497117054500856,-1.583787228382422,False,False,True,False,64,0.5
3.1,8751.33629702857,2.7148645178897937,17295.982102443904,16.003955164477073,15.732132722552274,19.241881404893856,20.904544960366874,5.656727572015969,0.9215476423551975,10.701049976290232,342.4335992412874,0.9999760656283435,0.7141325290623721,0.14751414552106398,0.0033302931758194296,True,1.3287801043274865,917,6.026894308345932,3.013447154172966,False,0.27044500027500173,0.26987741464834225,0.2670550648147248,0.28833072886403954,0.25218397875512305,0.6423068756531292,27.055210818496313,8180.797946118771,7.339529117070019e-05,0.0030915519527780736,0.9348055735095541,1.0021031238475404,1.0105684190471187,1.143334839458679,1.0796677047262713,False,False,False,-0.018233846309337245,-0.6365199294946764,-0.007692128141855396,1.2436620676060406,-0.055859351251994704,1.6353177508200538,-1.4269001162324482,False,True,True,False,64,0.5
3.2,8987.951721079822,3.0291446516809533,17350.616847010468,16.000336042413405,15.732132722552274,19.235384061671343,20.904544960366874,6.137007091575275,0.9504821179851868,10.701049976290232,342.4335992412874,0.9999680884422033,0.7150756130835476,0.1537178281745714,0.0035538347784946295,True,1.3287801043274865,530,5.020293255436294,2.510146627718147,False,0.25698113451701193,0.28051617233164633,0.2741904049717483,0.2770231346248652,0.41380277702547913,0.6103301944779034,28.121746276247546,8399.37749690143,6.79053708139609e-05,0.0031288270285533943,0.9345151996313038,0.9161009591033148,1.023070710153223,0.6694569249055765,1.0103312501158048,False,False,False,0.0963079285057475,-0.47833156882454236,-0.012192231473262073,1.1287879016809965,-0.12864640880164754,1.4286048966126104,-1.4736190399176385,False,False,True,False,64,0.5
3.3000000000000003,9219.898240687859,2.639960429389062,17400.179217423814,16.0021038838216,15.732132722552274,19.222382786741086,20.89258241577618,5.831388287429166,0.9789898174009829,10.701049976290232,342.4335992412874,0.9999693954933797,0.7148805431252471,0.15993384597480712,0.003785841429607103,True,1.3280197150781925,1466,7.0471760388679225,3.5235880194339613,False,0.25624076865679096,0.2785425403153849,0.2813721378489927,0.27495079294621033,0.5070814169725841,0.6085718255598785,27.923889666617335,8619.378213279886,6.600634949247288e-05,0.003028654865558912,0.9348669571256385,0.9199340551955104,0.9899435759516233,0.5422221831510655,0.9771784621182764,False,False,False,0.011640383177832803,-0.6594781514940173,-0.01213866035243335,1.0258746168564101,0.623187214551018,1.471046556336434,-1.4982504960654062,False,False,False,False,64,0.5
3.4,9455.503956282617,2.815211052608847,17475.81185225674,16.006231938808675,15.732132722552274,19.241881404893856,20.89258241577618,6.253410028596579,1.007701424547089,10.701049976290232,342.4335992412874,0.9999706168764161,0.7161508230613794,0.16617267256788526,0.004026643688114094,True,1.3280197150781925,1115,6.432731424225094,3.216365712112547,False,0.20318057033271172,0.2864796003933193,0.288597396279449,0.2866689242062742,0.12789089842158308,0.48255385454019034,28.71957993943026,8840.712264251966,5.103417615510194e-05,0.0030373399527105923,0.9349805473221595,0.7092322456948312,0.9926617637115511,2.2415115363510143,0.993317777297937,False,False,False,0.0057045149698556966,-0.46121596116497066,-0.009549139313230936,1.0868296999373581,-0.33195956577108576,1.5303284299125002,-1.4840451731894908,False,False,True,False,64,0.5
3.5,9683.280733586258,2.667524834127702,17539.648319635035,16.009181409476255,15.732132722552274,19.241881404893856,20.89258241577618,5.871466726190092,1.0358611574965093,10.701049976290232,342.4335992412874,0.9999764343253124,0.7173282356279228,0.1724630260191825,0.004277369133219875,True,1.3280197150781925,1752,7.478511471637478,3.739255735818739,False,0.32063286446233036,0.29075628621553495,0.29548367665302044,0.280573199866457,0.0659515287436133,0.7615030530980346,29.148317693107376,9051.66227329072,7.864101785841828e-05,0.0030101696413703098,0.9347722659630446,1.1027547112933207,0.984001179046392,4.254233453134739,0.9495387462500257,False,False,False,-0.039886411340157246,-0.788228494591118,-0.005326300801086366,1.242955249106887,-0.09652352561946398,1.5159818255224615,-1.5123178660965566,False,True,True,False,64,0.5
3.6,9908.607823383216,2.730252523704365,17549.16985042738,16.00983044126603,15.75595125658873,19.241881404893856,20.89258241577618,6.697983896870851,1.0638533379740651,10.701049976290232,342.4335992412874,0.9999799952100974,0.7158815891738223,0.17818725895529028,0.004522548581335363,True,1.3260121255477635,1704,7.409581176811981,3.7047905884059906,False,0.35774547304969984,0.3014118513218133,0.30243175166146324,0.2819691993538123,0.08432227925282625,0.849645498493037,30.216538095011785,9264.505260552476,8.574822150978344e-05,0.003049524073775945,0.9349956548577159,1.1868991596741825,0.9966276677827413,3.3439466040567387,0.9323399339016614,False,False,False,0.044846466301284485,-0.7353583600146105,-0.006764381151639019,1.10655885081308,0.2627233280260898,1.541626702040876,-1.551610171763199,False,False,True,False,64,0.5
