t,norm,peak,PR,R_rms
0.0,0.9999999999999999,1.4366969770013323,1.9687012432153028,0.6123724356957945
0.0025,1.0000000000000004,1.4380298589308567,1.9682267186410556,0.6123641755290848
0.005,1.0000000000000009,1.442025456946914,1.9668077510369086,0.612339684494619
0.0075,1.000000000000002,1.4486862469933603,1.964452199768493,0.6122995272149542
0.01,1.0000000000000024,1.458031305165615,1.9611652866342197,0.6122442398825532
0.0125,1.000000000000003,1.4700950473969194,1.956949751838311,0.6121743305180186
0.015,1.0000000000000036,1.4849257439581833,1.9518060373193837,0.6120902791592484
0.0175,1.0000000000000038,1.502583833428181,1.9457324964645064,0.6119925379840312
0.02,1.0000000000000049,1.5231400966223236,1.9387256291364905,0.61188153136815
0.0225,1.000000000000006,1.5466737888556474,1.930780340803499,0.6117576558806246
0.025,1.0000000000000064,1.573270859012882,1.9218902243037699,0.6116212802172962
0.0275,1.000000000000007,1.6030223977981453,1.9120478623221104,0.6114727450735548
0.03,1.0000000000000078,1.6360234513637129,1.9012451479375532,0.6113123629565967
0.0325,1.0000000000000084,1.6723723120768321,1.8894736196036503,0.6111404179371986
0.035,1.0000000000000087,1.7121703618446464,1.8767248056806494,0.6109571653405484
0.0375,1.0000000000000095,1.755522503568421,1.862990572246689,0.6107628313752141
0.04,1.0000000000000104,1.8025381806919851,1.8482634665152173,0.6105576126987858
0.0425,1.0000000000000109,1.8533329588038339,1.8325370469465476,0.6103416759180855
0.045,1.000000000000011,1.908030629280129,1.8158061902294824,0.6101151570210721
0.0475,1.000000000000012,1.9667657929726625,1.798067364862867,0.6098781607366659
0.05,1.0000000000000122,2.0296868903675063,1.7793188611743147,0.60963075981752
0.0525,1.0000000000000127,2.0969596613104193,1.7595609682989468,0.609372994239468
0.055,1.0000000000000133,2.1687710403198976,1.7387960898636354,0.6091048703096583
0.0575,1.000000000000014,2.245333521286318,1.7170287917835205,0.6088263596734436
0.06,1.0000000000000144,2.326890057363474,1.694265777532801,0.608537398207698
0.0625,1.000000000000015,2.413719598309696,1.670515788330362,0.608237884785463
0.065,1.0000000000000158,2.5061434095044217,1.6457894277003853,0.6079276798934478
0.0675,1.0000000000000162,2.6045323663575792,1.6200989116516873,0.6076066040799926
0.07,1.000000000000018,2.70931547793677,1.5934577471042215,0.6072744362063213
0.0725,1.0000000000000207,2.8209899688292297,1.5658803420338248,0.6069309114682305
0.075,1.0000000000000195,2.940133344841236,1.5373815509812998,0.6065757191484258
0.0775,1.0000000000000193,3.0674179950019824,1.5079761589628686,0.6062085000511808
0.08,1.0000000000000213,3.203629052081728,1.477678305302364,0.6058288435604559
0.0825,1.0000000000000229,3.3496864645404814,1.4465008463264395,0.6054362842492618
0.085,1.0000000000000224,3.5066725508305585,1.414454651996989,0.6050302979510936
0.08750000000000001,1.0000000000000226,3.675866751235662,1.3815478260509328,0.6046102971822948
