t,norm,peak,PR,kstarL,crystallinity
0.0,0.9999999999999997,1.436691179751071,1.9590618504851707,9.42477796076938,0.9783244775000933
1.0,0.999999999999178,0.025300173068629805,97.51178489454767,9.42477796076938,0.9731070799807461
2.0,0.999999999998372,0.003617724949987801,789.2095937441042,9.42477796076938,0.972062754259895
3.0,0.9999999999976,0.0012122062733113403,2537.689812119733,9.42477796076938,0.9719336269131968
4.0,0.9999999999967994,0.0006370596053627415,4610.701425112127,9.42477796076938,0.9719138323203673
5.0,0.9999999999959966,0.0005977877185747541,5242.341043175079,9.42477796076938,0.9719140111727221
6.0,0.9999999999952158,0.0006096164138249467,3762.9737814426962,9.42477796076938,0.9719177609039494
7.0,0.9999999999944614,0.0008495099026975758,3265.9104909805696,9.42477796076938,0.9719229598933216
8.0,0.9999999999937256,0.0013614672360883983,2065.5068471324344,9.42477796076938,0.9719313079929927
9.0,0.9999999999929953,0.001814043893138091,1713.534041249734,9.42477796076938,0.971935807962486
10.0,0.9999999999922403,0.0006312323584707825,4604.609880607877,9.42477796076938,0.9719082805709706
11.0,0.9999999999915009,0.006766789079994599,778.6218778967185,9.42477796076938,0.9719167378405992
12.0,0.9999999999907527,0.0006016440693341873,4373.29685539331,9.42477796076938,0.9718975084684219
13.0,0.9999999999899677,0.009118024989819593,372.0647373668384,9.42477796076938,0.9719684237438367
14.0,0.9999999999892697,0.0016926549659879626,3092.991367921961,9.42477796076938,0.9718707493974995
15.0,0.999999999988608,0.0012656982553526676,3589.6848276248656,9.42477796076938,0.9718795896129941
