t,norm,peak,rrms,participation,memory_mean
0.0,1.0000000000000004,0.9101326823248417,0.6934589802174629,2.449071274284129,0.0
0.2,1.008156692100539,1.494476296844101,1.9372418048293352,1.1531754937755645,3.0975527874499755e-05
0.4,1.0175156605286197,2.066448545374265,2.652901821752228,0.6297959515422454,3.6322887870097135e-05
0.6,1.0264844921662029,1.9613843511202516,3.239076117454467,0.7110844333497929,3.814456695194535e-05
0.8,1.03463274601886,1.588178471473568,3.754365350329692,1.093139351622212,3.939036749617188e-05
1.0,1.0435817709385478,1.3003304640900288,4.202902469844337,1.6341811285485497,4.051317478744021e-05
1.2,1.053233443405504,1.0691289892618885,4.61672014258707,2.4025997344693013,4.158003925704421e-05
1.4000000000000001,1.062398128557095,0.8372692179672702,4.989646468195665,3.7902971289661758,4.2598418411434285e-05
1.6,1.0716566062280308,0.5471861757574146,5.335082367558905,7.646669282084979,4.355917831405728e-05
1.8,1.0810645190311006,0.2463742636270239,5.6698008757335625,20.141595176628794,4.445784936486785e-05
2.0,1.0895700935342392,0.07101026600325092,5.9997857639387115,46.36788721288426,4.5321220708919716e-05
2.2,1.098509292348168,0.0314311687630881,6.321734276108576,85.83188979513025,4.61377307660797e-05
2.4,1.10732925168595,0.021238918953366406,6.633223975616931,142.79437614376587,4.691513324996462e-05
2.6,1.1160667642593407,0.013520702563813344,6.941121624911662,220.05870782993856,4.766764823471995e-05
2.8000000000000003,1.1251148532378181,0.009329330094736016,7.253703369514594,321.4578069918571,4.839248904352974e-05
3.0,1.1346542873274215,0.007117483604946215,7.553294065735714,450.091851723938,4.909823833114271e-05
3.2,1.1432547715675898,0.005206701577290252,7.8492203756784935,609.0294560873976,4.978188997421042e-05
3.4,1.1514371160188892,0.004166920372757534,8.141099656447476,802.2899640843746,5.042233685919183e-05
3.6,1.1602963953209933,0.0034502246345315406,8.424678751375238,1033.1282182066036,5.104050634106311e-05
3.8000000000000003,1.1683196037770742,0.002650778465025176,8.701268361089548,1304.0361557915267,5.164266832966289e-05
4.0,1.1764667458068485,0.002233375371277166,8.97301336314977,1617.9765658920753,5.22056308770265e-05
4.2,1.1837598137036685,0.001956196963955321,9.237234830900084,1976.5461154619866,5.2750879142062095e-05
4.4,1.193734109637883,0.0016918353680627537,9.499013297038308,2382.954297500077,5.331648314904449e-05
4.6000000000000005,1.2026196251512156,0.0015632000573248459,9.754339122641193,2841.007462791448,5.388538649732495e-05
4.8,1.2109811780654585,0.001303965995948901,10.007305080545898,3344.662311864404,5.443359932678518e-05
5.0,1.2193726716658082,0.0011182367402443793,10.2532162568306,3899.9473315878136,5.495349229665765e-05
5.2,1.227806281076714,0.001053707115998454,10.486176106484415,4490.625345276867,5.546796882108841e-05
5.4,1.2354028068357252,0.0008979443313387862,10.71771789470431,5121.327880397371,5.594976293744798e-05
5.6000000000000005,1.2438672848231327,0.0008561558150776365,10.942604056620535,5787.91876928207,5.6441714818024485e-05
5.8,1.250977495074633,0.0008010451737892619,11.16546136745379,6499.480145687263,5.6903013792801395e-05
6.0,1.2588025098227669,0.000764887229593459,11.38101629373343,7209.500746486489,5.736685439489175e-05
6.2,1.2664122147074828,0.0006626408031771701,11.590738113924619,7942.098222900499,5.780729313509775e-05
6.4,1.2742930107736175,0.0006828460650846514,11.792064318726764,8698.10356541214,5.8273008928824323e-05
6.6000000000000005,1.2816921397611964,0.0007042356117916246,11.988560551934093,9423.922747125956,5.871407841331644e-05
6.8,1.2898136380279257,0.0005375390993190798,12.16830873788181,10163.142811400758,5.914266280697115e-05
7.0,1.2980530234193568,0.0005508508576604584,12.343669910017011,10873.54762843662,5.959784109602732e-05
7.2,1.3054471197766977,0.0006477270473910436,12.506991890148837,11531.90974075075,6.0036897255938486e-05
7.4,1.3132714661317642,0.0005284603583365086,12.66400451230654,12282.115811519207,6.0453168752539766e-05
7.6000000000000005,1.3217200916683,0.0005259933323695832,12.815000473664082,12810.670886999436,6.089813755117008e-05
7.8,1.3284020187566736,0.0004795682544146296,12.963192704971704,13336.372949783521,6.13021435164902e-05
8.0,1.3358475551644051,0.00048812943158574453,13.100230090100377,13781.862538487192,6.171406516883132e-05
8.2,1.342766929401219,0.0005054925562443798,13.239835517283737,14179.215040565257,6.209831035569663e-05
8.4,1.3508302356500854,0.0005251046489090514,13.377035438353298,14853.49151654901,6.251043271030947e-05
8.6,1.3581230305494287,0.00044516529024723496,13.509112401389208,15234.560365909028,6.291443664866028e-05
8.8,1.3659111722750097,0.00043249057113920944,13.632683020660636,15252.247881614368,6.33228895169584e-05
9.0,1.3744796741003082,0.0005494475094747683,13.75751740054754,15558.63532665232,6.375205675017008e-05
9.200000000000001,1.3826177683777119,0.00044298466967565174,13.87469708874508,16050.970728134182,6.41873136968308e-05
9.4,1.3913937514798667,0.0004689563671937143,13.987432530558445,16117.090916918034,6.463106816471565e-05
9.6,1.3985384046553704,0.00042632723011997613,14.100196848846325,16572.432429148892,6.502868578540962e-05
9.8,1.4062776547162856,0.0004179280073106588,14.214682516755575,16780.03755664388,6.543390422879576e-05
10.0,1.4136367856196497,0.0005468242741041673,14.317528712031757,16489.834124589008,6.583371448309235e-05
