t,density_front_r,phase_front_r,response_norm
0.0,4.0,2.2222222222222223,1.9830829548682373e-18
0.01,2.2222222222222223,2.2222222222222223,7.215662968060842e-07
0.02,2.2222222222222223,2.2222222222222223,1.2323538130812075e-06
0.03,2.2222222222222223,2.2222222222222223,1.6067380678973634e-06
0.04,2.2222222222222223,2.2222222222222223,2.1046481585073894e-06
0.05,2.2222222222222223,2.2222222222222223,2.425453133067177e-06
0.06,2.2222222222222223,2.2222222222222223,2.9711729995230014e-06
0.07,2.2222222222222223,2.2222222222222223,3.4565958007467583e-06
0.08,2.2222222222222223,2.2222222222222223,3.6997622253691456e-06
0.09,2.2222222222222223,2.2222222222222223,4.015052860015378e-06
0.1,2.2222222222222223,2.2222222222222223,4.480756107890126e-06
0.11,2.2222222222222223,2.2222222222222223,4.8865532670762295e-06
0.12,2.2222222222222223,2.2222222222222223,5.453663975827613e-06
0.13,2.2222222222222223,2.2222222222222223,6.006762935506886e-06
0.14,2.2222222222222223,2.2222222222222223,6.59517275912949e-06
0.15,2.2222222222222223,2.2222222222222223,7.199476791953326e-06
0.16,2.2222222222222223,2.2222222222222223,8.057081248663565e-06
0.17,2.2222222222222223,2.2222222222222223,8.63928383267809e-06
0.18,2.2222222222222223,2.2222222222222223,9.54976130914041e-06
0.19,2.2222222222222223,2.2222222222222223,9.989775522015577e-06
0.2,2.2222222222222223,2.2222222222222223,1.0692141554024758e-05
0.21,2.2222222222222223,2.2222222222222223,1.1406371505232395e-05
0.22,2.2222222222222223,2.2222222222222223,1.2192038304744741e-05
0.23,2.2222222222222223,2.2222222222222223,1.3101877323325967e-05
0.24,2.2222222222222223,2.2222222222222223,1.3739692582949785e-05
0.25,2.2222222222222223,2.2222222222222223,1.4141041508720063e-05
0.26,2.2222222222222223,2.2222222222222223,1.4762176743144014e-05
0.27,2.2222222222222223,2.2222222222222223,1.5572700645913618e-05
0.28,2.2222222222222223,2.2222222222222223,1.623690174034527e-05
0.29,2.2222222222222223,2.2222222222222223,1.6648203626720175e-05
0.3,2.2222222222222223,2.2222222222222223,1.7161099374970455e-05
0.31,2.2222222222222223,2.2222222222222223,1.746363409589088e-05
