t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.0,1.0,0.8976908359874273,1.238433160436585,0.32559655168924384,0.0,0.0,1.0,0.0,0.0,0.2945243112740431,9.42477796076938,0.9991959775457294,0.0,0.0,0.0,True,1,0.6203504908994001,0.6203504908994001,True,32,1.0
0.1,326.0900582656698,0.9978230852951561,14270.260437072751,16.027403436111044,15.7797338380595,19.28730152198591,20.97617696340303,1.8349063524932236,0.011132704603113783,0.2945243112740431,9.42477796076938,0.9996585858602997,0.14540214467486018,0.0006998675587161796,7.242150548155902e-06,True,1,0.6203504908994001,0.6203504908994001,True,32,1.0
0.2,649.2049431494816,0.9809727762125816,15878.904414868319,16.082611685137806,15.811388300841896,19.339079605813716,21.0,2.6369105702762337,0.03462550496158047,0.2945243112740431,9.42477796076938,0.9996973266538156,0.2957576540067149,0.002148499432067796,2.282317588787255e-05,True,1,0.6203504908994001,0.6203504908994001,True,32,1.0
0.3,961.4993525307125,1.0266327462385092,16224.25983799511,16.0521741326105,15.7797338380595,19.261360284258224,20.97617696340303,2.9659350244882243,0.06263580534817602,0.2945243112740431,9.42477796076938,0.9996703044421876,0.4254060621269572,0.0044557137367635296,4.8624217020450785e-05,True,1,0.6203504908994001,0.6203504908994001,True,32,1.0
0.4,1271.4173230255556,0.9595481971554478,16389.94392556658,16.062359845973173,15.7797338380595,19.261360284258224,20.92844953645635,2.962062137907312,0.09203992123573931,5.203262832508095,166.50441064025904,0.9997043104440245,0.5160976226989787,0.007437850334626281,8.342390986398117e-05,True,1,0.6203504908994001,0.6203504908994001,True,32,1.0
0.5,1575.408805750449,0.9568914998539964,16292.484317254297,16.054775721652955,15.7797338380595,19.261360284258224,20.92844953645635,3.0812891581410145,0.1220408745926621,0.2945243112740431,9.42477796076938,0.9996783091423544,0.5817671887922542,0.010950201170396918,0.00012619185769681827,True,2,0.781592641796772,0.781592641796772,True,32,1.0
0.6,1890.581802235893,0.8165145035316398,16345.514541417442,16.054365239656732,15.7797338380595,19.28730152198591,20.92844953645635,2.9228322225113645,0.1526417263784665,0.2945243112740431,9.42477796076938,0.9997044922576034,0.6302653558862906,0.014883558598598415,0.00017615068345330873,True,35,2.0292075912899805,2.0292075912899805,False,32,1.0
0.7000000000000001,2197.505566467369,0.7847038057973588,16469.98168906849,16.051385872747524,15.7797338380595,19.28730152198591,20.92844953645635,2.7371096758758426,0.1836444727113522,0.2945243112740431,9.42477796076938,0.9997072566293957,0.6723604215136392,0.019422243571005297,0.00023604622138166697,True,87,2.7488025673162646,2.7488025673162646,False,32,1.0
0.8,2505.522506102042,0.8039666054350358,16488.602368035998,16.054576601896695,15.811388300841896,19.261360284258224,20.92844953645635,2.4463633160627545,0.215162963800864,0.2945243112740431,9.42477796076938,0.9997310180080721,0.7018967658398885,0.02417468229336228,0.0003016475971600748,True,152,3.310688545402854,3.310688545402854,False,32,1.0
0.9,2805.033748509999,0.8336958618021499,16479.58984709061,16.05776556598306,15.811388300841896,19.261360284258224,20.92844953645635,2.255058817996838,0.24624905316492057,0.2945243112740431,9.42477796076938,0.9997487581843987,0.7246049051326533,0.02925355338798599,0.00037477522083337843,True,242,3.865825551326594,3.865825551326594,False,32,1.0
1.0,3113.1033936665817,0.971788876697515,16419.448302703113,16.06643616573323,15.811388300841896,19.261360284258224,20.92844953645635,2.570422997044512,0.277963146519986,5.203262832508095,166.50441064025904,0.999798565153008,0.7421791149569253,0.03429016840132402,0.0004508298356515767,True,199,3.6217751870704147,3.6217751870704147,False,32,1.0
1.1,3399.7686706778886,0.9600921554692359,16376.871864555302,16.05383895376574,15.811388300841896,19.261360284258224,20.92844953645635,2.9063562957563103,0.30937623985822904,5.203262832508095,166.50441064025904,0.9998136248096536,0.7644606402644759,0.03998038172876227,0.0005393179655414607,True,333,4.2998358342662,4.2998358342662,False,32,1.0
