t,norm,peak,PR,R_rms,finite,seed,member,backend
0.0,0.9999999403953552,1.436251163482666,1.8873066103485516,3.0617372438231247,True,0,A,mlx
0.02,66.21022033691406,1.4474793672561646,5649.814238857396,15.882229044163925,True,0,A,mlx
0.04,131.63287353515625,1.574924111366272,10893.134541880308,15.93645275937073,True,0,A,mlx
0.06,196.79615783691406,1.8251290321350098,13068.433844187157,15.95342071074344,True,0,A,mlx
0.08,261.9512939453125,2.142500162124634,14069.33382703879,15.979309323559987,True,0,A,mlx
0.1,327.05572509765625,2.6899969577789307,14237.416734255754,15.986119305538594,True,0,A,mlx
0.12,392.3570861816406,3.0439529418945312,14518.870994308028,15.988670315882207,True,0,A,mlx
0.14,456.8818664550781,3.385679006576538,14713.82003721991,15.99760573103241,True,0,A,mlx
0.16,522.1357421875,3.990537166595459,14661.922002012374,15.995941599460954,True,0,A,mlx
0.18,586.4195556640625,4.573557376861572,14621.133497082064,16.002254221277774,True,0,A,mlx
0.2,650.5438232421875,5.057628154754639,14643.075160070734,15.997584571376697,True,0,A,mlx
0.22,714.6530151367188,5.1220927238464355,14912.826754157546,15.998315852234771,True,0,A,mlx
0.24,777.8505859375,4.780973434448242,15305.205422451329,15.995786085217954,True,0,A,mlx
0.26,842.1246337890625,4.543254852294922,15574.888294939921,15.997227171705074,True,0,A,mlx
0.28,905.4703369140625,4.197536468505859,15793.55997826791,15.99411645400886,True,0,A,mlx
0.3,969.7774658203125,4.072503566741943,15906.061442596252,15.991252362944431,True,0,A,mlx
0.32,1034.316162109375,3.717092990875244,16050.937115066694,15.99367317258499,True,0,A,mlx
0.34,1098.150634765625,3.420079469680786,16133.101548630888,15.994161560550987,True,0,A,mlx
0.36,1161.6826171875,3.2596073150634766,16162.45008321195,15.996154717052557,True,0,A,mlx
0.38,1225.7119140625,3.0129942893981934,16198.11998063031,15.997518112874001,True,0,A,mlx
0.4,1287.949462890625,2.4992828369140625,16269.98276790479,16.001670753361278,True,0,A,mlx
0.42,1350.8489990234375,1.9433016777038574,16325.681791206147,16.00305292103319,True,0,A,mlx
0.44,1413.762939453125,1.3143048286437988,16363.084051807413,16.002522716284755,True,0,A,mlx
0.46,1476.974609375,0.7538456916809082,16380.985029743033,16.002092948263392,True,0,A,mlx
0.48,1539.1055908203125,0.6403813362121582,16394.96312054691,16.00713450178645,True,0,A,mlx
0.5,1601.433837890625,0.635705292224884,16393.969554879404,16.003456264484385,True,0,A,mlx
0.52,1664.932861328125,0.6189460754394531,16385.546829875548,16.002171365273494,True,0,A,mlx
0.54,1725.4915771484375,0.6497516632080078,16391.36173419022,16.002916242120257,True,0,A,mlx
0.56,1788.232177734375,0.6547137498855591,16383.746753774063,16.00221793455412,True,0,A,mlx
0.58,1850.91162109375,0.6726720333099365,16389.299828359854,16.004416460167633,True,0,A,mlx
0.6,1912.956787109375,0.7148884534835815,16384.945508768596,16.006559130323986,True,0,A,mlx
0.62,1973.875,0.7938475012779236,16373.595796964251,16.00388859162848,True,0,A,mlx
0.64,2034.04638671875,0.7299838662147522,16367.570311792131,16.003260377683066,True,0,A,mlx
0.66,2097.39501953125,0.6925685405731201,16383.049834409994,16.001535771826003,True,0,A,mlx
0.68,2158.236328125,0.7518953680992126,16394.111900460055,16.0007863589328,True,0,A,mlx
0.7000000000000001,2219.98681640625,0.8180694580078125,16405.79897668343,16.003853054525116,True,0,A,mlx
0.72,2283.1591796875,0.8116252422332764,16416.77436724806,16.005494986241136,True,0,A,mlx
0.74,2344.1787109375,0.8563308715820312,16429.405400280262,16.00723155212756,True,0,A,mlx
0.76,2402.751953125,0.9361937046051025,16429.77553407886,16.011321753532005,True,0,A,mlx
0.78,2464.25146484375,0.9430146813392639,16419.993395199643,16.010459062728852,True,0,A,mlx
0.8,2524.44287109375,0.972594141960144,16418.504376810626,16.010037321172813,True,0,A,mlx
0.8200000000000001,2583.820068359375,0.9256712198257446,16407.12374178152,16.01003092235641,True,0,A,mlx
0.84,2644.21044921875,1.0663204193115234,16371.870457251058,16.01025828769098,True,0,A,mlx
0.86,2704.46923828125,0.9801837205886841,16387.680901335247,16.00926294391054,True,0,A,mlx
0.88,2764.57275390625,1.0695486068725586,16427.686894386898,16.0095322473797,True,0,A,mlx
0.9,2824.6728515625,1.0747718811035156,16440.7658481829,16.007991355788825,True,0,A,mlx
0.92,2885.8583984375,1.0787057876586914,16443.053334679273,16.00771214799324,True,0,A,mlx
0.9400000000000001,2945.833984375,1.1931071281433105,16438.983020821517,16.008005071071715,True,0,A,mlx
0.96,3005.86572265625,1.3281068801879883,16426.263137166738,16.006598477658873,True,0,A,mlx
0.98,3064.3232421875,1.0804356336593628,16430.23688448595,16.00527444966156,True,0,A,mlx
1.0,3122.192138671875,1.2363297939300537,16441.004579632216,16.005782376187515,True,0,A,mlx
1.02,3179.7958984375,1.5036345720291138,16457.453043542097,16.003897713321226,True,0,A,mlx
1.04,3239.004638671875,1.7687158584594727,16471.299376290724,16.002002542140758,True,0,A,mlx
1.06,3300.51611328125,2.0019824504852295,16465.726409145456,16.003405872057332,True,0,A,mlx
1.08,3356.380859375,2.0727217197418213,16444.703647008857,16.004318510015953,True,0,A,mlx
1.1,3414.30908203125,2.166799783706665,16420.192023494827,16.003006154561874,True,0,A,mlx
1.12,3472.74169921875,1.9725021123886108,16422.911219863563,16.0003800564241,True,0,A,mlx
1.1400000000000001,3530.05078125,1.6762701272964478,16443.873563453304,16.00116519718747,True,0,A,mlx
1.16,3585.168212890625,1.3686214685440063,16469.16721763893,16.00069055746357,True,0,A,mlx
1.18,3641.992431640625,1.572591781616211,16498.45694653912,16.00281197473598,True,0,A,mlx
1.2,3700.95751953125,1.5537973642349243,16491.08671341611,16.003209002566116,True,0,A,mlx
1.22,3758.816650390625,1.3911709785461426,16474.866838869413,16.002112561377867,True,0,A,mlx
1.24,3819.015869140625,1.4282487630844116,16448.484227660887,16.00111447430263,True,0,A,mlx
1.26,3875.78955078125,1.3482139110565186,16450.849981079024,16.000440168003255,True,0,A,mlx
1.28,3933.91552734375,1.390446662902832,16453.49110037943,16.00091385129613,True,0,A,mlx
1.3,3992.05810546875,1.3587491512298584,16470.16363172837,15.999011413013129,True,0,A,mlx
1.32,4052.51220703125,1.3563745021820068,16480.815673924128,15.997209654606875,True,0,A,mlx
1.34,4110.08935546875,1.531313180923462,16466.980543142254,15.999404202335299,True,0,A,mlx
1.36,4167.259765625,1.5817861557006836,16474.038655558492,16.0006685985243,True,0,A,mlx
1.3800000000000001,4222.0693359375,1.4374637603759766,16492.29657808662,15.999224738209332,True,0,A,mlx
1.4000000000000001,4281.32763671875,1.6282196044921875,16515.159185413195,15.998968916437398,True,0,A,mlx
1.42,4338.2822265625,1.6185264587402344,16527.951824946762,15.999676530679423,True,0,A,mlx
1.44,4394.17578125,1.8621147871017456,16514.15859948448,15.99484721104807,True,0,A,mlx
1.46,4453.76171875,2.086926221847534,16504.71296725099,15.99360403838456,True,0,A,mlx
1.48,4511.443359375,1.9036104679107666,16489.719908494724,15.993071253517169,True,0,A,mlx
1.5,4571.33056640625,1.6415432691574097,16504.281108679916,15.994118709049186,True,0,A,mlx
1.52,4628.3662109375,1.637825608253479,16523.490666664984,15.995459355864798,True,0,A,mlx
1.54,4687.0498046875,1.5429821014404297,16538.17345446996,15.99377021002226,True,0,A,mlx
1.56,4746.6162109375,1.6672098636627197,16551.10352931174,15.992215673671032,True,0,A,mlx
1.58,4800.72802734375,1.692214846611023,16549.192997863964,15.988685598965654,True,0,A,mlx
1.6,4856.458984375,1.8690683841705322,16535.43336470351,15.987689351891163,True,0,A,mlx
1.62,4909.53515625,1.7556008100509644,16534.18898211148,15.987622067040993,True,0,A,mlx
1.6400000000000001,4965.5166015625,1.665653109550476,16555.92174677228,15.985716117644923,True,0,A,mlx
1.6600000000000001,5020.03369140625,1.6692191362380981,16590.155786057723,15.983917432436902,True,0,A,mlx
1.68,5074.5703125,1.7726647853851318,16601.929019541552,15.983196156791461,True,0,A,mlx
1.7,5130.74609375,1.9486247301101685,16606.601917713095,15.981972014781904,True,0,A,mlx
1.72,5188.0341796875,1.8574730157852173,16616.25147686122,15.98014550050662,True,0,A,mlx
1.74,5242.697265625,2.009467124938965,16630.97320797814,15.982546354848052,True,0,A,mlx
1.76,5302.18408203125,1.7499500513076782,16636.45518758829,15.983374982710856,True,0,A,mlx
1.78,5355.92578125,1.9174038171768188,16631.87786073223,15.98294931538537,True,0,A,mlx
1.8,5411.74853515625,1.883406639099121,16631.409106154595,15.984067207182086,True,0,A,mlx
1.82,5464.9951171875,1.9676628112792969,16631.44640699237,15.985874454239148,True,0,A,mlx
1.84,5519.232421875,1.9905775785446167,16632.17752285079,15.986035278130391,True,0,A,mlx
1.86,5570.14013671875,2.1046409606933594,16611.67124932875,15.986879689335586,True,0,A,mlx
1.8800000000000001,5624.3828125,1.997220516204834,16599.52736823219,15.98775805621168,True,0,A,mlx
1.9000000000000001,5678.419921875,1.7464531660079956,16608.824202062217,15.98786397438239,True,0,A,mlx
1.92,5731.455078125,2.1921446323394775,16624.03148876057,15.988026718535659,True,0,A,mlx
1.94,5784.1474609375,2.714109420776367,16617.45032561243,15.987165719602771,True,0,A,mlx
1.96,5836.3828125,2.9568653106689453,16623.279520197273,15.988114318716052,True,0,A,mlx
1.98,5890.6728515625,2.900441884994507,16626.734149518612,15.988135938814224,True,0,A,mlx
2.0,5945.8525390625,2.3292644023895264,16669.70613225943,15.98786047714064,True,0,A,mlx
2.02,5997.95703125,1.8261405229568481,16687.98038781715,15.990168693128293,True,0,A,mlx
2.04,6053.56884765625,1.8668538331985474,16715.108305708636,15.990636623588193,True,0,A,mlx
2.06,6107.583984375,1.930387020111084,16730.09530658104,15.991502642553165,True,0,A,mlx
2.08,6159.3623046875,2.089930772781372,16734.542915392107,15.991823701949594,True,0,A,mlx
2.1,6214.02099609375,1.9814066886901855,16741.368749374768,15.992982057406977,True,0,A,mlx
2.12,6265.1982421875,1.910154938697815,16760.700317345145,15.994572239032218,True,0,A,mlx
2.14,6318.6982421875,1.9730331897735596,16766.733328375114,15.993985902656311,True,0,A,mlx
2.16,6370.16796875,2.1890594959259033,16775.74141220589,15.99268576635513,True,0,A,mlx
2.18,6422.3984375,2.2925336360931396,16774.869877936075,15.994338099676321,True,0,A,mlx
2.2,6472.0869140625,2.2931554317474365,16789.78434133875,15.995228878162195,True,0,A,mlx
2.22,6526.3935546875,2.1147336959838867,16810.689178501936,15.99425957445827,True,0,A,mlx
2.24,6580.7412109375,2.243621826171875,16845.843043339843,15.99329183530378,True,0,A,mlx
2.2600000000000002,6633.8046875,2.5887715816497803,16838.607894751836,15.99314881364542,True,0,A,mlx
2.2800000000000002,6686.8828125,2.5675621032714844,16840.210570938176,15.992994886653225,True,0,A,mlx
2.3000000000000003,6741.1162109375,2.367924928665161,16834.30313971475,15.99256837681791,True,0,A,mlx
2.32,6795.4541015625,2.506870985031128,16833.731333387645,15.991366227893252,True,0,A,mlx
2.34,6849.97998046875,2.5019309520721436,16835.878271711063,15.992810773583605,True,0,A,mlx
2.36,6903.69775390625,2.3054778575897217,16841.46535054596,15.994015317293842,True,0,A,mlx
2.38,6953.693359375,2.492431163787842,16864.423519867996,15.992806957776613,True,0,A,mlx
2.4,7003.5595703125,2.2957584857940674,16890.352184284755,15.99255884933169,True,0,A,mlx
2.42,7057.3173828125,2.193207263946533,16921.481530721525,15.992838033556666,True,0,A,mlx
2.44,7105.912109375,2.342569351196289,16952.183635306345,15.992568330401907,True,0,A,mlx
2.46,7157.5419921875,2.300302028656006,16953.051252924626,15.994816260124955,True,0,A,mlx
2.48,7211.830078125,2.433767080307007,16928.54558547938,15.99571106632811,True,0,A,mlx
2.5,7260.01513671875,2.678842067718506,16920.234651488452,15.99538154148393,True,0,A,mlx
2.52,7310.60986328125,2.4335451126098633,16936.085009807473,15.995637644854543,True,0,A,mlx
2.54,7358.08935546875,2.148862600326538,16968.188349482858,15.99384527082306,True,0,A,mlx
2.56,7412.3076171875,2.381852149963379,17006.55116735987,15.995447932436507,True,0,A,mlx
2.58,7462.4375,2.411515235900879,17011.397755578982,15.998969081223553,True,0,A,mlx
2.6,7511.8193359375,2.2635934352874756,16997.721215634814,15.999125328240101,True,0,A,mlx
2.62,7560.58837890625,2.6089582443237305,16980.839333668388,15.999858233555118,True,0,A,mlx
2.64,7610.3701171875,2.604861259460449,16992.599851491617,15.9992172887721,True,0,A,mlx
2.66,7662.1953125,2.298736810684204,17025.80280920077,15.997857841993131,True,0,A,mlx
2.68,7713.0673828125,2.326017141342163,17053.77180501769,15.99789212982619,True,0,A,mlx
2.7,7764.2529296875,2.2484350204467773,17076.561834471035,15.99896801167983,True,0,A,mlx
2.72,7814.60595703125,2.511704683303833,17085.44425783433,16.001127495656387,True,0,A,mlx
2.74,7864.6884765625,2.591187000274658,17085.79560600796,16.002437961261247,True,0,A,mlx
2.7600000000000002,7919.7578125,2.1881027221679688,17071.259907660555,16.001550790211652,True,0,A,mlx
2.7800000000000002,7967.9462890625,2.564851999282837,17072.825161835004,16.001694270809594,True,0,A,mlx
2.8000000000000003,8020.6611328125,2.593191146850586,17069.938377821298,16.00301821168018,True,0,A,mlx
2.82,8068.80859375,2.748445749282837,17060.80477457307,16.003506316465295,True,0,A,mlx
2.84,8118.904296875,2.6443424224853516,17059.147129749665,16.00220551950725,True,0,A,mlx
2.86,8165.142578125,2.5221312046051025,17075.117200009558,16.000088021741682,True,0,A,mlx
2.88,8218.705078125,2.876530885696411,17087.123351514583,16.000747272317195,True,0,A,mlx
2.9,8269.2041015625,2.7996625900268555,17102.633643822373,16.00185495644688,True,0,A,mlx
2.92,8316.826171875,2.9134457111358643,17132.47054139548,16.000959226276606,True,0,A,mlx
2.94,8361.21875,2.6025710105895996,17137.083485682237,16.00107763621313,True,0,A,mlx
2.96,8407.373046875,2.32930850982666,17119.97710089597,16.00042610798768,True,0,A,mlx
2.98,8454.08984375,2.6524906158447266,17126.746315926765,16.00137412872054,True,0,A,mlx
3.0,8502.6259765625,2.5849618911743164,17153.89744865246,16.00206787404639,True,0,A,mlx
3.02,8551.7998046875,2.5480997562408447,17184.734628721657,16.003189056825438,True,0,A,mlx
3.04,8600.357421875,2.670611619949341,17215.978376261464,16.002054731875663,True,0,A,mlx
3.06,8650.232421875,2.5362026691436768,17253.805866049646,16.003724876561126,True,0,A,mlx
3.08,8697.88671875,2.635971784591675,17279.250616702073,16.003629778827165,True,0,A,mlx
3.1,8746.166015625,2.710042953491211,17294.046878871424,16.004001890452273,True,0,A,mlx
3.12,8795.75390625,2.642312526702881,17266.09400645721,16.004999730126983,True,0,A,mlx
3.14,8843.150390625,3.023746967315674,17264.102325201788,16.0041840612199,True,0,A,mlx
3.16,8886.982421875,3.288219928741455,17283.03855601368,16.004653282660314,True,0,A,mlx
3.18,8935.560546875,2.788743019104004,17317.05564886114,16.00361775453561,True,0,A,mlx
3.2,8982.25390625,3.034055233001709,17347.121310466704,16.000450288745814,True,0,A,mlx
3.22,9028.783203125,3.0737907886505127,17364.59765357539,16.00151243140395,True,0,A,mlx
3.24,9073.77734375,3.020571231842041,17380.310936839356,16.001252594630497,True,0,A,mlx
3.2600000000000002,9118.7353515625,2.862013816833496,17391.26374708785,16.00137678905532,True,0,A,mlx
3.2800000000000002,9165.6298828125,2.829822301864624,17404.720722967148,16.00274658930024,True,0,A,mlx
3.3000000000000003,9213.853515625,2.6433753967285156,17399.03613159483,16.002208113350424,True,0,A,mlx
3.3200000000000003,9263.287109375,2.7994956970214844,17386.886661355726,16.002002000870856,True,0,A,mlx
3.34,9312.818359375,2.6921210289001465,17404.66014812962,16.00224407849483,True,0,A,mlx
3.36,9359.685546875,2.8077709674835205,17444.871146594054,16.003096816236912,True,0,A,mlx
3.38,9404.0595703125,2.873018264770508,17471.942649683864,16.00416768184994,True,0,A,mlx
3.4,9449.181640625,2.8184738159179688,17475.27670293737,16.006360520945627,True,0,A,mlx
3.42,9496.0908203125,2.5746989250183105,17468.89331436101,16.00810508549269,True,0,A,mlx
3.44,9541.2197265625,2.8556642532348633,17471.836995134312,16.008062222271892,True,0,A,mlx
3.46,9585.22265625,3.140124559402466,17487.193452514133,16.008211436129898,True,0,A,mlx
3.48,9627.375,2.762755870819092,17518.481233367183,16.008716504758,True,0,A,mlx
3.5,9676.79296875,2.6408090591430664,17537.738393316922,16.009153662804742,True,0,A,mlx
3.52,9724.8857421875,2.7603635787963867,17546.015906014145,16.00917229957144,True,0,A,mlx
3.54,9765.29296875,3.397852897644043,17550.505666488847,16.009306601250323,True,0,A,mlx
3.56,9812.0029296875,3.553406000137329,17551.38422859289,16.009116129436936,True,0,A,mlx
3.58,9857.259765625,3.195585012435913,17555.129985995718,16.00941247385878,True,0,A,mlx
3.6,9901.904296875,2.732269763946533,17547.903045755054,16.009666981987667,True,0,A,mlx
3.62,9947.705078125,2.767329692840576,17562.765517599528,16.0102529940027,True,0,A,mlx
3.64,9994.669921875,2.8897202014923096,17577.484289956847,16.010319936939375,True,0,A,mlx
3.66,10039.453125,2.7282965183258057,17600.7487648646,16.010890115917896,True,0,A,mlx
3.68,10083.560546875,2.756523609161377,17620.597166574782,16.01151173938017,True,0,A,mlx
3.7,10130.3818359375,2.9940013885498047,17649.627157576295,16.01110178384649,True,0,A,mlx
3.72,10174.73046875,2.963660478591919,17673.1860516014,16.011666756341757,True,0,A,mlx
3.74,10218.0859375,2.868622064590454,17691.555469804956,16.01143037980123,True,0,A,mlx
3.7600000000000002,10266.470703125,2.836719274520874,17693.77834190326,16.011855966408255,True,0,A,mlx
3.7800000000000002,10308.2294921875,2.690321445465088,17691.1601613377,16.012204298552486,True,0,A,mlx
3.8000000000000003,10354.76953125,2.813079357147217,17703.74334918052,16.012949710032636,True,0,A,mlx
3.8200000000000003,10401.291015625,2.7391984462738037,17728.73111395706,16.01250750388609,True,0,A,mlx
3.84,10448.34375,2.983290672302246,17748.7791090801,16.01176582503775,True,0,A,mlx
3.86,10494.2216796875,3.2026796340942383,17760.492918801523,16.009834929126033,True,0,A,mlx
3.88,10532.7333984375,3.0422298908233643,17767.31499449425,16.009873591192605,True,0,A,mlx
3.9,10580.466796875,3.049905776977539,17768.359412025533,16.008868749103485,True,0,A,mlx
3.92,10620.33203125,2.7485480308532715,17756.776597897406,16.01055525492715,True,0,A,mlx
3.94,10661.671875,3.0346603393554688,17769.016937790693,16.010979729046618,True,0,A,mlx
3.96,10700.1318359375,2.997534990310669,17794.474654632217,16.012791853381206,True,0,A,mlx
3.98,10744.5888671875,2.977834463119507,17820.198566280065,16.01274954355631,True,0,A,mlx
4.0,10785.3544921875,3.162766218185425,17831.5912049078,16.01386884451584,True,0,A,mlx
4.0200000000000005,10829.765625,2.877690315246582,17837.524630841846,16.01356093378646,True,0,A,mlx
4.04,10875.2734375,2.784071445465088,17836.687300108777,16.01275437556271,True,0,A,mlx
4.0600000000000005,10921.1328125,3.055448293685913,17858.95594309264,16.014689585326586,True,0,A,mlx
4.08,10965.1474609375,2.9131858348846436,17899.919551063962,16.016695257765313,True,0,A,mlx
4.1,11008.302734375,2.9013335704803467,17930.003333376822,16.017040239142958,True,0,A,mlx
4.12,11053.6025390625,3.0008745193481445,17944.434376198627,16.0169155247664,True,0,A,mlx
4.14,11097.4609375,2.9085521697998047,17957.246772642542,16.01633571925748,True,0,A,mlx
4.16,11138.705078125,2.9901862144470215,17949.3330744717,16.01717875847244,True,0,A,mlx
4.18,11183.9365234375,2.9527506828308105,17957.55092134512,16.01589571225497,True,0,A,mlx
4.2,11227.87109375,3.0631613731384277,17986.099464065373,16.01595387949631,True,0,A,mlx
4.22,11272.2119140625,2.957848072052002,18035.04063877464,16.016280430232417,True,0,A,mlx
4.24,11316.6943359375,2.9338669776916504,18053.67269124933,16.01726818898441,True,0,A,mlx
4.26,11358.8125,3.2353322505950928,18023.778704467913,16.016912913498196,True,0,A,mlx
4.28,11399.580078125,3.0603742599487305,17989.684320334807,16.016556300981538,True,0,A,mlx
4.3,11442.37890625,3.3413772583007812,17996.816485649513,16.01746294309786,True,0,A,mlx
4.32,11485.28125,3.100809097290039,18025.868393442885,16.01987587927446,True,0,A,mlx
4.34,11521.248046875,3.269178628921509,18042.303551619232,16.01776742565379,True,0,A,mlx
4.36,11565.470703125,3.8163063526153564,18049.774828012843,16.016258459937614,True,0,A,mlx
4.38,11607.330078125,3.1901767253875732,18066.594549674413,16.01626146582577,True,0,A,mlx
4.4,11650.814453125,2.886108160018921,18097.11403282351,16.01642703464332,True,0,A,mlx
4.42,11690.6953125,2.8363518714904785,18118.546841410647,16.017045639481175,True,0,A,mlx
4.44,11733.3955078125,3.074306011199951,18115.52415406196,16.01756650781128,True,0,A,mlx
4.46,11776.083984375,3.031435251235962,18101.974928674383,16.0173482935562,True,0,A,mlx
4.48,11818.970703125,2.9545764923095703,18093.780670835687,16.016263149030433,True,0,A,mlx
4.5,11859.61328125,3.10737681388855,18112.73028507687,16.015402912729808,True,0,A,mlx
4.5200000000000005,11902.291015625,3.1035051345825195,18127.1426427139,16.01539545280106,True,0,A,mlx
4.54,11943.4453125,3.086348533630371,18156.224632366604,16.01550693196745,True,0,A,mlx
4.5600000000000005,11985.375,3.2087912559509277,18180.38723882041,16.01476780558676,True,0,A,mlx
4.58,12022.115234375,3.409034013748169,18188.198050003735,16.01430564394002,True,0,A,mlx
4.6000000000000005,12060.6640625,3.0122101306915283,18177.876668685505,16.01448231565545,True,0,A,mlx
