t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx,dt,cell
0.0,1.0,1.4362512059597474,1.8873066938969778,0.6117469641319158,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988206227177869,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.000625,N64_dt0q
0.1,327.3582073603732,2.991189453503633,13772.018509096695,15.975919354394952,15.724185193516387,19.222382786741086,20.886598574205422,4.086062372608996,0.011287069420514734,0.6872233929727672,21.991148575128552,0.9999723317840105,0.13547905726051873,0.0006360516527024982,6.573539063159027e-06,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.000625,N64_dt0q
0.2,649.137956957311,6.340404445840064,13721.293484331596,15.991338472357542,15.732132722552274,19.222382786741086,20.886598574205422,11.23780123942157,0.03485200272696332,1.0799224746714913,34.55751918948772,0.99997379761774,0.27481606579406664,0.0019497279205876036,2.0688768099519968e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.000625,N64_dt0q
0.3,970.6963442086126,3.4317867244153915,16009.324033877061,15.995861081641536,15.748015748023622,19.222382786741086,20.886598574205422,13.542840614566323,0.06308162341526395,10.30835089459151,329.8672286269283,0.9999775772550844,0.40249875237284993,0.004253868115904414,4.647828274171244e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.000625,N64_dt0q
0.4,1288.6243571635587,0.9572156846687963,16303.835387114977,15.999308645138619,15.75595125658873,19.222382786741086,20.886598574205422,9.143928963534172,0.09313784437364535,10.30835089459151,329.8672286269283,0.9999818094195488,0.4562128049414647,0.006543692366287191,7.357515693945649e-05,True,3,0.8947002289396495,0.44735011446982476,False,64,0.5,0.000625,N64_dt0q
0.5,1601.312299268154,0.6427282504580312,16394.53046050784,16.00777309597455,15.75595125658873,19.222382786741086,20.89258241577618,4.137746158812424,0.12381411274978332,10.30835089459151,329.8672286269283,0.9999816299689206,0.5028588195276782,0.009223416827212531,0.00010656135131232581,True,358,4.404853536089669,2.2024267680448344,False,64,0.5,0.000625,N64_dt0q
0.6,1910.0608567715906,0.6821570201773669,16414.98325997563,16.004965588094358,15.75595125658873,19.222382786741086,20.89258241577618,1.9446390045449418,0.1548306040374136,10.30835089459151,329.8672286269283,0.99997163240553,0.5410273189111677,0.012342311664233706,0.00014646524648265975,True,736,5.600967702383306,2.800483851191653,False,64,0.5,0.000625,N64_dt0q
0.7000000000000001,2215.4349116967014,0.8327397341557045,16396.957680181535,15.999977798147706,15.748015748023622,19.222382786741086,20.89258241577618,1.597109853748874,0.18581366885757208,10.50470043544087,336.15041393410786,0.9999737214101996,0.5684663272809561,0.015806681519543488,0.0001927099849986746,True,535,5.036030954789922,2.518015477394961,False,64,0.5,0.000625,N64_dt0q
0.8,2516.7008758691104,1.1218234625984655,16456.483609764415,16.005474192478445,15.748015748023622,19.222382786741086,20.89258241577618,2.1368300953940604,0.21686484224411068,10.701049976290232,342.4335992412874,0.9999724623472914,0.5921138138306494,0.019691093272969144,0.00024667190827054407,True,163,3.3886990302096676,1.6943495151048338,False,64,0.5,0.000625,N64_dt0q
0.9,2814.43374954854,1.0711946040889415,16413.22476319285,16.010085063796076,15.75595125658873,19.222382786741086,20.89258241577618,2.1057410594901897,0.2478384169226859,10.50470043544087,336.15041393410786,0.9999778193365406,0.6075072494654762,0.023742189061633116,0.0003056385562888662,True,506,4.943341751080987,2.4716708755404935,False,64,0.5,0.000625,N64_dt0q
1.0,3109.658852918142,1.5054558021817817,16395.775916749622,16.010663494767673,15.763882770434446,19.235384061671343,20.89258241577618,2.9977993719485068,0.27880653525525234,10.701049976290232,342.4335992412874,0.9999812503246913,0.6214721067297256,0.028058094939817802,0.00037114858224447715,True,84,2.71683684833277,1.358418424166385,False,64,0.5,0.000625,N64_dt0q
1.1,3400.1220350773847,1.2848458884537721,16452.260387248167,16.014030489483954,15.771810295587505,19.241881404893856,20.898564544006366,3.4049087869377357,0.30974543866552795,10.701049976290232,342.4335992412874,0.999985393059069,0.6363170733811684,0.032765600147284864,0.0004453036022704739,True,525,5.0044562629624,2.5022281314812,False,64,0.5,0.000625,N64_dt0q
1.2,3693.8044341665545,1.4785205171875144,16475.99737688563,16.01026836944053,15.763882770434446,19.222382786741086,20.89258241577618,2.781499957600217,0.3407871770581815,10.50470043544087,336.15041393410786,0.9999888271673116,0.6437741333354448,0.03750104466814536,0.0005236047454908423,True,333,4.2998358342662,2.1499179171331,False,64,0.5,0.000625,N64_dt0q
1.3,3982.5509715887397,1.8055007960191811,16437.583439589143,16.010494995894735,15.763882770434446,19.235384061671343,20.89258241577618,3.5475413109149665,0.372014136381563,10.50470043544087,336.15041393410786,0.9999873933557042,0.6507628956241871,0.04229640763744498,0.0006066334962585428,True,147,3.2739816565177193,1.6369908282588597,False,64,0.5,0.000625,N64_dt0q
1.4000000000000001,4265.209893166906,1.799007190696529,16458.65756071202,16.011327340593052,15.763882770434446,19.241881404893856,20.89258241577618,3.2160360011951727,0.4030967754901096,10.50470043544087,336.15041393410786,0.9999889217577278,0.6593924835223388,0.047461977108421996,0.0006991228026515207,True,240,3.855146420814098,1.927573210407049,False,64,0.5,0.000625,N64_dt0q
1.5,4546.9041235978075,1.8859093319996427,16490.442032901,16.006529897889386,15.75595125658873,19.222382786741086,20.886598574205422,3.8748533127339564,0.4340557239190515,10.50470043544087,336.15041393410786,0.9999851667248063,0.6655823575846049,0.05273769202216682,0.0007977589278906486,True,272,4.019389542491952,2.009694771245976,False,64,0.5,0.000625,N64_dt0q
1.6,4824.473945427632,1.6822419543752674,16488.247983618814,16.00868145490752,15.763882770434446,19.235384061671343,20.886598574205422,4.007847202707101,0.464874265015204,10.50470043544087,336.15041393410786,0.9999859686121443,0.670389295730002,0.058033895128314285,0.0009014045741701662,True,807,5.775571639224531,2.8877858196122657,False,64,0.5,0.000625,N64_dt0q
1.7,5106.723303052702,2.2708770366992828,16558.136165935197,16.017049168394124,15.771810295587505,19.241881404893856,20.89258241577618,4.011051146640222,0.49584791642571957,10.50470043544087,336.15041393410786,0.9999890062351532,0.6758043549508793,0.06352889669444081,0.0010129551346266103,True,129,3.134491046694726,1.567245523347363,False,64,0.5,0.000625,N64_dt0q
1.8,5373.29578931882,1.87608318322662,16567.253890991382,16.016442660670048,15.771810295587505,19.241881404893856,20.89258241577618,4.227556584270496,0.5266194519483256,10.50470043544087,336.15041393410786,0.9999884483516153,0.6816037935053738,0.0692108670197948,0.001132670523778321,True,760,5.661197779576941,2.8305988897884706,False,64,0.5,0.000625,N64_dt0q
1.9000000000000001,5645.053232444526,2.2614454918542135,16652.779891314498,16.01267349848482,15.763882770434446,19.241881404893856,20.89258241577618,4.0738815936298405,0.5571520233835152,9.915651812892785,317.3008580125691,0.999987296525695,0.6849374011782875,0.0750833700655558,0.001261079332767694,True,296,4.13429092290855,2.067145461454275,False,64,0.5,0.000625,N64_dt0q
2.0,5917.462073442316,1.952389584366904,16691.813500426484,16.01511653795706,15.771810295587505,19.241881404893856,20.89258241577618,4.81350013316628,0.5878872076995451,10.50470043544087,336.15041393410786,0.9999869040302467,0.6881165673176484,0.08075462499070236,0.0013916931830462794,True,972,6.145056569297661,3.0725282846488304,False,64,0.5,0.000625,N64_dt0q
