t,peak_t,participation_t,rrms_t,mem_amp_t,focus_amp_t,mass_t
0.0,0.7782178184668025,2.1843516284693734,0.6588734042754464,0.0,0.0001831054687499998,1.0
0.1,0.7648971380541679,11677.615808401097,15.96196821087531,0.004082669480190928,0.025220424516013275,137.73714509012072
0.2,0.7522618242963888,14966.455381490374,15.956247025664393,0.01283279849212869,0.049855704689681556,272.2786218785812
0.3,0.6827794968745468,15964.5530835832,15.954878494823447,0.023457274538074644,0.07467824761313568,407.84280296453886
0.4,0.6601150815676566,16185.486229245655,15.971750961119842,0.035037850920872436,0.0995028717747728,543.4183503859599
0.5,0.5370222124454469,16205.997986390952,15.995058613529027,0.047147618896373034,0.12418226240860684,678.2007291008724
0.6,0.37589610693254927,16269.651811650292,16.015882985916402,0.05953754986181532,0.14878565279461495,812.5680451289916
0.7000000000000001,0.35699434278469633,16340.659441092443,16.00900427411816,0.07221160285699235,0.1735790156241688,947.9728639954618
0.8,0.3628592519306404,16374.472107711139,15.995900441954287,0.08511265639401117,0.19801762935015885,1081.4402797576688
0.9,0.36588549498855105,16371.807588144971,15.983469063021024,0.09814912046574278,0.2222451752592608,1213.7549838159111
1.0,0.4378179125864283,16439.164841992897,15.971492400566822,0.11098236965441385,0.24511160007633545,1338.6361518835618
1.1,0.4833233795021607,16448.34294674084,15.987877264417659,0.1237953011664895,0.2685603465844188,1466.697572813041
1.2,0.5136040499621146,16399.069015854733,15.988721473159478,0.1368081649597839,0.2927177904755784,1598.6294263839611
1.3,0.567278447302173,16279.491934160615,15.994889108137805,0.15012197968810725,0.3171366779457462,1731.989110487704
1.4000000000000001,0.6411996751714207,16289.466226814067,15.988572644952159,0.16339869297347207,0.3402148236196676,1858.0265567282142
1.5,0.7699106570225298,16305.087335181466,15.9940965889713,0.17658883171975695,0.3628896467728496,1981.8613242421254
1.6,0.7573361921795722,16412.297944071484,15.994240199503368,0.18979214258968033,0.38730863670460697,2115.221567922763
1.7,0.7276765521297598,16495.744164285294,15.988016383272328,0.20296189917311055,0.40951969744816913,2236.523574330271
1.8,0.7387420486047992,16494.26091602779,15.982053343409639,0.21605065194281184,0.4321247358579462,2359.977224098867
1.9000000000000001,0.7654224771844316,16462.222991666167,15.989228841909753,0.22900887590788988,0.45493093658033934,2484.529488310763
2.0,0.7819484107780403,16446.344873371607,15.987115045548663,0.24218848953487954,0.4780699075426211,2610.8991217261046
2.1,0.9777752867269018,16418.962227569387,15.99441519510282,0.2555714197476512,0.5015293788910001,2739.0191145833855
2.2,1.1298851860198929,16431.65944662242,15.99295343775522,0.2687296859612228,0.5232369898615316,2857.571613963781
2.3000000000000003,0.9765589586657738,16466.674283976994,15.996824329079994,0.28157940032993883,0.5449737218754598,2976.2831530691815
2.4,0.8696210738815673,16516.975228117673,15.996841466907187,0.294058314631155,0.5657783760821297,3089.9043045765425
2.5,1.0485978500213435,16581.36231382957,15.999270806584791,0.3067480809005574,0.5880666607424793,3211.6280565349307
2.6,1.1113091954887797,16490.59966894746,15.996702585326696,0.31960555156366366,0.6090245611106883,3326.08613641251
2.7,1.0136878166843246,16551.17858447885,15.998447684690346,0.33198131790160545,0.6301548375917522,3441.485619701093
2.8000000000000003,1.1046984752487494,16646.83148910851,16.002711090543016,0.3445511551039997,0.6518129890373277,3559.768004129197
2.9,1.1145171804386664,16812.10739461039,16.005019730218315,0.3571376974896398,0.6729095847270798,3674.9835453894975
3.0,1.3134760771317728,16892.22931533388,16.003041544011865,0.36971076996040353,0.6945491718552141,3793.1645438919486
3.1,1.1228378705375794,16841.008844800937,16.005951212994358,0.38214118882163034,0.714373617127723,3901.4324476735424
3.2,1.3011767301928274,16856.35024772357,16.00765628624581,0.3944702021303633,0.7358622878657474,4018.78924146414
3.3000000000000003,1.267491808420813,16852.50794752206,16.011199519945045,0.4068464765714998,0.7573890257859721,4136.353932825794
3.4,1.2406499983455748,16711.34053307257,16.01072983971751,0.41928650312183735,0.778068355071946,4249.29064316626
3.5,1.330840622119091,16735.49752523874,16.01572583979008,0.431900775117837,0.7998751499154012,4368.3848187379845
3.6,1.1766592791691608,16751.85355558309,16.010091452907478,0.4446751518071838,0.8219360179950114,4488.866572943428
3.7,1.233905256722834,16809.534142570712,16.012943631411943,0.4571761443540993,0.8415812605554428,4596.155790980131
3.8000000000000003,1.4471122976479889,16818.886653867357,16.01729152152911,0.4690561911790388,0.8606189710659675,4700.12707398161
3.9,1.46684003783742,16897.7178789418,16.020290676870154,0.4810337626022236,0.881279191795973,4812.959426128415
4.0,1.4591240387121234,17032.401550323957,16.017379591439347,0.49283676145681893,0.9003207577413417,4916.951764944722
4.1,1.4614442600202038,17119.24790390689,16.022788452664514,0.5045752422244727,0.9208301732474271,5028.960519495289
4.2,1.4675593941905039,17178.692533263467,16.02884929930293,0.5164265415365394,0.9402203897434778,5134.85695518572
4.3,1.2780019501397384,17227.137031174636,16.027311455643986,0.528387059118889,0.9602972193713739,5244.503214060203
4.4,1.4238333918638273,17292.153008845646,16.01803618684635,0.5399136391092954,0.9783996393688932,5343.366563806655
4.5,1.6983283454496079,17213.5520117534,16.015085071842943,0.5513410887801152,0.9966943488416968,5443.280070474127
4.6000000000000005,1.4785235940305108,17168.758916806673,16.017028830410577,0.5629943463183731,1.0168548026582946,5553.383028917841
4.7,1.5413033611396139,17141.843823957952,16.016167272131504,0.5741841518723955,1.03517163526667,5653.417357403047
4.8,1.4740820383771778,17192.609871143184,16.014105839999036,0.5852177391878643,1.05297781927788,5750.6628636829355
4.9,1.5017074618091382,17326.523589628727,16.012092975445235,0.5965739035033013,1.0738053054618777,5864.408708229143
5.0,1.464181144317579,17363.942962254987,16.010672535733338,0.6082554615440255,1.0924600034851508,5966.288232366911
