t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988205432891846,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,10,64,0.5,mlx
0.1,325.38873291015625,3.3005621433258057,13388.732390657478,15.976606067456933,15.732132722552274,19.222382786741086,20.89258241577618,4.384513365849853,0.011100997027560846,0.6872233929727672,21.991148575128552,0.9999768137931824,0.13231204922554166,0.0006094198548134807,6.290848178211931e-06,True,1,0.6203504908994001,0.31017524544970004,True,10,64,0.5,mlx
0.2,647.8575439453125,4.892519474029541,14701.146271462785,15.994033964390216,15.732132722552274,19.235384061671343,20.89258241577618,10.791098911315203,0.03463266242877366,10.50470043544087,336.15041393410786,0.9999704360961914,0.2877705969115639,0.002037846375930104,2.161159681065605e-05,True,1,0.6203504908994001,0.31017524544970004,True,10,64,0.5,mlx
0.3,967.2506103515625,2.977623462677002,16074.223920581377,15.997832146000732,15.732132722552274,19.222382786741086,20.898564544006366,11.599022438004614,0.06279973638415232,10.897399517139595,348.71678454846705,0.9999638199806213,0.3936045894324556,0.004108387709026154,4.485057468418732e-05,True,1,0.6203504908994001,0.31017524544970004,True,10,64,0.5,mlx
0.4,1285.45361328125,0.7726654410362244,16364.786739324782,16.00544934753278,15.748015748023622,19.241881404893856,20.89258241577618,7.562144066393375,0.0927433445853354,10.897399517139595,348.71678454846705,0.9999659061431885,0.4521855813618919,0.006383369503858358,7.166885624467968e-05,True,24,1.789400457879299,0.8947002289396495,False,10,64,0.5,mlx
0.5,1596.066162109375,0.6363642811775208,16376.884571176892,16.00613002942577,15.75595125658873,19.241881404893856,20.904544960366874,3.3618444714695217,0.12341127591577457,10.897399517139595,348.71678454846705,0.9999626278877258,0.5022421713816649,0.009067968247873091,0.0001045827102065099,True,401,4.574587312169345,2.2872936560846724,False,10,64,0.5,mlx
0.6,1906.8583984375,0.8329092264175415,16381.852994935944,16.00577486131024,15.75595125658873,19.241881404893856,20.89258241577618,1.8319506663829088,0.15437140923733483,10.897399517139595,348.71678454846705,0.9999698996543884,0.5396174515902349,0.012162528343895668,0.0001440832867551856,True,219,3.739255735818739,1.8696278679093694,False,10,64,0.5,mlx
0.7000000000000001,2213.322509765625,0.7841066718101501,16464.168377792645,16.001752568400697,15.732132722552274,19.241881404893856,20.89258241577618,1.5433124970644712,0.1854861663815069,10.897399517139595,348.71678454846705,0.99996417760849,0.5703054374174221,0.015711093955354964,0.000191229774979869,True,740,5.611096056635691,2.8055480283178453,False,10,64,0.5,mlx
0.8,2515.8046875,0.8615178465843201,16345.64588525966,16.003031838929658,15.732132722552274,19.241881404893856,20.898564544006366,1.9844623080454766,0.21649630765000266,10.897399517139595,348.71678454846705,0.9999676942825317,0.5877594694114215,0.019378567818932307,0.00024238880415675362,True,997,6.197295190220197,3.0986475951100987,False,10,64,0.5,mlx
0.9,2816.92822265625,1.2305375337600708,16420.72556290674,16.007600078384513,15.748015748023622,19.241881404893856,20.89258241577618,2.0971882196143268,0.247704588997965,10.897399517139595,348.71678454846705,0.9999654293060303,0.6087975282094518,0.02354485883038332,0.0003026031515388696,True,189,3.5600633948688643,1.7800316974344321,False,10,64,0.5,mlx
