t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988205432891846,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.1,326.62322998046875,2.695955276489258,14089.450681522761,15.964110749621995,15.724185193516387,19.20286436967152,20.8806130178211,3.780058096442372,0.01114800871210581,10.701049976290232,342.4335992412874,0.9999777674674988,0.13159076310279139,0.0006070767717697625,6.267357884534111e-06,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.2,648.85546875,5.530801773071289,14276.624052961828,15.97415315038338,15.732132722552274,19.209372712298546,20.868636754709208,10.097602079436182,0.034696093316756806,0.2945243112740431,9.42477796076938,0.9999749660491943,0.2743071999155558,0.0019195576374976733,2.034561923046919e-05,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.3,967.35888671875,4.720823764801025,15621.823004863552,15.984603722770052,15.732132722552274,19.222382786741086,20.886598574205422,13.898365366086363,0.0628606845883617,0.2945243112740431,9.42477796076938,0.9999767541885376,0.39552844259993136,0.0040756868459462916,4.444566300833939e-05,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.4,1281.10009765625,3.7146782875061035,16114.029646877869,15.988756105691388,15.732132722552274,19.222382786741086,20.886598574205422,13.430272405594588,0.09266606541313943,0.2945243112740431,9.42477796076938,0.9999734163284302,0.4631996555431308,0.006567440368751026,7.370191147136264e-05,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.5,1595.50634765625,3.3909475803375244,16264.015219290344,15.990797287410953,15.732132722552274,19.222382786741086,20.886598574205422,11.74605052098632,0.1232543871769003,0.2945243112740431,9.42477796076938,0.9999748468399048,0.5065905728019254,0.009325855886593092,0.00010763610373455962,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.6,1909.7626953125,3.911022901535034,16209.093969086163,15.998905155094397,15.75595125658873,19.215878850575635,20.886598574205422,11.577794151753187,0.15438508517931768,10.30835089459151,329.8672286269283,0.99997878074646,0.5390912341053923,0.012357351134828264,0.00014658249352494026,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.7000000000000001,2214.760009765625,5.656131267547607,16181.377901519758,16.00075435300206,15.75595125658873,19.215878850575635,20.886598574205422,14.781158791482449,0.18558138443048183,10.30835089459151,329.8672286269283,0.9999853372573853,0.5698763979427308,0.015883096787449886,0.00019358458480970019,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.8,2517.1064453125,4.867035865783691,16278.954309760822,16.00099936052576,15.732132722552274,19.215878850575635,20.886598574205422,16.548426748812197,0.2167151979040967,10.30835089459151,329.8672286269283,0.9999865889549255,0.5946082846182882,0.019836265658351355,0.00024847027007534375,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
0.9,2817.804443359375,3.156822681427002,16394.539514565018,15.995347928005243,15.732132722552274,19.215878850575635,20.8806130178211,14.431068395078182,0.2478961495433584,10.897399517139595,348.71678454846705,0.9999869465827942,0.612091997175774,0.024037720382726096,0.0003094935346287469,True,1,0.6203504908994001,0.31017524544970004,True,14,64,0.5,mlx
1.0,3110.9267578125,1.0722490549087524,16378.393719430696,16.00097238536206,15.748015748023622,19.222382786741086,20.868636754709208,9.013584925234317,0.2789274936114192,10.897399517139595,348.71678454846705,0.9999841451644897,0.6237997070191251,0.02831996529761151,0.0003747708331084554,True,945,6.087622773869942,3.043811386934971,False,14,64,0.5,mlx
1.1,3407.978515625,1.3927712440490723,16408.1263258812,16.00038196595775,15.75595125658873,19.222382786741086,20.868636754709208,4.428765445947647,0.31013027279172733,10.30835089459151,329.8672286269283,0.9999876022338867,0.6338089062570059,0.032761253970772355,0.00044546672917974447,True,312,4.207479366835002,2.103739683417501,False,14,64,0.5,mlx
1.2,3703.037109375,1.3221380710601807,16401.617281559094,16.00110780542885,15.75595125658873,19.222382786741086,20.886598574205422,3.018469225335866,0.3414596872691177,10.30835089459151,329.8672286269283,0.9999899864196777,0.6429376200698582,0.03733185657065702,0.0005214180954629974,True,738,5.606036454201471,2.8030182271007353,False,14,64,0.5,mlx
1.3,3987.841796875,1.3811235427856445,16430.508713061,16.004125369938095,15.75595125658873,19.222382786741086,20.89258241577618,3.1487508467398584,0.3727039315238712,10.30835089459151,329.8672286269283,0.999985933303833,0.6541784591836973,0.04233478405387055,0.0006072159887975476,True,920,6.033459557881385,3.0167297789406926,False,14,64,0.5,mlx
1.4000000000000001,4276.62109375,1.4280720949172974,16446.31608939765,16.001202988958326,15.748015748023622,19.222382786741086,20.89258241577618,3.5200735218822956,0.4038396058805227,10.30835089459151,329.8672286269283,0.9999860525131226,0.6589912793435502,0.04730951801924327,0.0006968281470943109,True,1040,6.285139335191904,3.142569667595952,False,14,64,0.5,mlx
