t,planted,peak,glue_in,glue_out,res_in,res_out
0.0,False,1.436251163482666,nan,nan,1.0922122217586196e-31,3.0765088013140485e-05
0.005,False,1.4063067436218262,0.48220658720066756,0.993261906180908,0.0005021844990551472,0.0005230543902143836
0.01,False,1.3647541999816895,0.6710870167032652,0.9795791258805786,0.0009605861851014197,0.0009889452485367656
0.015,False,1.3397414684295654,0.7266848285890993,0.9607590607744387,0.001371805788949132,0.0014318794710561633
0.02,False,1.4343373775482178,0.749584563013865,0.9443821865629872,0.0018067596247419715,0.0018541250610724092
0.025,False,1.4884189367294312,0.7831431410707433,0.9266339189428398,0.0022413155529648066,0.0022662177216261625
0.03,False,1.468442678451538,0.7943692171318374,0.905672477640937,0.0026297164149582386,0.002646127948537469
0.035,False,1.5589338541030884,0.8063816392076125,0.8937198027757159,0.0030272824224084616,0.0030147333163768053
0.04,False,1.6575387716293335,0.8162834707213135,0.8850885381095106,0.0033812597393989563,0.0033634610008448362
0.045,False,1.6965736150741577,0.8197098649447383,0.874485544985877,0.0037678126245737076,0.0036945112515240908
0.05,False,1.7744402885437012,0.8059664617845163,0.8653447487960547,0.004105839878320694,0.004018506966531277
0.055,False,1.7731863260269165,0.8137756742020819,0.8542402260402423,0.0044755395501852036,0.004330378025770187
0.06,False,1.8313676118850708,0.8204352588669126,0.848005570401979,0.004811013117432594,0.004625954665243626
0.065,False,1.947391152381897,0.8069005018687834,0.8469416159547399,0.004967894870787859,0.004917563870549202
0.07,False,2.0506346225738525,0.7948639779692643,0.8432836599921024,0.0052378373220562935,0.005189596209675074
0.075,False,2.1653292179107666,0.7962584055137405,0.8410457140533708,0.005667980760335922,0.0054556685499846935
0.08,False,2.281956911087036,0.7910994099782008,0.8376772367179448,0.005928356200456619,0.005714928265661001
0.085,False,2.4328601360321045,0.7874574351147736,0.8396968954661015,0.006196834612637758,0.005964326672255993
0.09,False,2.74766206741333,0.7844627405419502,0.8428804808275455,0.006489269435405731,0.006208972539752722
0.095,False,2.8352975845336914,0.7788147958186741,0.841297289333671,0.006733721122145653,0.0064550768584012985
0.1,False,2.892598867416382,0.7807233060344712,0.8380098403332024,0.007047381717711687,0.00668299850076437
0.105,False,2.974576950073242,0.7825284892963152,0.835161869634378,0.007322411052882671,0.006915029603987932
0.11,False,3.1175944805145264,0.7837933517866384,0.8337014420310727,0.007692744955420494,0.007143727969378233
0.115,False,3.2543752193450928,0.7832339216803033,0.8320496010909166,0.007829231210052967,0.007368885446339846
0.12,False,3.526566982269287,0.7807816952678017,0.8349238024377718,0.008158382028341293,0.007589829154312611
0.125,False,3.7424936294555664,0.7872779598911301,0.8358328248795562,0.008466996252536774,0.007805364206433296
0.13,False,3.9134938716888428,0.7945150439228541,0.8359532945339333,0.008514567278325558,0.008018995635211468
0.135,False,4.111690998077393,0.7935969793146644,0.8368445072921914,0.00853351317346096,0.008220062591135502
0.14,False,4.271633148193359,0.7948451617239406,0.8353545468845919,0.008731302805244923,0.008429109118878841
0.145,False,4.528036117553711,0.7925107743077325,0.8370414263298882,0.008939954452216625,0.008650921285152435
0.15,False,4.629052639007568,0.7891936622532914,0.8364284557140467,0.009090904146432877,0.008857731707394123
0.155,False,4.7338738441467285,0.7886029801507811,0.8353565848080764,0.00924755074083805,0.009061248041689396
0.16,False,4.966579437255859,0.7804759460161378,0.8362733618083281,0.009466409683227539,0.009281777776777744
0.165,False,5.125243186950684,0.7827387083779392,0.8361593636088357,0.009634869173169136,0.00948390457779169
0.17,False,5.221682071685791,0.7768758178795976,0.8340842618688291,0.009826622903347015,0.009694375097751617
0.17500000000000002,False,5.313260555267334,0.7786102680556503,0.8328570682031349,0.010103022679686546,0.009884806349873543
0.18,False,5.351917743682861,0.77438947088084,0.8303568873228325,0.010408665053546429,0.010092943906784058
0.185,False,5.373974323272705,0.7752418813291012,0.8273681956615286,0.010614179074764252,0.01029413565993309
0.19,False,5.356314659118652,0.7717329715187344,0.824329400115203,0.010806001722812653,0.010492094792425632
0.195,False,5.293642520904541,0.7700896350530436,0.8201908346847521,0.01103128306567669,0.010700318962335587
0.2,False,5.232145309448242,0.7669904511424189,0.8164620053510329,0.011158772744238377,0.010908490978181362
0.20500000000000002,False,5.283025741577148,0.7664920217562632,0.8148204570945599,0.011458592489361763,0.011112541891634464
0.21,False,5.285323143005371,0.7646008711326614,0.8117844484286305,0.011712725274264812,0.011313189752399921
0.215,False,5.216939926147461,0.7668701305679806,0.8081936281607283,0.011895038187503815,0.011524601839482784
0.22,False,5.065786838531494,0.7674872171849328,0.8028268518196086,0.012112526223063469,0.011732514016330242
0.225,False,5.042765140533447,0.7715482323326788,0.8005007009549184,0.012225056998431683,0.011926588602364063
0.23,False,4.879521369934082,0.7759287093817622,0.7953821479894371,0.012129753828048706,0.012126974761486053
0.23500000000000001,False,4.811132907867432,0.7690918314188054,0.7922260575427994,0.012411064468324184,0.012325829826295376
0.24,False,4.767447471618652,0.7730635383756029,0.7891688300672282,0.012639012187719345,0.012533116154372692
0.245,False,4.646158218383789,0.7704313582552064,0.784752715840554,0.012606963515281677,0.012756431475281715
0.25,False,4.380076885223389,0.7689594066921602,0.7774850715468087,0.01263185404241085,0.012957368977367878
0.255,False,4.225497722625732,0.7623649861684271,0.7726118381134484,0.0129325482994318,0.013179832138121128
0.26,False,4.02421236038208,0.7606081032863242,0.7668591922019705,0.012920987792313099,0.013396060094237328
0.265,False,3.987492799758911,0.7538076649964928,0.7654771829447026,0.013093352317810059,0.013600955717265606
0.27,False,3.7834267616271973,0.7555809206346811,0.7608168067646587,0.013292127288877964,0.013798764906823635
0.275,False,3.716360330581665,0.7499628838150846,0.7584433223293682,0.013747381046414375,0.014032423496246338
0.28,False,3.5488598346710205,0.7440744351935339,0.7546906855242425,0.01400977373123169,0.014241174794733524
0.28500000000000003,False,3.446451187133789,0.7440315067443141,0.7524386929231632,0.01436934806406498,0.014468986541032791
0.29,False,3.2109479904174805,0.7334986081757391,0.7479802171850805,0.014553478918969631,0.014672740362584591
0.295,False,3.129636526107788,0.7345285130394908,0.7468808660155837,0.014889120124280453,0.014907236211001873
0.3,False,2.9207379817962646,0.7333194152439038,0.7434505183306812,0.01511160284280777,0.0151181286200881
0.305,False,2.8670191764831543,0.7234020235310632,0.7432423827765455,0.015535518527030945,0.015342692844569683
0.31,False,2.758382558822632,0.7236896297642021,0.7416803723937857,0.015895353630185127,0.015570355579257011
0.315,False,2.600346803665161,0.7234766989950201,0.7398109774180638,0.01607298105955124,0.01578712649643421
0.32,False,2.450223684310913,0.7256157771985293,0.7383897443474988,0.016190052032470703,0.016002213582396507
0.325,False,2.249216079711914,0.7241936608585701,0.735993483708444,0.0164086502045393,0.016212789341807365
0.33,False,2.1691083908081055,0.7263240385422833,0.7355391027596107,0.016591357067227364,0.016444388777017593
0.335,False,2.0608763694763184,0.7247376746878961,0.7348207560085263,0.016759267076849937,0.01664610765874386
0.34,False,1.9723738431930542,0.7227224643924922,0.7342707521528858,0.01713332161307335,0.016873130574822426
0.34500000000000003,False,1.7889719009399414,0.7221396259225537,0.7323537376592192,0.017285073176026344,0.01711246557533741
0.35000000000000003,False,1.6287617683410645,0.724283651606366,0.7311953447493665,0.01749761961400509,0.017324917018413544
0.355,False,1.4722909927368164,0.7276232930207385,0.7302164023789907,0.01772666908800602,0.01755366101861
0.36,False,1.3395899534225464,0.7320979739284513,0.7297544411398469,0.018072459846735,0.01778254099190235
0.365,False,1.1930196285247803,0.7327688236467114,0.7288379587801054,0.018199073150753975,0.0180243831127882
0.37,False,1.1240062713623047,0.7299559280873478,0.7292116689931323,0.018388787284493446,0.018264787271618843
0.375,False,1.0073904991149902,0.7387172038839417,0.7297715849213394,0.01849859207868576,0.01849973201751709
0.38,False,0.8530749678611755,0.7356524044627637,0.729396231118174,0.018915198743343353,0.018712133169174194
0.385,False,0.7998660802841187,0.7303281624895586,0.7304958837006915,0.019363975152373314,0.018937280401587486
0.39,False,0.7280429601669312,0.7276744866815146,0.7310038934281244,0.019519120454788208,0.019138500094413757
0.395,False,0.6434497237205505,0.7265157753037556,0.7311327142948931,0.019919151440262794,0.019359443336725235
0.4,False,0.5713802576065063,0.72836251638087,0.7308508355589504,0.02046002820134163,0.019586682319641113
0.405,False,0.5177940130233765,0.7285763380857485,0.7308561846479665,0.020776979625225067,0.019788939505815506
0.41000000000000003,False,0.5098376274108887,0.7305245319933057,0.7310759019796929,0.021045485511422157,0.02002292312681675
0.41500000000000004,False,0.4856375455856323,0.7346923117010432,0.7311945323644725,0.021098673343658447,0.020246339961886406
0.42,False,0.5224132537841797,0.7383049510093275,0.7312639705188156,0.021254774183034897,0.020471226423978806
0.425,False,0.551716685295105,0.7363628333594685,0.7308289643881615,0.021384015679359436,0.020710650831460953
0.43,False,0.536404550075531,0.739806890733276,0.7304900255818692,0.02117152325809002,0.020969945937395096
0.435,False,0.5075161457061768,0.7369745652559149,0.7307607505087879,0.02140214294195175,0.021187158301472664
0.44,False,0.49590012431144714,0.7373857359542274,0.7308100372005206,0.021490570157766342,0.021408796310424805
0.445,False,0.49393728375434875,0.745893764808035,0.730841666947448,0.02145138755440712,0.021635016426444054
0.45,False,0.5058483481407166,0.7460390504065223,0.7304940403462165,0.02187131531536579,0.021873436868190765
0.455,False,0.5335826873779297,0.745300240567787,0.7304689852641777,0.022136647254228592,0.02211536094546318
0.46,False,0.5339258313179016,0.7460951515473572,0.7308409401647675,0.02239648811519146,0.022342920303344727
0.465,False,0.5906392931938171,0.7472185191806411,0.7308961916364674,0.022614846006035805,0.022566959261894226
0.47000000000000003,False,0.5923704504966736,0.7461154720907044,0.7307267543499302,0.02291099913418293,0.022801656275987625
0.47500000000000003,False,0.5969859957695007,0.7455884058671682,0.7310877701491009,0.02302641049027443,0.023020779713988304
0.48,False,0.5998057723045349,0.7435952198778467,0.7314096412203241,0.02318570390343666,0.023252950981259346
0.485,False,0.5548908114433289,0.7393530086187567,0.7312835881411018,0.023557253181934357,0.02348298579454422
0.49,False,0.5858598947525024,0.7375607034925128,0.7308612596892378,0.023768041282892227,0.023702897131443024
0.495,False,0.5784667134284973,0.7362041682842314,0.7309160088021717,0.024020245298743248,0.02392624132335186
0.5,True,1.6038745641708374,0.5185412850498321,0.7308897585389306,0.027942951768636703,0.024153118953108788
0.505,True,1.544407844543457,0.5796327169944273,0.7306032337491929,0.028226595371961594,0.02439444698393345
0.51,True,1.5527458190917969,0.6210944412536642,0.7303606055759345,0.0283075999468565,0.024621687829494476
0.515,True,1.5623447895050049,0.6605487578237962,0.7299493201153289,0.028536707162857056,0.024858832359313965
0.52,True,1.514093279838562,0.6956642414841003,0.7297474447113894,0.028539033606648445,0.02509281411767006
0.525,True,1.5190702676773071,0.7236843582270919,0.7301018762883145,0.028797470033168793,0.02530212514102459
0.53,True,1.5116080045700073,0.7450278975177527,0.7303249755443072,0.028806505724787712,0.025515040382742882
0.535,True,1.5077033042907715,0.7595545151127323,0.7308841951503458,0.02868662402033806,0.025722861289978027
0.54,True,1.4839351177215576,0.772622934651309,0.7303667272450364,0.02867382951080799,0.02596326358616352
0.545,True,1.4770805835723877,0.780507828824628,0.7300199524441565,0.028657857328653336,0.026203077286481857
0.55,True,1.4262839555740356,0.7851945631577859,0.7293718688436845,0.0289904922246933,0.026447948068380356
0.555,True,1.4361112117767334,0.7880036385630411,0.7293204145788994,0.029437284916639328,0.0266901683062315
0.56,True,1.5171858072280884,0.788783630452023,0.7292241865553933,0.029898598790168762,0.02693946473300457
0.5650000000000001,True,1.5812017917633057,0.7936986297713824,0.7291731110625033,0.030088957399129868,0.027157070115208626
0.5700000000000001,True,1.547464370727539,0.7955867557977657,0.7289165766082174,0.030241111293435097,0.027408678084611893
0.5750000000000001,True,1.501383900642395,0.799568265757406,0.728666049307416,0.030601605772972107,0.02763386256992817
0.58,True,1.5880109071731567,0.8040744415363013,0.727985226765614,0.030735908076167107,0.027853108942508698
0.585,True,1.6501381397247314,0.8055295003903771,0.7281430629389399,0.030761241912841797,0.02806794084608555
0.59,True,1.677427887916565,0.8094847354772329,0.7279237118291776,0.030979136005043983,0.028299763798713684
0.595,True,1.7046164274215698,0.812137901486408,0.7282206099584154,0.030837321653962135,0.028548449277877808
0.6,True,1.8649818897247314,0.8142747256117855,0.7284033691188341,0.030857229605317116,0.028765510767698288
0.605,True,1.9737204313278198,0.8126560562628709,0.7280393225720477,0.030777795240283012,0.029008392244577408
0.61,True,2.0047802925109863,0.8131983869499197,0.728394868949167,0.030882371589541435,0.02921697124838829
0.615,True,2.026510000228882,0.8121662055795132,0.7283412022293229,0.03137456625699997,0.029469991102814674
0.62,True,2.0937111377716064,0.8123226078680843,0.7281068993665365,0.0318140834569931,0.029693078249692917
0.625,True,2.1837096214294434,0.8126811063939942,0.7280924169992509,0.03213347867131233,0.029924415051937103
0.63,True,2.217817783355713,0.8129385873939461,0.7281744062269779,0.03237513452768326,0.030129171907901764
0.635,True,2.290372848510742,0.8124042678997432,0.728404946528633,0.03262573853135109,0.030352044850587845
0.64,True,2.390615224838257,0.811908976883225,0.7283402117041871,0.03315265476703644,0.030565647408366203
0.645,True,2.4805920124053955,0.8127603602142935,0.7286822464444268,0.03358958661556244,0.030787531286478043
0.65,True,2.5125041007995605,0.8143952375203443,0.7282216480284245,0.03384576365351677,0.031024079769849777
0.655,True,2.4979588985443115,0.8138880045418538,0.7279195301798768,0.03425588831305504,0.03125622496008873
0.66,True,2.5400729179382324,0.8180528273156916,0.7281167769534792,0.03479114919900894,0.03148498758673668
0.665,True,2.5239644050598145,0.8210730484245088,0.7279840221521784,0.034883640706539154,0.03168549761176109
0.67,True,2.5652377605438232,0.8279178362148337,0.727511545859641,0.03468996658921242,0.031927790492773056
0.675,True,2.613945722579956,0.830516972973907,0.72715932832256,0.034608811140060425,0.032163333147764206
0.68,True,2.6683528423309326,0.8331093965787515,0.7269264485377658,0.0348404161632061,0.03240695595741272
0.685,True,2.7308809757232666,0.8381618431781034,0.7267666579273707,0.035058893263339996,0.032637763768434525
0.6900000000000001,True,2.7807185649871826,0.8416223763713492,0.7263518013789853,0.035024113953113556,0.03287568688392639
0.6950000000000001,True,2.844341993331909,0.842943632751693,0.7260078456631898,0.03546840324997902,0.03312037140130997
0.7000000000000001,True,2.9312727451324463,0.8438520947702497,0.7259087759003929,0.03606100380420685,0.03334260731935501
0.705,True,2.8998844623565674,0.8437298136719432,0.7258514926005608,0.036038950085639954,0.033584047108888626
0.71,True,2.988316774368286,0.8466768154746065,0.7253614736411867,0.036082081496715546,0.03384183347225189
0.715,True,3.078407049179077,0.849974184015622,0.7252099476336994,0.03631080687046051,0.034080538898706436
0.72,True,3.0633323192596436,0.8503105495746639,0.7247743694179899,0.036524027585983276,0.0343332476913929
0.725,True,3.172316551208496,0.8518794209211467,0.7245871569927809,0.03679147735238075,0.03456449136137962
0.73,True,3.262139320373535,0.8552970666638431,0.7241172850177678,0.03690887615084648,0.0347701795399189
0.735,True,3.3975517749786377,0.8562691019223997,0.7238331207426543,0.03745585307478905,0.034994423389434814
0.74,True,3.4622457027435303,0.8588569608258716,0.7237173658975977,0.03768526762723923,0.03520452231168747
0.745,True,3.4157910346984863,0.857706784905204,0.7238428954528532,0.037903185933828354,0.03543248027563095
0.75,True,3.552036762237549,0.8644270439678066,0.7239706149920181,0.03822074085474014,0.035656120628118515
0.755,True,3.608187198638916,0.8658081250214925,0.7239010422175215,0.038397278636693954,0.03588414564728737
0.76,True,3.705045700073242,0.8690079706978088,0.7239756092632239,0.03861348330974579,0.03610054403543472
0.765,True,3.7510085105895996,0.8707479875462033,0.7238256127931945,0.03846083953976631,0.0363207682967186
0.77,True,4.001556396484375,0.8763055311561966,0.7237753238783733,0.03874491527676582,0.03655437007546425
0.775,True,4.078805923461914,0.8769248143060814,0.7240191086642905,0.03934682905673981,0.03675432875752449
0.78,True,4.206867694854736,0.8802250807145737,0.7240411682876343,0.0393192283809185,0.03701562061905861
