t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,n_raw_maxima,nn_mean,nn_median
0.0,1.0000000000000002,0.008545308042512608,15.097761394915306,14.902348808157726,18.74459922217597,20.83074650606646,327.4580502059753,0.0,0.0,12,12,8.92252863486995,9.055911767388427
0.1,1.315724870232424,0.008831515028829473,15.318238004494097,15.221038072352357,18.880677953929517,20.83074650606646,577.2294399550826,0.017157427320322376,7.00082005808741e-05,12,12,8.877613150735728,8.709534809459841
0.2,1.6296202550038896,0.009249200410104243,15.465612066058117,15.367498169838838,19.01578291840754,20.83074650606646,906.1399477529408,0.02312911042432288,0.00011555699520749985,12,12,8.714593841009242,9.175159898806793
0.3,1.935299545329655,0.008067705241065109,15.555681068328077,15.388307249337076,19.032603605392513,20.861447696648476,1355.0873706389402,0.025712600657424794,0.00015191617536405866,12,12,8.648956319845475,8.59190018239892
0.4,2.238831962777679,0.007475051978664053,15.630898183265703,15.471263684650971,19.0829767070025,20.861447696648476,1906.056522000975,0.023712939143954347,0.00018482127271911354,12,12,8.824766932922786,8.613787306705872
0.5,2.5467079526152925,0.007380807886436708,15.679666295663331,15.471263684650975,19.099738218101315,20.861447696648476,2596.409529058755,0.023422779948249286,0.00021684202659628303,12,12,8.864718803594847,8.870164208381873
0.6,2.842457626007142,0.006991425224847662,15.70138770648792,15.471263684650975,19.099738218101315,20.861447696648476,3383.7030226925035,0.021985612313621686,0.00024851951616661476,12,12,9.031724716454823,8.81970004665473
0.7000000000000001,3.1412770088833275,0.0063405801488429945,15.729423573143977,15.553777676178862,19.149934725737317,20.861447696648476,4308.303268202813,0.021845675477951815,0.0002796109579765659,12,12,8.80889979608675,8.54868280225816
0.8,3.436103186923965,0.006812008822261672,15.750126700869354,15.553777676178864,19.149934725737317,20.861447696648476,5384.750454004015,0.021238461708010137,0.00031110036065062587,12,12,8.801366172696005,8.757229380507821
0.9,3.7328452408272548,0.006708229645635648,15.771249276587197,15.553777676178868,19.14993472573732,20.83074650606646,6508.328760323394,0.022097893231389318,0.00034271201044113364,12,12,8.854474404978175,9.20942088093795
1.0,4.033213982023026,0.005560748861391346,15.781954484363098,15.574337867145427,19.149934725737317,20.83074650606646,7696.252977785074,0.02104579990611715,0.00037447824819100293,12,16,8.810184485816153,8.978195096440592
1.1,4.339463974197313,0.004958268439829604,15.793529578922486,15.574337867145431,19.149934725737317,20.861447696648476,8909.237780349866,0.01776772706236223,0.0004070576569072184,22,25,5.547381346871981,4.7995369253591385
1.2,4.617256015548975,0.004490620671556296,15.817437893415917,15.61537703675451,19.14993472573732,20.87678136111982,10024.678276645427,0.015562933245199844,0.0004391838638986777,41,52,4.357791959377911,3.666060555964675
1.3,4.90234365448336,0.0037634547072608665,15.837938060400122,15.615377036754511,19.1666376811375,20.876781361119825,11085.886836268113,0.014078818251643624,0.00047083775357357625,162,184,3.532083049730211,3.346298525094781
1.4000000000000001,5.179359516593603,0.003795167028843558,15.847645187681653,15.615377036754513,19.14993472573732,20.876781361119825,11929.4629481943,0.013153723597035542,0.000501883580457404,213,250,3.346154065787557,3.298484500494131
1.5,5.451319234594693,0.004501749679176747,15.859575507124477,15.635856228553651,19.1666376811375,20.876781361119825,12694.437535990593,0.01289258436576096,0.0005328406112572727,145,174,3.5256424326643576,2.993325909419156
1.6,5.727033953754245,0.0037879059065351758,15.86357924722811,15.635856228553653,19.14993472573732,20.87678136111982,13343.47067584465,0.012719158448078681,0.0005638778388819177,358,449,3.032305046022342,2.884441020371194
1.7,6.005989438073433,0.003371883992683023,15.884776217116018,15.697133496278868,19.166637681137505,20.876781361119825,13819.828326492336,0.011526347361325708,0.000595205118413603,592,854,2.73298801214896,2.6532998322843224
1.8,6.270889047587711,0.0030442053538776255,15.892469945431328,15.697133496278868,19.166637681137505,20.876781361119825,14363.184296033673,0.010932608170236521,0.0006261850652802336,726,1243,2.673061928035544,2.5298221281347057
