seed,corda,size,elong,atoms,rho_mean,rho_max,vort,b1,b2,b3,b4,b5,b6,b7,b8
2,160,49,1.6287,1,0.011216,0.016721,0.16327,0.043205,0.232353,0.33159,0.23746,0.089755,0.021719,0.016954,0.026965
2,161,67,2.9454,2,0.010163,0.014448,0.20896,0.053603,0.211375,0.233914,0.212895,0.137625,0.072628,0.04252,0.035439
2,162,36,1.924,1,0.011046,0.015542,0.05556,0.032555,0.182866,0.287235,0.247748,0.135893,0.058416,0.028444,0.026843
2,163,17,2.9806,1,0.011083,0.016125,0.0,0.015596,0.093911,0.174249,0.206667,0.186613,0.144947,0.103374,0.074643
2,164,22,1.3875,1,0.009996,0.012538,0.22727,0.021749,0.132618,0.24384,0.262552,0.181365,0.085883,0.036355,0.035638
2,165,15,1.8059,1,0.009473,0.01101,0.4,0.014452,0.092462,0.187332,0.236047,0.206804,0.138104,0.077492,0.047307
2,166,24,1.4491,1,0.009606,0.012315,0.16667,0.022984,0.139146,0.251358,0.261175,0.170062,0.077164,0.038967,0.039143
2,167,84,2.5081,1,0.011104,0.01567,0.08333,0.067638,0.278841,0.279745,0.189554,0.091961,0.037868,0.028158,0.026236
2,168,43,3.2634,1,0.010168,0.014034,0.04651,0.036725,0.172361,0.245021,0.242296,0.144753,0.068146,0.047672,0.043027
2,170,11,1.5004,1,0.009687,0.011599,0.63636,0.011318,0.07468,0.160793,0.222243,0.219637,0.166144,0.096908,0.048277
2,172,27,2.1738,1,0.01005,0.012531,0.22222,0.02526,0.147001,0.2481,0.240384,0.157355,0.088763,0.055308,0.037829
2,173,29,4.8928,1,0.009264,0.010963,0.2069,0.0255,0.115925,0.173358,0.20633,0.185064,0.138012,0.091221,0.064591
2,175,41,1.8096,1,0.010798,0.015723,0.29268,0.036968,0.204585,0.309727,0.246342,0.11405,0.03886,0.022293,0.027176
2,178,11,1.6938,0,0.009265,0.010625,0.27273,0.010973,0.072276,0.155211,0.21431,0.21325,0.166243,0.105894,0.061843
2,182,10,3.045,0,0.008746,0.009714,0.0,0.011054,0.070166,0.142228,0.187059,0.187474,0.163183,0.131907,0.106928
2,183,38,1.9098,1,0.010689,0.014506,0.26316,0.033611,0.187055,0.287141,0.236956,0.124609,0.060794,0.039976,0.029858
