t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx,dt,cell
0.0,1.0,1.4362512059597474,1.8873066938969778,0.6117469641319158,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988206227177869,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.00125,N64_dt0h
0.1,328.1801539076371,2.904236559735358,13845.975784444043,15.98525988805379,15.732132722552274,19.222382786741086,20.89258241577618,3.99434864782635,0.011264049444607415,0.6872233929727672,21.991148575128552,0.999978192917041,0.13387495250206238,0.0006242308059563157,6.448679428175445e-06,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.00125,N64_dt0h
0.2,650.2498185629574,5.617913315561144,14239.50636088389,15.987944105655705,15.724185193516387,19.222382786741086,20.886598574205422,10.920383749868012,0.0348276862065238,0.6872233929727672,21.991148575128552,0.9999721623219016,0.28087138444322046,0.001990009887333292,2.1111063562752384e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.00125,N64_dt0h
0.3,971.8915907499928,3.0105072817019334,16114.554230491596,15.99096831941539,15.732132722552274,19.222382786741086,20.89258241577618,12.41505758208668,0.06312297379209963,10.701049976290232,342.4335992412874,0.9999752657698663,0.3985461128105375,0.004185198290989203,4.57099091448428e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5,0.00125,N64_dt0h
0.4,1289.1991431101233,0.5361978633640795,16342.76537680417,15.992866681955919,15.732132722552274,19.222382786741086,20.89258241577618,7.364903388021292,0.0931905878864143,10.30835089459151,329.8672286269283,0.9999732105495016,0.45251728611069164,0.006439041747324448,7.235355320983157e-05,True,304,4.1712061879988935,2.0856030939994468,False,64,0.5,0.00125,N64_dt0h
0.5,1602.3857372443597,0.8186405107190013,16341.437209446562,15.991870239036592,15.732132722552274,19.222382786741086,20.89258241577618,3.225355376992363,0.1238792925224746,10.701049976290232,342.4335992412874,0.9999831461435614,0.5006309248865495,0.009096348757137124,0.00010499598432508517,True,64,2.4814019635976,1.2407009817988,False,64,0.5,0.00125,N64_dt0h
0.6,1910.2781551377639,0.7439551353159086,16343.55242872445,16.002255341542096,15.748015748023622,19.241881404893856,20.89258241577618,1.6978785910203804,0.15487656099737562,10.701049976290232,342.4335992412874,0.9999795388416101,0.5403854474222896,0.01223801195759303,0.0001450889277129472,True,428,4.675037009096241,2.3375185045481204,False,64,0.5,0.00125,N64_dt0h
0.7000000000000001,2219.9363475563887,1.0274339442991003,16419.993881092447,16.00311262865856,15.732132722552274,19.235384061671343,20.89258241577618,2.0765952792483975,0.18595474320687816,10.701049976290232,342.4335992412874,0.9999797211324942,0.5686150413696791,0.01574255055253642,0.0001917657464356108,True,108,2.9542350655280893,1.4771175327640447,False,64,0.5,0.00125,N64_dt0h
0.8,2522.0840340019204,1.0540276621810714,16429.728976326,16.00888592463232,15.748015748023622,19.241881404893856,20.904544960366874,1.8765669963943181,0.2171440037779746,10.701049976290232,342.4335992412874,0.9999823876078445,0.5909310678143047,0.019570409059548037,0.0002449781298992963,True,240,3.855146420814098,1.927573210407049,False,64,0.5,0.00125,N64_dt0h
0.9,2818.8387941551073,0.9300498802361843,16442.460970946195,16.00937022804573,15.75595125658873,19.241881404893856,20.89258241577618,2.226820747825649,0.24828334925523188,10.701049976290232,342.4335992412874,0.9999811604276945,0.6089891232862229,0.0237260103108188,0.00030522022559939006,True,1163,6.523745873274997,3.2618729366374986,False,64,0.5,0.00125,N64_dt0h
