run,R0,Rfinal,delta_R,spacing0,spacing_final,mean_abs_C_final
baseline,17.950673153580247,17.401860178232013,-0.548812975348234,5.2,5.036317270840565,0.0
observer_observed,17.950673153580247,17.40203710725556,-0.5486360463246882,5.2,5.036382915798405,0.1408855554136146
