tick,step_base,physical_time,wall_s,norm,interference,memory_energy,finite,backend_used,state_digest
0,0,0.0,0.0,1.020000105500316,0.0001538235830486809,0.0,1,0,3507ff5e5701b737
1,8,0.008,0.28048031399976026,1.020772452085783,0.007936344952282287,1.0046141534131117e-16,1,1,2bc52c5ea92f4adc
2,16,0.016,0.27180051899995306,1.021550103603493,0.027897897115980928,3.964549835834243e-16,1,1,6d14845a40bb71ce
4,32,0.032,0.2612904350003191,1.0231754030651516,0.06854938715835872,1.5437089925774273e-15,1,1,e398578b6163da67
8,64,0.064,0.252880426000047,1.0263625154274993,0.034918589248462736,5.855546265546776e-15,1,1,ecba5f924df7e272
16,128,0.128,0.493338107999989,1.0325891493493418,0.0011454642606193697,2.1116143450581754e-14,1,1,a7b9d8dfaed72677
32,256,0.256,0.2697401479999826,1.0449050891605007,0.0002903748173349429,6.93738723414936e-14,1,1,dc4ebfa82e75bc72
64,512,0.512,0.4654777890000332,1.0702037840704823,4.053451699956811e-05,1.9502946068259344e-13,1,1,b380c98899f143eb
