t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988205432891846,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,16,64,0.5,mlx
0.1,326.9444274902344,2.682035446166992,14144.435613530808,15.982112666807359,15.732132722552274,19.222382786741086,20.89258241577618,3.9373660690151153,0.011163904401835342,0.2945243112740431,9.42477796076938,0.9999642372131348,0.1343359552607838,0.0006229895611035163,6.433413892456639e-06,True,1,0.6203504908994001,0.31017524544970004,True,16,64,0.5,mlx
0.2,649.6857299804688,5.378213405609131,14378.743534716774,15.982002140501884,15.724185193516387,19.235384061671343,20.89258241577618,9.862006018869579,0.03476364871700968,0.8835729338221293,28.274333882308138,0.9999704360961914,0.274573484872555,0.0019303201450667658,2.0466221355522508e-05,True,1,0.6203504908994001,0.31017524544970004,True,16,64,0.5,mlx
0.3,968.62109375,3.760544538497925,15900.790425385145,15.988846788561492,15.732132722552274,19.222382786741086,20.886598574205422,12.776201886683703,0.06291319253849709,0.4908738521234052,15.707963267948966,0.9999651908874512,0.3960631034060525,0.0040981262071030315,4.47059132508218e-05,True,1,0.6203504908994001,0.31017524544970004,True,16,64,0.5,mlx
0.4,1285.3807373046875,1.1919488906860352,16273.151732739454,15.990551586632517,15.732132722552274,19.222382786741086,20.886598574205422,9.653240700066089,0.092875021536991,0.2945243112740431,9.42477796076938,0.9999613761901855,0.45696464834098605,0.0064605816618153265,7.251584346375047e-05,True,2,0.781592641796772,0.390796320898386,True,16,64,0.5,mlx
0.5,1599.1158447265625,0.5887377858161926,16411.80568295662,15.991451990009097,15.732132722552274,19.222382786741086,20.89258241577618,4.323542878776789,0.12355139980044655,10.701049976290232,342.4335992412874,0.999964714050293,0.5035830696726272,0.009153944637715109,0.00010560570421854355,True,628,5.312394823130951,2.6561974115654756,False,16,64,0.5,mlx
0.6,1903.77880859375,0.693088173866272,16337.286453902347,15.99133053049764,15.732132722552274,19.215878850575635,20.886598574205422,2.073222081363201,0.15435223043631874,10.701049976290232,342.4335992412874,0.9999697804450989,0.5395576076068227,0.012236576754040251,0.0001450398814908668,True,685,5.468488721379149,2.7342443606895745,False,16,64,0.5,mlx
0.7000000000000001,2213.466552734375,0.8375136852264404,16334.768922499012,15.981537194648753,15.724185193516387,19.20286436967152,20.886598574205422,1.758534707967192,0.1853102068863226,10.701049976290232,342.4335992412874,0.9999649524688721,0.5661458054061896,0.015637462289135335,0.00019042364434697338,True,565,5.128455752431863,2.5642278762159316,False,16,64,0.5,mlx
0.8,2517.593994140625,1.0489248037338257,16402.789447441395,15.97692188036278,15.724185193516387,19.20286436967152,20.886598574205422,1.9877889280673116,0.2165616220674456,0.6872233929727672,21.991148575128552,0.999968409538269,0.5911572054988304,0.01948385007216058,0.00024376623988793314,True,274,4.029216939904096,2.014608469952048,False,16,64,0.5,mlx
0.9,2816.92333984375,1.217821478843689,16450.32554061123,15.982376766382721,15.732132722552274,19.209372712298546,20.89258241577618,2.2771599144674837,0.24777145224020458,0.2945243112740431,9.42477796076938,0.999966561794281,0.6088565143848006,0.023636273776221475,0.00030387591208295924,True,203,3.6458808895212966,1.8229404447606483,False,16,64,0.5,mlx
