config,rank,E,frac,mag,omega,leak_max,L,T,dE,noise_floor
Lambda_m2,0,0.5612720737,1.01084378,1.12174003e+03,-0.5612720737,2.79083267e-25,40.0,80.0,0.0785300001,5.54853307e+01
Lambda_m2,1,0.8927025971,0.11902020,1.32077507e+02,-0.8927025971,2.79083267e-25,40.0,80.0,0.0785300001,5.54853307e+01
Lambda_m2,2,2.9764821484,0.07030802,7.80212713e+01,-2.9764821484,2.79083267e-25,40.0,80.0,0.0785300001,5.54853307e+01
Lambda_m2,3,1.9021661675,0.06783015,7.52715713e+01,-1.9021661675,2.79083267e-25,40.0,80.0,0.0785300001,5.54853307e+01
