config,kind,rank,omega,frac,mag
linear,abs_c,0,1.0003168334,1.00071530,2.66074278e+03
linear,abs_c,1,2.0006191342,0.19959614,5.30694372e+02
linear,abs_c,2,3.0008915157,0.08515756,2.26420414e+02
linear,rho2,0,2.0006191047,1.00288867,6.23536132e+02
