config,rank,E,frac,mag,omega,leak_max,L,T,dE,noise_floor
Lambda_p2,0,1.1742159776,1.00109958,2.43338574e+03,-1.1742159776,9.27678613e-28,40.0,80.0,0.0785300001,1.21535648e+02
Lambda_p2,1,2.1920961250,0.37532334,9.12303315e+02,-2.1920961250,9.27678613e-28,40.0,80.0,0.0785300001,1.21535648e+02
Lambda_p2,2,0.1573128528,0.05658321,1.37537549e+02,-0.1573128528,9.27678613e-28,40.0,80.0,0.0785300001,1.21535648e+02
