config,rank,E,frac,mag,omega,leak_max,L,T,dE,noise_floor
Lambda_m2_mem,0,0.5012897204,1.00036870,1.08178041e+02,-0.5012897204,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,1,1.5026003394,0.81488340,8.81199999e+01,-1.5026003394,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,2,2.0319557677,0.21069013,2.27836451e+01,-2.0319557677,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,3,0.9471190666,0.14569745,1.57554557e+01,-0.9471190666,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,4,0.6147868395,0.13549825,1.46525334e+01,-0.6147868395,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,5,0.6786753804,0.13157316,1.42280808e+01,-0.6786753804,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
Lambda_m2_mem,6,0.7602612938,0.12939884,1.39929535e+01,-0.7602612938,3.08078492e-01,80.0,251.0,0.0250316135,5.40690853e+00
