config,kind,rank,omega,frac,mag
Lambda_m2,abs_c,0,0.9993337014,1.03612585,6.38454230e+02
Lambda_m2,abs_c,1,1.9877262971,0.10211844,6.29247414e+01
Lambda_m2,abs_c,2,1.3412290353,0.10127362,6.24041695e+01
Lambda_m2,abs_c,3,2.3425558783,0.05073822,3.12645703e+01
Lambda_m2,rho2,0,2.3390403239,1.02280613,1.33136465e+02
Lambda_m2,rho2,1,4.4945186657,0.74766439,9.73218578e+01
Lambda_m2,rho2,2,6.8491608649,0.19481053,2.53580653e+01
Lambda_m2,rho2,3,2.1342682386,0.14019881,1.82493764e+01
Lambda_m2,rho2,4,4.6992333993,0.05483539,7.13780422e+00
