config,kind,rank,omega,frac,mag
Lambda_p2,abs_c,0,1.0178057686,1.00080795,3.76340931e+02
Lambda_p2,abs_c,1,2.0397290271,0.10904316,4.10042759e+01
Lambda_p2,rho2,0,1.8816971649,1.00060490,1.20316635e+02
Lambda_p2,rho2,1,3.7561200652,0.37882951,4.55519373e+01
Lambda_p2,rho2,2,5.6340249507,0.11653061,1.40120944e+01
Lambda_p2,rho2,3,7.5291036362,0.06653248,8.00012442e+00
