config,rank,E,frac,mag,omega,leak_max,L,T,dE,noise_floor
linear,0,0.5001593183,1.00017840,6.27356205e+03,-0.5001593183,1.88277710e-27,40.0,251.0,0.0250316135,3.13622152e+02
linear,1,1.5004707170,0.99834315,6.26205057e+03,-1.5004707170,1.88277710e-27,40.0,251.0,0.0250316135,3.13622152e+02
