t,norm,peak,PR,R_rms
0.0,0.9999999999999998,1.4366969770013327,1.9687012432153013,0.6123724356957948
0.0025,1.0000000000000004,1.4380298588995235,1.9682267186410134,0.612364175529085
0.005,1.0000000000000016,1.442037304223564,1.9668018763586141,0.6123393881119265
0.0075,1.0000000000000022,1.4487455936816114,1.9644229269905804,0.6122980526556843
0.01,1.0000000000000024,1.4581981354990083,1.9610836091048405,0.6122401343872801
0.0125,1.0000000000000036,1.4704548822016474,1.9567752700415209,0.6121655843604873
0.015,1.0000000000000036,1.485591535566516,1.9514869781983468,0.6120743391903674
0.0175,1.000000000000004,1.503698578837505,1.9452056660273884,0.6119663207094335
0.02,1.0000000000000047,1.5248802040199438,1.9379163028934576,0.6118414355436599
0.0225,1.0000000000000056,1.5492532332735773,1.9296020968263672,0.6116995746059342
0.025,1.000000000000006,1.5769461604637676,1.9202447239831386,0.6115406125040148
0.0275,1.000000000000006,1.6080984555877667,1.9098245842304005,0.6113644068593802
0.03,1.0000000000000058,1.6428602773161731,1.8983210805802788,0.6111707975326656
0.0325,1.0000000000000056,1.681392727168976,1.8857129192160988,0.6109596057505574
0.035,1.0000000000000064,1.7238687563730868,1.8719784255273906,0.6107306331280231
0.0375,1.0000000000000069,1.7704748092100258,1.8570958699929063,0.6104836605786269
0.04,1.0000000000000084,1.821413261492482,1.8410437960140635,0.6102184471042796
0.0425,1.00000000000001,1.87690569584499,1.8238013400509934,0.6099347284540731
0.045,1.0000000000000098,1.9371970511759329,1.8053485328022898,0.6096322156397573
0.0475,1.0000000000000124,2.002560694678591,1.785666568829792,0.6093105932927916
0.05,1.0000000000000127,2.073304491937546,1.7647380310497176,0.6089695178446546
0.0525,1.0000000000000133,2.1497779945575926,1.7425470559130554,0.6086086155079637
0.055,1.0000000000000133,2.2323809256748937,1.719079424823568,0.6082274800308262
0.0575,1.000000000000014,2.3215732233553443,1.6943225672505728,0.6078256701902657
0.06,1.000000000000014,2.4178870038129605,1.6682654608557543,0.6074027069823056
0.0625,1.000000000000015,2.521940937060382,1.6408984134513414,0.6069580704556368
0.065,1.0000000000000147,2.634457697487417,1.6122127103241233,0.6064911961221354
0.0675,1.000000000000014,2.7562853769016957,1.582200107860653,0.6060014708596906
0.07,1.000000000000017,2.8884240514803032,1.5508521497950607,0.6054882281993912
0.0725,1.0000000000000169,3.032059111925356,1.5181592748365573,0.6049507428580376
0.075,1.0000000000000182,3.1886035499346876,1.4841096726191594,0.604388224335024
0.0775,1.0000000000000178,3.35975222201555,1.4486878269851422,0.6037998093355887
0.08,1.0000000000000189,3.5475523026061597,1.4118726588174288,0.6031845527034633
0.0825,1.000000000000021,3.754495876232401,1.3736351408372343,0.602541416435381
0.085,1.0000000000000202,3.9836431916420856,1.333935197685754,0.6018692561925486
0.08750000000000001,1.0000000000000218,4.238788970170689,1.2927176165638476,0.6011668044970091
0.09,1.000000000000021,4.524690073477686,1.2499065619616503,0.6004326494675735
0.0925,1.0000000000000218,4.847382025816087,1.2053980903355341,0.599665207453158
0.095,1.0000000000000222,5.214626423732637,1.159049764664971,0.5988626871687672
0.0975,1.000000000000024,5.63655468510153,1.110666031638808,0.5980230417808827
0.1,1.000000000000024,6.12661201262167,1.0599774013607361,0.5971439035799557
0.10250000000000001,1.0000000000000242,6.702969614823315,1.0066106595945936,0.5962224930197314
0.105,1.000000000000025,7.390682091015085,0.9500465435721785,0.5952554893650098
0.1075,1.0000000000000244,8.225053627307005,0.8895614102857909,0.5942388430450198
0.11,1.000000000000026,9.256997166752768,0.8241534213335258,0.5931674990090398
0.1125,1.0000000000000269,10.561708122597135,0.7524706052669432,0.5920349860668462
0.115,1.0000000000000262,12.252800523986782,0.6728114466583021,0.5908328167806697
0.11750000000000001,1.0000000000000269,14.504966574447998,0.5834081678065253,0.5895496754525004
0.12,1.0000000000000286,17.587481286204834,0.4834742377636952,0.5881706160622348
0.1225,1.0000000000000286,21.89994583396598,0.37566433879059563,0.5866775970513818
0.125,1.000000000000029,27.94700938032503,0.2693863647469031,0.5850568630232789
0.1275,1.0000000000000302,36.000105895985214,0.18045711472699566,0.583331031835513
0.13,1.0000000000000306,44.91564225674444,0.12233125436953404,0.5816471259730795
0.1325,1.0000000000000309,50.77147238541432,0.09738867575460905,0.5803591356395859
0.135,1.0000000000000322,49.65290459935869,0.10131746661869918,0.5797978655614384
0.1375,1.000000000000031,42.67497842281081,0.13302119205119736,0.5798695212183512
0.14,1.0000000000000326,34.06506378222407,0.19358952356510176,0.5802103346432743
0.14250000000000002,1.0000000000000324,26.278008285650024,0.2806262070030328,0.5805640045804986
0.145,1.0000000000000324,19.756649883523842,0.3835273639169245,0.5808270428130892
0.1475,1.0000000000000333,14.343024904092893,0.48000287042529033,0.5809745348647669
0.15,1.0000000000000338,9.886663150376574,0.5448797858469033,0.5810127685991029
0.1525,1.0000000000000342,6.385607709508309,0.5702194483267232,0.5809537259010404
0.155,1.0000000000000364,5.607800836742936,0.5706543764843337,0.5808038827122798
0.1575,1.0000000000000362,5.439165143201963,0.565939633657459,0.5805634536051724
0.16,1.0000000000000357,5.13112691003649,0.5651750180502026,0.5802308078300399
0.1625,1.0000000000000362,4.806842062550626,0.5660315835193711,0.5798061234910141
0.165,1.0000000000000377,5.014721686203432,0.5623061584683652,0.5792910943413453
0.1675,1.000000000000039,6.682386774694225,0.5497346440008278,0.5786863334432363
0.17,1.0000000000000397,8.508458455437617,0.5263037052709802,0.5779893351654253
0.17250000000000001,1.0000000000000393,10.614809750744568,0.4907385025487459,0.5771934149521947
0.17500000000000002,1.0000000000000393,13.292533134509636,0.441670114130359,0.5762866934686495
0.1775,1.0000000000000422,16.98672155386016,0.37736899499368987,0.5752507765848781
0.18,1.000000000000042,22.349754270366606,0.29764854809090446,0.5740603375388773
0.1825,1.0000000000000417,30.25811331363992,0.20992501403439678,0.5726924427107495
0.185,1.0000000000000424,41.187074440966725,0.13373136467431893,0.5711866968409597
