t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,nn_mean,nn_median,kstar,kstarL,cryst
0.0,1.0,0.008359567992860266,15.1029381849686,14.89966442575134,18.81488772222678,20.808652046684813,327.8127380424841,0.0,0.0,12,8.85761060878636,9.10305939976487,1.1797961443220415,37.75347661830533,0.988376457607606
0.1,325.9194742628771,0.10918482153814987,16.049892020646514,15.7797338380595,19.28730152198591,21.0,16375.159336325429,0.0920182411259464,0.011024257331517913,1147,2.2872529391961174,2.23606797749979,3.146689351267401,100.69405924055683,0.49996286850842037
0.2,648.9587760989314,0.18065081168434602,16.09316046707681,15.811388300841896,19.339079605813716,21.0,16432.32980346233,0.28356331605870055,0.03438418409722544,1202,2.2730327603753864,2.23606797749979,3.146689351267401,100.69405924055683,0.49830110431708435
0.3,961.3642717615346,0.31168444978340026,16.058229364166948,15.7797338380595,19.261360284258224,20.97617696340303,16500.99877272425,0.5876414426726004,0.06232719632371736,1145,2.2731401691565147,2.23606797749979,3.146689351267401,100.69405924055683,0.49636858099683534
0.4,1271.2158255018855,0.38550511826724737,16.067838683394925,15.811388300841896,19.261360284258224,20.92844953645635,16518.084135963476,0.9055659039618492,0.09169286231730905,1173,2.286305353008684,2.23606797749979,3.146689351267401,100.69405924055683,0.495812314174026
0.5,1575.540259485398,0.5828777817654112,16.058479999593835,15.7797338380595,19.261360284258224,20.92844953645635,16368.716911623334,1.0058211681467117,0.1216827510248028,1115,2.289465211160389,2.23606797749979,3.146689351267401,100.69405924055683,0.500400710732227
0.6,1890.8970658898716,0.5909701475802894,16.056759360473244,15.7797338380595,19.28730152198591,20.92844953645635,16379.691648316099,1.2730351839485918,0.15229851147498538,1223,2.2656729389170764,2.23606797749979,3.146689351267401,100.69405924055683,0.5000546855279563
0.7000000000000001,2197.6797510484384,0.7107128691101344,16.05386859638293,15.7797338380595,19.28730152198591,20.92844953645635,16491.248597332833,1.5337512892357574,0.18330070683175217,1193,2.265163842577368,2.23606797749979,3.146689351267401,100.69405924055683,0.49668523805141623
0.8,2505.4822152406714,0.8039059676456166,16.056639277841185,15.811388300841896,19.261360284258224,20.92844953645635,16491.277978145277,1.8747900070388794,0.2148046959000135,1184,2.2621285724809908,2.23606797749979,3.146689351267401,100.69405924055683,0.49665249038768394
0.9,2805.2994492030302,0.8338705158811996,16.05943269206282,15.811388300841896,19.261360284258224,20.92844953645635,16478.136542693297,2.2484649291508956,0.24590616020834996,1174,2.2770037391934346,2.23606797749979,3.146689351267401,100.69405924055683,0.49705126275868744
1.0,3112.9167976473827,0.9728572114276327,16.068446913645367,15.811388300841896,19.261360284258224,20.92844953645635,16419.81198583502,2.564466072454909,0.27760848890243595,1182,2.2731533850380305,2.23606797749979,3.146689351267401,100.69405924055683,0.49881417008894924
1.1,3399.6654394471325,0.9604214895486775,16.055528387332156,15.811388300841896,19.261360284258224,20.92844953645635,16373.71766058561,2.9026880270263975,0.30901416523049985,1176,2.2649375156761558,2.23606797749979,3.146689351267401,100.69405924055683,0.5002246931765261
1.2,3687.4914436903227,1.0781396346973757,16.036699847109247,15.7797338380595,19.261360284258224,20.904544960366874,16366.90602869519,2.9005179319183867,0.3402005979905291,1191,2.2729525973918094,2.23606797749979,3.146689351267401,100.69405924055683,0.5004487163042795
1.3,3967.9627091072743,1.320651585464542,16.0343548987596,15.7797338380595,19.261360284258224,20.904544960366874,16434.81574038192,3.4751729492511414,0.37093660949615476,1195,2.2701153583912306,2.23606797749979,3.146689351267401,100.69405924055683,0.4983533065607344
1.4000000000000001,4249.766218605897,1.4045875484412955,16.045813460155262,15.7797338380595,19.261360284258224,20.904544960366874,16488.423555130572,4.156567187223976,0.40158741022328925,1151,2.283876056025874,2.23606797749979,3.146689351267401,100.69405924055683,0.496681881489981
1.5,4522.867989689699,1.3916957890211892,16.03282236417926,15.7797338380595,19.261360284258224,20.8806130178211,16583.609349503244,4.051928291672867,0.431895570569332,1195,2.270780757940277,2.23606797749979,3.146689351267401,100.69405924055683,0.4937876050758371
1.6,4785.084317866445,1.285628044442242,16.035876907564578,15.7797338380595,19.261360284258224,20.904544960366874,16698.47134202035,3.867520312882662,0.46147573409702364,1208,2.26693091065766,2.23606797749979,3.146689351267401,100.69405924055683,0.4902510703149288
