config,lam,nu,freeze_pass2,T1,R1,T1_plus_R1,T2,R2,T2_over_T1,mass_sent_raw,T2_abs,t_mid,t_final,t_hit_est,mass_bar_mid,mass_mid_mid,mass_edge_mid,mass_bar_final,mass_mid_final,mass_edge_final,norm_mid,norm_final,Vmem_bar_mean_mid,Vmem_bar_max_mid,Vmem_bar_mean_final,Vmem_bar_max_final,y0_bar_mean_mid,y1_bar_mean_mid,x_mean_mid,k_mean_mid,E_mid,x_sent,k_sent,E_sent,E_ic,leak_pass1,leak_pass2,wrap_flag,split_dirty,flags,wall_s,N,L,dt,V0
A_linear,[],[],False,0.08133863831719594,0.9168231506866579,0.9981617890038538,0.12998442884326852,0.8700139124827534,1.5980649729636338,0.08134947816788528,0.01057416545635051,22.3,25.35,13.35104930314354,3.710161199381395e-05,0.0018382109961558157,9.404890648490705e-05,4.3630655672353916e-08,1.3493270794770025e-07,1.0328923796584447e-06,1.0000000000052258,0.08134947816833064,0.0,0.0,0.0,0.0,0.0,0.0,-19.75819540214507,-1.6329445958461144,2.079446521622663,29.99207346689134,-2.246420695924599,2.7020767864401884,2.0624999999999996,False,False,False,False,ok,12.061633348464966,4096,120.0,0.002,4.0
B_mem,"[3.0, 1.0]","[10.0, 0.5]",False,0.18630341695173666,0.7534433845762277,0.9397468015279644,0.5155652518327329,0.484422323726383,2.7673418999410737,0.1868251936426922,0.0963205780090937,16.4,14.200000000000001,9.276704058290681,0.0019423286357336362,0.060253198472234135,9.806292489513468e-05,4.5503882998877323e-07,2.3211992444058424e-06,2.3386119812162852e-05,1.0000000000032951,0.18682519364336256,0.01120329769566924,0.048418090944057024,0.004407537472100546,0.006486274767616522,0.0019572169853025218,0.0053316467397616744,-6.982222588891008,-0.9291025627088945,3.035578189690475,28.288805623305024,-3.0494457347729056,5.382892780390167,2.0624999999999996,False,False,False,True,pass1_split_incomplete,11.28393292427063,4096,120.0,0.002,4.0
C_freeze,"[3.0, 1.0]","[10.0, 0.5]",True,0.18630341695173666,0.7534433845762277,0.9397468015279644,0.5101966731014173,0.4897895717423542,2.738525580739014,0.1868251936426922,0.0953175922480296,16.4,14.200000000000001,9.276704058290681,0.0019423286357336362,0.060253198472234135,9.806292489513468e-05,5.006434591068916e-07,2.569810395897054e-06,2.3715097058725412e-05,1.0000000000032951,0.18682519364336211,0.01120329769566924,0.048418090944057024,0.01120329769566924,0.048418090944057024,0.0019572169853025218,0.0053316467397616744,-6.982222588891008,-0.9291025627088945,3.035578189690475,28.288805623305024,-3.0494457347729056,5.382892780390167,2.0624999999999996,False,False,False,True,pass1_split_incomplete,11.351293563842773,4096,120.0,0.002,4.0
