kind,seed,family,score,best,best_score,kstar_used,kstar_own,kstarL_used,n_shell,C,C_star,M
isotropic_ownk,0,SC,0.2799702271224574,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_ownk,0,BCC,0.7200297728775427,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_ownk,0,FCC,0.0,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_ownk,0,HCP,0.5732385882767558,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_inj,0,SC,0.2799702271224574,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_inj,0,BCC,0.7200297728775427,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_inj,0,FCC,0.0,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_inj,0,HCP,0.5732385882767558,BCC,0.7200297728775427,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999643018348532,8.476589924461312e-05,
isotropic_ownk,1,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.99997823278027,3.36360423832637e-05,
isotropic_ownk,1,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.99997823278027,3.36360423832637e-05,
isotropic_ownk,1,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.99997823278027,3.36360423832637e-05,
isotropic_ownk,1,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.99997823278027,3.36360423832637e-05,
isotropic_inj,1,SC,0.2576310533427859,BCC,0.7423689466572142,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.99997823278027,3.36360423832637e-05,
isotropic_inj,1,BCC,0.7423689466572142,BCC,0.7423689466572142,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.99997823278027,3.36360423832637e-05,
isotropic_inj,1,FCC,0.0,BCC,0.7423689466572142,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.99997823278027,3.36360423832637e-05,
isotropic_inj,1,HCP,0.6675060969130975,BCC,0.7423689466572142,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.99997823278027,3.36360423832637e-05,
isotropic_ownk,2,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.999973942042868,2.9232066481222556e-05,
isotropic_ownk,2,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.999973942042868,2.9232066481222556e-05,
isotropic_ownk,2,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.999973942042868,2.9232066481222556e-05,
isotropic_ownk,2,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.999973942042868,2.9232066481222556e-05,
isotropic_inj,2,SC,0.40106663667227543,HCP,0.6067628062127634,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.999973942042868,2.9232066481222556e-05,
isotropic_inj,2,BCC,0.5989333633277244,HCP,0.6067628062127634,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.999973942042868,2.9232066481222556e-05,
isotropic_inj,2,FCC,0.0,HCP,0.6067628062127634,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.999973942042868,2.9232066481222556e-05,
isotropic_inj,2,HCP,0.6067628062127634,HCP,0.6067628062127634,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.999973942042868,2.9232066481222556e-05,
isotropic_ownk,3,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999819140100004,3.1220632023238164e-05,
isotropic_ownk,3,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999819140100004,3.1220632023238164e-05,
isotropic_ownk,3,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999819140100004,3.1220632023238164e-05,
isotropic_ownk,3,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999819140100004,3.1220632023238164e-05,
