t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.72,2283.34619140625,4.688405990600586,16283.483038860628,16.00484397188637,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.725,2298.655029296875,4.583972930908203,16299.088288292969,16.004417222243024,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.73,2313.1103515625,4.603729724884033,16301.917295564717,16.005293212040087,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.735,2328.961669921875,4.53238582611084,16311.583477906379,16.00666414668179,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.74,2344.371826171875,4.469985485076904,16314.427980775317,16.00657762976164,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.745,2359.15185546875,4.497792720794678,16303.22633843844,16.007290105502143,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.75,2373.95751953125,4.50468635559082,16307.43887605014,16.008106961719605,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.755,2388.50732421875,4.525968551635742,16310.453122394103,16.008859611904036,1,0.31017524544970004,True,True,4,,2atom,0,64,0.5,mlx
0.76,2403.00537109375,4.494735240936279,16318.318523862688,16.01048905488279,1,0.31017524544970004,True,True,4,,2atom,0,64,0.5,mlx
0.765,2418.54443359375,4.374829292297363,16325.182909015744,16.01029850045504,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.77,2433.228515625,4.367783546447754,16322.637824131687,16.009940922468402,1,0.31017524544970004,True,True,2,19.20286436967152,2atom,0,64,0.5,mlx
0.775,2448.63134765625,4.318970203399658,16327.588047401585,16.009991554079626,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.78,2464.479248046875,4.179904460906982,16327.801038902324,16.009724928059306,1,0.31017524544970004,True,True,7,,2atom,0,64,0.5,mlx
0.785,2479.789306640625,4.025267124176025,16332.781413746772,16.009746990791747,1,0.31017524544970004,True,True,7,,2atom,0,64,0.5,mlx
0.79,2494.81201171875,4.043767929077148,16343.085022459349,16.009569925606304,1,0.31017524544970004,True,True,6,,2atom,0,64,0.5,mlx
0.795,2510.28564453125,3.982804298400879,16343.578985423008,16.010061350473876,1,0.31017524544970004,True,True,8,,2atom,0,64,0.5,mlx
0.8,2524.68798828125,3.9831953048706055,16339.0907608138,16.00926756874732,1,0.31017524544970004,True,True,9,,2atom,0,64,0.5,mlx
0.805,2538.8671875,3.795351266860962,16344.80448915575,16.009218225755337,1,0.31017524544970004,True,True,17,,2atom,0,64,0.5,mlx
0.81,2553.4833984375,3.7628157138824463,16338.894457219907,16.00853343801078,1,0.31017524544970004,True,True,22,,2atom,0,64,0.5,mlx
0.8150000000000001,2568.88623046875,3.5950024127960205,16349.039570644194,16.0092395789048,1,0.31017524544970004,True,True,36,,2atom,0,64,0.5,mlx
0.8200000000000001,2584.063232421875,3.442478895187378,16350.236967847677,16.00928121550111,1,0.31017524544970004,True,True,52,,2atom,0,64,0.5,mlx
0.8250000000000001,2599.30810546875,3.3641860485076904,16343.399443026807,16.009528999251685,1,0.31017524544970004,True,True,56,,2atom,0,64,0.5,mlx
0.8300000000000001,2613.903564453125,3.282883644104004,16337.799408181187,16.008842147184186,1,0.31017524544970004,True,True,73,,2atom,0,64,0.5,mlx
0.835,2629.16650390625,3.0801236629486084,16333.621690591033,16.008789864623797,1,0.31017524544970004,True,True,116,,2atom,0,64,0.5,mlx
0.84,2644.40234375,2.9208569526672363,16333.355231482177,16.009668950134795,1,0.31017524544970004,True,True,185,,2atom,0,64,0.5,mlx
0.845,2659.18896484375,2.866866111755371,16334.753899929872,16.01213760001287,1,0.31017524544970004,True,True,212,,2atom,0,64,0.5,mlx
0.85,2674.3544921875,2.7502927780151367,16344.100398303653,16.01141370974868,1,0.31017524544970004,True,True,283,,2atom,0,64,0.5,mlx
0.855,2689.965576171875,2.7159841060638428,16349.203985679154,16.009868612072935,1,0.31017524544970004,True,True,314,,2atom,0,64,0.5,mlx
0.86,2704.67529296875,2.6584174633026123,16358.477999547464,16.008646980786434,1,0.31017524544970004,True,True,385,,2atom,0,64,0.5,mlx
0.865,2720.0087890625,2.6341214179992676,16372.450160341574,16.00860999802175,1,0.31017524544970004,True,True,423,,2atom,0,64,0.5,mlx
0.87,2735.075439453125,2.5974934101104736,16388.136467633147,16.009026950825398,1,0.31017524544970004,True,True,487,,2atom,0,64,0.5,mlx
0.875,2750.1962890625,2.559981107711792,16391.972412240004,16.00873846016089,1,0.31017524544970004,True,True,548,,2atom,0,64,0.5,mlx
0.88,2764.755859375,2.5261757373809814,16403.45734647977,16.008984598070512,1,0.31017524544970004,True,True,600,,2atom,0,64,0.5,mlx
0.885,2780.1689453125,2.474956750869751,16411.331266969795,16.0075671959453,1,0.31017524544970004,True,True,700,,2atom,0,64,0.5,mlx
0.89,2795.2421875,2.477900505065918,16410.741273255924,16.007834677564663,1,0.31017524544970004,True,True,706,,2atom,0,64,0.5,mlx
0.895,2809.38623046875,2.4432241916656494,16413.429213528085,16.00747652588784,1,0.31017524544970004,True,True,775,,2atom,0,64,0.5,mlx
0.9,2824.8212890625,2.4509098529815674,16419.198687658078,16.007545341610534,1,0.31017524544970004,True,True,813,,2atom,0,64,0.5,mlx
0.905,2840.992919921875,2.3834292888641357,16424.953856436958,16.008098527380543,1,0.31017524544970004,True,True,968,,2atom,0,64,0.5,mlx
0.91,2856.4599609375,2.3375284671783447,16420.85624363757,16.00863578406915,1,0.31017524544970004,True,True,1112,,2atom,0,64,0.5,mlx
0.915,2870.02587890625,2.236990451812744,16421.580907514355,16.007463900530237,1,0.31017524544970004,True,True,1416,,2atom,0,64,0.5,mlx
0.92,2885.955078125,2.186793804168701,16426.925971533252,16.007411355435917,1,0.31017524544970004,True,True,1637,,2atom,0,64,0.5,mlx
0.925,2901.509033203125,2.0878190994262695,16432.61938679086,16.007522309334128,2,0.390796320898386,True,True,2067,,2atom,0,64,0.5,mlx
0.93,2915.93310546875,1.961135983467102,16428.877108077468,16.00761982622045,4,0.49237251092134826,False,True,2753,,2atom,0,64,0.5,mlx
0.935,2931.01708984375,1.8039783239364624,16428.034155281854,16.007498757560803,5,0.5303922089735277,False,True,3712,,2atom,0,64,0.5,mlx
