t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2
0.0,1.0000000000000002,1.4366969770013205,1.9687012432099757,0.6123724356957945,0.5103103630798295,0.7795119555779038,0.8838834764831844,0.0,0.0,0.47123889803846897,9.42477796076938,0.9952294968704914,0.0,0.0
0.1,1.0140608529407316,3.2038542443474274,1.5057400107548304,1.3946804345923052,0.510310363079828,0.7795119555779048,0.9547032697824663,1.5801144321335776,9.256612848489333e-05,0.47123889803846897,9.42477796076938,0.9952392096578132,0.33719201878857435,0.0019341416595154769
0.2,1.0282152373659468,31.184811185381335,0.11698709557485146,1.8595680697346506,0.4658474953124551,0.8589803386703454,1.1219093348196878,11.261881401914124,0.00012883173955311668,0.47123889803846897,9.42477796076938,0.9959506506744445,0.1372659522995524,0.0009838914756246542
0.3,1.042484484248049,1.635150145601972,1.9897561700673707,2.2489237241852402,0.5103103630798295,0.7795119555779052,1.333984216131844,7.69875934357469,0.0001446301019962494,0.47123889803846897,9.42477796076938,0.9948492881182195,1.665799502875311,0.03471127113901296
0.4,1.056174094395784,1.6862890904636085,2.683627875680685,2.590558658701199,0.625,1.0416666666666656,1.8865385704452953,4.2641829944890715,0.0001529066592304636,0.47123889803846897,9.42477796076938,0.9942398395667295,1.3748984563771958,0.06252324572524945
0.5,1.070222546332132,1.2911588447733813,3.670430717309934,2.902544673901884,0.6909634979907076,1.214781644759437,2.59372908291432,2.8511080444126,0.00015841735331750492,0.47123889803846897,9.42477796076938,0.9935767408437303,1.352098130889429,0.10472616431335731
0.6,1.0842234696627944,0.8392328434214014,5.445104637828376,3.193288878051409,0.7795119555779039,1.3975424859373689,3.5843021946010962,2.0090758139354064,0.00016287151425305285,0.47123889803846897,9.42477796076938,0.9929282366405422,1.4191889150509005,0.1761195070190479
0.7000000000000001,1.098179998423766,0.5232936445495678,8.363695369512678,3.472952467273938,0.8838834764831844,1.62713534914722,5.70163840975167,1.4291222539744406,0.0001669106093953966,0.47123889803846897,9.42477796076938,0.9923142720300627,1.473778374646333,0.2881120453346972
0.8,1.1119703246415147,0.33574842596851096,12.833278367741288,3.7391015499523825,1.020620726159659,1.8865385704452962,7.171631032524379,1.0378470965936062,0.00017075834812160077,0.47123889803846897,9.42477796076938,0.9917886916734416,1.4901838276287855,0.44959620191854194
0.9,1.125889608692314,0.214753628043737,19.305882204089407,3.9983934490014614,1.1410886614690967,2.224391302506522,8.100925873009826,0.7834841949062351,0.0001745006809452655,0.47123889803846897,9.42477796076938,0.9913590560219562,1.4754604981977024,0.6653115173952807
1.0,1.1395866840749247,0.14723303409626362,28.272707119984727,4.246496101675467,1.333984216131842,2.7401971745762315,8.73262163130612,0.6182849044760905,0.00017816819565430927,0.47123889803846897,9.42477796076938,0.991030876023998,1.444550110413112,0.9367097131657693
1.1,1.1530824380181595,0.10398772280358742,40.31463253435064,4.475650758982658,1.4731391274719752,4.606946747394998,9.197391689435051,0.5120763405818058,0.00018175190805888182,0.47123889803846897,9.42477796076938,0.9908020640764172,1.4093492224996562,1.263633148762018
1.2,1.166616973836396,0.07825158835386847,55.97554613934738,4.683259645232527,1.6404183070857945,5.504102005676211,9.549305530304867,0.439395176887574,0.0001852578623575402,0.47123889803846897,9.42477796076938,0.9906339915403778,1.3725614541051598,1.6400617541379041
1.3,1.1799899190108514,0.05564241913342088,75.96516755450996,4.87624068747003,1.8162078931419472,6.218671481916374,9.8138047610949,0.38688736100580634,0.0001887114956386761,0.47123889803846897,9.42477796076938,0.9905131730584359,1.3396922147734112,2.0629398807748274
1.4000000000000001,1.1935032588748777,0.04414804699531413,100.84560321481449,5.055964954060778,1.9764235376052388,6.814761347415052,10.019512213675874,0.34882361677053725,0.0001921095970741074,0.47123889803846897,9.42477796076938,0.9904568074646708,1.3083530684328633,2.521229289736624
1.5,1.2068894162179948,0.035126022279124924,131.29071773425392,5.226196890173339,2.1850184336878153,7.315437444199768,10.191312340529175,0.3196344771517252,0.00019547297511682594,0.47123889803846897,9.42477796076938,0.9904334812749719,1.280375394653866,3.0078056635076593
1.6,1.2203510723679067,0.02916429553561396,168.10902055013295,5.389816078093939,2.3662118107501153,7.73643526151131,10.353978033157649,0.2949950150833342,0.00019879219773413022,0.47123889803846897,9.42477796076938,0.9903952385394243,1.2559578408251555,3.5152949753570066
1.7,1.2338678956983276,0.022868930112864255,211.7456404941175,5.544166748753408,2.5515518153991454,8.074092656281708,10.512063176285723,0.2744733668451541,0.00020207618738888407,0.47123889803846897,9.42477796076938,0.9903886950269473,1.2322129766251269,4.029039977507675
1.8,1.2475006432015578,0.018826697469918323,263.09687271136346,5.692275116987158,2.7481054079735254,8.354140689901424,10.661701318269987,0.2567396220208532,0.00020532078236096656,0.47123889803846897,9.42477796076938,0.9904236862953173,1.2107934615676859,4.543709355285504
