t,norm,peak,PR,R_rms,k_star,k_star_L,crystallinity,i_star
0.0,1.0000000000000002,1.4366969769095943,1.968662709604115,0.6123724353664733,0.47123889803846897,9.42477796076938,0.9952294968707962,1
0.04,1.0000000000000075,1.6036045918775832,1.9257941943178123,0.6143515876011086,0.47123889803846897,9.42477796076938,0.9952094281814531,1
0.08,1.0000000000000149,2.0090295162137495,1.8023957986340773,0.6205798848470516,0.47123889803846897,9.42477796076938,0.995152475179412,1
0.12,1.0000000000000213,2.4714309494264604,1.6397179297733373,0.6310249733320681,0.47123889803846897,9.42477796076938,0.9950621572863384,1
0.16,1.0000000000000278,2.8756591568856944,1.4943541306269579,0.6452145137865988,0.47123889803846897,9.42477796076938,0.9949388742947126,1
0.2,1.000000000000034,3.170880079282753,1.3939971647070701,0.6625543991899647,0.47123889803846897,9.42477796076938,0.9947823417614483,1
0.24,1.0000000000000409,3.323891441888849,1.3479204962429108,0.6825408729276422,0.47123889803846897,9.42477796076938,0.9945932205949573,1
0.28,1.0000000000000466,3.2984923363702525,1.365938423456536,0.704915836288976,0.47123889803846897,9.42477796076938,0.9943731866412227,1
0.32,1.0000000000000528,3.055136121296186,1.4687426742917808,0.7297525205148291,0.47123889803846897,9.42477796076938,0.9941251924722307,1
0.36,1.0000000000000595,2.5839476054583974,1.688528602620846,0.7574406461629061,0.47123889803846897,9.42477796076938,0.9938548519399427,1
0.4,1.000000000000066,1.9711707092379602,2.0522627431548663,0.7885785844825411,0.47123889803846897,9.42477796076938,0.9935715554843921,1
0.44,1.0000000000000733,1.4048758087670854,2.560768186928015,0.8236955285797256,0.47123889803846897,9.42477796076938,0.9932861952052124,1
0.48,1.0000000000000802,1.0155457365240834,3.20962612280689,0.8629992384538716,0.47123889803846897,9.42477796076938,0.9930073879203591,1
0.52,1.000000000000087,0.7741437949485055,4.010814746916891,0.9063920970377699,0.47123889803846897,9.42477796076938,0.9927408694258271,1
0.56,1.0000000000000935,0.6087389479771609,4.982009592435965,0.953609302627078,0.47123889803846897,9.42477796076938,0.992490110411657,1
0.6,1.0000000000000997,0.48328450482946933,6.14303435024784,1.0043132208606442,0.47123889803846897,9.42477796076938,0.9922567812508499,1
0.64,1.0000000000001064,0.38662842205593456,7.514593962119377,1.058144273356205,0.47123889803846897,9.42477796076938,0.9920413459921678,1
0.68,1.0000000000001128,0.3132924907567802,9.117244795756513,1.1147503445730653,0.47123889803846897,9.42477796076938,0.9918435185352183,1
0.72,1.00000000000012,0.2570798718836465,10.971521165492387,1.173802869272529,0.47123889803846897,9.42477796076938,0.9916625628605285,1
0.76,1.0000000000001261,0.21307076355744667,13.098076762411868,1.2350043054837823,0.47123889803846897,9.42477796076938,0.9914974918167969,1
0.8,1.0000000000001326,0.17823101652300227,15.517743793929808,1.2980903493325167,0.47123889803846897,9.42477796076938,0.9913471991101733,1
0.84,1.0000000000001388,0.15043302943351008,18.25151059626508,1.362829146252351,0.47123889803846897,9.42477796076938,0.9912105437224232,1
0.88,1.000000000000145,0.12801559596764905,21.32049720889517,1.4290188806324808,0.47123889803846897,9.42477796076938,0.9910864014937548,1
0.92,1.0000000000001514,0.1097383571460813,24.74593516123697,1.4964846583015465,0.47123889803846897,9.42477796076938,0.9909736950981968,1
0.96,1.0000000000001574,0.09469929106839324,28.54915149044426,1.5650752495835054,0.47123889803846897,9.42477796076938,0.9908714098922741,1
1.0,1.0000000000001632,0.08224001174273647,32.75155420271074,1.6346599656735445,0.47123889803846897,9.42477796076938,0.9907786007907348,1
1.04,1.0000000000001696,0.07183895692109585,37.37461760727772,1.7051257913403888,0.47123889803846897,9.42477796076938,0.9906943937981749,1
1.08,1.0000000000001752,0.06308288621475527,42.439870721958904,1.7763748330316589,0.47123889803846897,9.42477796076938,0.9906179846997115,1
1.12,1.0000000000001819,0.055672238656204416,47.968889535165744,1.8483220796838777,0.47123889803846897,9.42477796076938,0.9905486364816494,1
1.16,1.0000000000001878,0.04936437838507263,53.983288713939636,1.920893446827106,0.47123889803846897,9.42477796076938,0.9904856761416405,1
1.2,1.0000000000001943,0.04395577204466177,60.50471482696788,1.9940240864825136,0.47123889803846897,9.42477796076938,0.9904284911107978,1
1.24,1.0000000000002,0.039300313367663785,67.5548424721609,2.067656939326014,0.47123889803846897,9.42477796076938,0.9903765254520576,1
1.28,1.0000000000002065,0.035274590855824656,75.15536918224069,2.141741481601047,0.47123889803846897,9.42477796076938,0.9903292758673731,1
1.32,1.0000000000002125,0.031768939570250426,83.32801177766915,2.2162326257837606,0.47123889803846897,9.42477796076938,0.9902862875758545,1
