t,norm,peak,PR,R_rms,k_star,k_star_L,crystallinity,i_star
0.0,0.9999999999999997,1.4366969770013323,1.9687012411328078,0.6123724356957946,0.6283185307179586,9.42477796076938,0.9888757189667478,1
0.04,1.000000000000006,1.7038473463361663,1.886151544822282,0.6123559646894101,0.6283185307179586,9.42477796076938,0.9888445806373185,1
0.08,1.0000000000000138,2.541552205767635,1.632785850428984,0.6125063593284824,0.6283185307179586,9.42477796076938,0.9887716405543173,1
0.12,1.0000000000000202,4.254881812570057,1.2222301904490729,0.6123004522311262,0.6283185307179586,9.42477796076938,0.9887183196966464,1
0.16,1.0000000000000264,9.960950752491607,0.5523014390034803,0.6088502625881076,0.6283185307179586,9.42477796076938,0.9889367012415988,1
0.2,1.0000000000000322,24.432989286321334,0.12699729940972734,0.606740721734032,0.6283185307179586,9.42477796076938,0.9906788389192671,1
0.24,1.0000000000000375,4.4902760736867275,1.0637626317004691,0.6444418093262614,0.6283185307179586,9.42477796076938,0.9886093245403413,1
0.28,1.0000000000000444,1.0719558349496086,1.8205953973148514,0.6872033974270023,0.6283185307179586,9.42477796076938,0.9877509141945217,1
0.32,1.0000000000000517,0.9992522822868691,2.590216559909266,0.7396242702179526,0.6283185307179586,9.42477796076938,0.9870217044497186,1
0.36,1.0000000000000582,0.9606519392906143,3.1668496140047426,0.8014439916980917,0.6283185307179586,9.42477796076938,0.986329726236462,1
0.4,1.0000000000000653,0.9181139969573492,3.7174686728602113,0.8710899431742769,0.6283185307179586,9.42477796076938,0.9856444073863002,1
0.44,1.0000000000000722,0.8268048907602042,4.329599390356279,0.9470476501229108,0.6283185307179586,9.42477796076938,0.9849638531231265,1
0.48,1.0000000000000788,0.7196677557081108,5.050470756959246,1.0280846034759865,0.6283185307179586,9.42477796076938,0.9842923296614009,1
0.52,1.0000000000000862,0.6169396502414902,5.91010191132084,1.1132364365186402,0.6283185307179586,9.42477796076938,0.9836358043491815,1
0.56,1.000000000000093,0.5214537559782926,6.932457930808581,1.2017527677861128,0.6283185307179586,9.42477796076938,0.9830000691392418,1
0.6,1.0000000000000995,0.43890625902372987,8.138715432014582,1.2930450594690817,0.6283185307179586,9.42477796076938,0.9823901413065196,1
0.64,1.000000000000106,0.36863143733719805,9.548847376134345,1.386646868217537,0.6283185307179586,9.42477796076938,0.9818098517828068,1
0.68,1.0000000000001126,0.3101413673703975,11.182374791875283,1.482179796552507,0.6283185307179586,9.42477796076938,0.98126164564418,1
0.72,1.0000000000001195,0.26162985867057437,13.058694543226418,1.5793191460976115,0.6283185307179586,9.42477796076938,0.9807466876576617,1
0.76,1.0000000000001261,0.22180084101030187,15.197259374953527,1.6777315515883646,0.6283185307179586,9.42477796076938,0.9802651265777876,1
0.8,1.0000000000001328,0.18876265398762868,17.617635258175262,1.7769095855295358,0.6283185307179586,9.42477796076938,0.97981638300075,1
0.84,1.0000000000001394,0.16167438327916808,20.339540262056435,1.8758386328444563,0.6283185307179586,9.42477796076938,0.9793993810509213,1
0.88,1.0000000000001459,0.13904060979342905,23.382822196673814,1.9727372255749,0.6283185307179586,9.42477796076938,0.9790127182442141,1
0.92,1.0000000000001523,0.12029669047157128,26.767470600764153,2.065427174185398,0.6283185307179586,9.42477796076938,0.978654795200293,1
0.96,1.000000000000159,0.10460985170188374,30.513578664053384,2.15249147988276,0.6283185307179586,9.42477796076938,0.9783239126568554,1
1.0,1.0000000000001663,0.09130370070677812,34.64132465520382,2.234317213273989,0.6283185307179586,9.42477796076938,0.9780183394274914,1
1.04,1.0000000000001732,0.08028477085358025,39.17097914314967,2.312294108233387,0.6283185307179586,9.42477796076938,0.9777363552325045,1
1.08,1.0000000000001803,0.07060851350181235,44.12284860391163,2.3869027883946945,0.6283185307179586,9.42477796076938,0.9774762834224701,1
1.12,1.000000000000187,0.06272875101913966,49.51731744514002,2.4583407951201663,0.6283185307179586,9.42477796076938,0.9772365079727413,1
1.16,1.0000000000001945,0.05559509812835604,55.37473260837023,2.5276761760595594,0.6283185307179586,9.42477796076938,0.9770155040969392,1
1.2,1.0000000000002012,0.04977510998723244,61.715213068501804,2.5953431517302765,0.6283185307179586,9.42477796076938,0.9768118222290078,1
