t,norm,peak,ipr,pr,kstar,cryst
0.0,0.9999999999999999,1.4362512059597474,0.5298555890432224,1.8873066938969782,0.47123889803846897,0.9783311144306104
0.5,1.0000000000001936,1.6512073204824138,0.4244140877394349,2.356189459511864,0.47123889803846897,0.9831378323633052
1.0,1.000000000000422,0.031612106363804834,0.016075555831221534,62.20624720532683,0.47123889803846897,0.9741612488104534
1.5,1.0000000000006695,0.00864351655732952,0.0040402072805616526,247.51205335707039,0.47123889803846897,0.9730238575285108
2.0,1.0000000000009268,0.0036247043455398323,0.0015985935262467776,625.5498871860365,0.47123889803846897,0.972807035797863
2.5,1.0000000000011857,0.0018536636558474859,0.0007909921574119572,1264.2350377681296,0.47123889803846897,0.9727447951258973
3.0,1.0000000000014257,0.0010994431774173994,0.00045514193640928204,2197.116811272604,0.47123889803846897,0.9727262724236456
3.5,1.000000000001648,0.0006728694626279725,0.00029417750155484395,3399.30822280632,0.47123889803846897,0.9727221948641094
4.0,1.00000000000185,0.0006398427254215147,0.0002264433741294685,4416.115083271336,0.47123889803846897,0.9727233158475417
4.5,1.000000000002059,0.0007807258259960155,0.00020422268379555704,4896.615701128865,0.47123889803846897,0.9727236411514024
5.0,1.0000000000023057,0.0006989339885664711,0.00020971489452852783,4768.378527658504,0.47123889803846897,0.9727264554494637
5.5,1.0000000000025657,0.0006738425007921082,0.00019478980838752585,5133.738814561301,0.47123889803846897,0.9727312637304467
6.0,1.0000000000028326,0.0004430625594360479,0.0001892957924646911,5282.737598018866,0.47123889803846897,0.9727356470263832
6.5,1.0000000000030993,0.0004206050369903117,0.00020828637944305477,4801.0820615056045,0.47123889803846897,0.9727404173783338
7.0,1.0000000000033635,0.0018056850885430648,0.0003337193039479386,2996.5302820960082,0.47123889803846897,0.9727446031748526
7.5,1.0000000000036413,0.0017963940971498682,0.0003647667403486972,2741.478017003563,0.47123889803846897,0.972745566362275
8.0,1.0000000000039284,0.001198897580621955,0.00037418857639131165,2672.449302552303,0.47123889803846897,0.9727569525121479
8.5,1.0000000000042157,0.0019034038949408121,0.00044109875409215716,2267.0660271034762,0.47123889803846897,0.9727462138682242
9.0,1.0000000000044895,0.0023874069433383006,0.0005983817298444104,1671.1740183979502,0.47123889803846897,0.9727665098692183
9.5,1.0000000000047506,0.002583066276088989,0.0006438242014379822,1553.2190274402526,0.47123889803846897,0.9727590898465601
10.0,1.0000000000050104,0.0005567902958949474,0.00020328741877115894,4919.1435753616515,0.47123889803846897,0.9727364600713261
10.5,1.000000000005265,0.0033204748771839634,0.0008717662957918855,1147.096423464767,0.47123889803846897,0.9727841404808322
11.0,1.0000000000055045,0.00371431603768381,0.0009643847047243164,1036.930589111598,0.47123889803846897,0.972775075112395
11.5,1.000000000005748,0.000786966465221772,0.00022458109257834794,4452.734593635203,0.47123889803846897,0.972724069224283
12.0,1.0000000000059952,0.0009819583728360103,0.00027618620597025,3620.7456360355563,0.47123889803846897,0.9727331942815935
12.5,1.0000000000062435,0.004495548867773715,0.001047880163410267,954.307596343418,0.47123889803846897,0.9727953098473101
13.0,1.0000000000065046,0.002536087573020769,0.0013933377777366174,717.7010599859225,0.47123889803846897,0.9728260691140662
13.5,1.0000000000067715,0.000944352645637975,0.00037254954342161393,2684.2067522501325,0.47123889803846897,0.9727162068063873
14.0,1.0000000000070461,0.0010503084433462885,0.0002913997923195328,3431.711436854614,0.47123889803846897,0.9727045959194104
14.5,1.0000000000073204,0.0007569183964267962,0.0003032150230607955,3297.9896243448898,0.47123889803846897,0.9727089763471122
15.0,1.00000000000759,0.0006408817612827338,0.00021184297855178356,4720.477434920303,0.47123889803846897,0.9727146243957527
