t,norm,peak,ipr,pr,kstar,cryst
0.0,0.9999999999999999,1.4362512059597474,0.5298555890432224,1.8873066938969782,0.47123889803846897,0.9783311144306104
0.5,1.0000000000001938,3.1228645915490723,1.2535137386199144,0.7977575108996999,0.47123889803846897,0.975494046300132
1.0,1.0000000000003948,3.9415157409515134,1.946997082859145,0.5136114526332574,0.47123889803846897,0.9729931452935648
1.5,1.0000000000005973,4.170131021241038,2.175323509019844,0.4597017390073531,0.47123889803846897,0.9786162398759484
2.0,1.0000000000007996,4.026678837457229,2.028922876704477,0.4928723567966625,0.47123889803846897,0.9868130940971277
2.5,1.0000000000010043,3.8377833986230034,1.8448433927650112,0.5420514304475578,1.413716694115407,0.9888541184433072
3.0,1.000000000001196,3.7526003514002406,1.764912724624611,0.566600255099127,1.0995574287564276,0.9833519770141557
3.5,1.0000000000013793,3.7821053814858363,1.792231542570912,0.557963620350931,0.7853981633974483,0.9746529151043614
4.0,1.000000000001558,3.871568504745649,1.8767420091096667,0.53283828845202,0.47123889803846897,0.9696211980078037
4.5,1.0000000000017504,3.941320798196436,1.9441691571644193,0.514358535271954,0.47123889803846897,0.9729031323827599
5.0,1.0000000000019567,3.9494419587112906,1.9521222491966936,0.5122630001330625,0.47123889803846897,0.9816612207123993
5.5,1.000000000002164,3.8911297948141037,1.895565986438195,0.5275469211594259,1.0995574287564276,0.9876433043596415
6.0,1.0000000000023743,3.857934690076564,1.8636913363228176,0.5365695383727351,1.0995574287564276,0.9854732530755902
6.5,1.0000000000025824,3.840859476730592,1.8474754216305223,0.5412791901271586,0.7853981633974483,0.9774279836425486
7.0,1.000000000002793,3.8573485784559627,1.8632135474197924,0.5367071323546438,0.47123889803846897,0.9702781707238242
7.5,1.0000000000030154,3.853358271930545,1.8594241601749462,0.537800907086156,0.47123889803846897,0.9703275674660875
8.0,1.000000000003236,3.9376294856766716,1.9406534005047258,0.5152903654717116,0.47123889803846897,0.9775696549705566
8.5,1.0000000000034512,3.883204956541525,1.8879264204592245,0.5296816598163594,1.0995574287564276,0.9852323983391752
9.0,1.0000000000036646,3.8764490067501494,1.8816130102144943,0.5314589102920824,0.7853981633974483,0.9865586416074478
9.5,1.0000000000038716,3.8909809287279478,1.8953341485262278,0.527611450876659,0.7853981633974483,0.9804969714960456
10.0,1.0000000000040778,3.834715551377288,1.8416569014088753,0.542989304487169,0.47123889803846897,0.9725045451531719
10.5,1.000000000004284,3.8505442192257053,1.8570573070370449,0.5384863440727691,0.47123889803846897,0.9696633097627713
11.0,1.000000000004479,3.932041763866476,1.9351443406558477,0.5167573182996189,0.47123889803846897,0.9741602833967604
11.5,1.0000000000046825,3.857660067775099,1.863533022053702,0.5366151220105305,0.47123889803846897,0.9820445173034772
12.0,1.0000000000048823,3.8748967418445344,1.8799352775805331,0.531933206385166,0.7853981633974483,0.9860763895404229
12.5,1.000000000005086,3.8722700641677985,1.8778252190717224,0.532530924520407,0.7853981633974483,0.9829416761450497
13.0,1.0000000000052967,3.8745854923097047,1.8797293184394164,0.5319914895141483,0.47123889803846897,0.9755790535360617
13.5,1.0000000000055038,3.8991541529743605,1.9031994114661084,0.5254310157807695,0.47123889803846897,0.9705696095593586
14.0,1.0000000000057185,3.8356041068317883,1.8425998892673867,0.5427114186995841,0.47123889803846897,0.972326009658489
14.5,1.000000000005927,3.845952240021612,1.8522888516596636,0.5398726009196638,0.47123889803846897,0.9788208623364069
15.0,1.0000000000061386,3.88920217032239,1.8937126836209277,0.5280632107759459,0.7853981633974483,0.984401640551986
