t,norm,peak,PR,R_rms
0.0,1.0000000000000002,1.4366969769095943,1.968662709604115,0.6123724353664733
0.0025,1.0003852418791768,1.4379880016275337,1.9695491064186592,0.6441112138059114
0.005,1.0007118389059506,1.4417507975793562,1.9695086509871478,0.6742542128862322
0.0075,1.0010759035383041,1.4481119904321453,1.968710997312939,0.7030815953956899
0.01,1.0013950187764655,1.4566094805320708,1.9669445551690505,0.7305142849450578
0.0125,1.0018137060666839,1.4683181269594672,1.9642458027485084,0.7571866921018707
0.015,1.0022635460525138,1.4827267388393641,1.9607317199692478,0.7831241336435768
0.0175,1.002622095785389,1.5000779349152227,1.9557473191369068,0.8077250956292004
0.02,1.0029779639027754,1.5198438330098218,1.9497320595483565,0.831672116834131
0.0225,1.0033868262766212,1.5425914347473406,1.9428684699972125,0.8547856321073604
0.025,1.003698159027191,1.5678114941008212,1.9354599172170062,0.8773046485236353
0.0275,1.004073918907302,1.5960395919883494,1.9267125523674367,0.8994533432013464
0.03,1.0044112636510814,1.6273927852744556,1.9168746651406154,0.9210949861446501
0.0325,1.0047467404252035,1.661169178083805,1.9059535621168922,0.9422407658284723
0.035,1.0050165934769228,1.698067050865259,1.8941357244883201,0.9627669236534134
0.0375,1.0053835610622293,1.7385040925523214,1.880695892731101,0.9825542218484487
0.04,1.005692745575985,1.7817520338549224,1.8661070587029265,1.0018864611918499
0.0425,1.0061072577046206,1.8288676270862476,1.8504910584383332,1.0214549000429973
0.045,1.0065045542430795,1.879402946914054,1.8334246189369172,1.0404990760461221
0.0475,1.0068667043332202,1.9329258950288102,1.81512326921687,1.0587849147178108
0.05,1.0071810077732184,1.9897234122761491,1.7957786241625886,1.0768092795241402
0.0525,1.0075133364610107,2.0511201179080865,1.7747062157173512,1.0949814939206002
0.055,1.007875897218786,2.1171188453159755,1.7520597387148928,1.1130875477706135
0.0575,1.0083427087416488,2.1868955025796586,1.7279974053577274,1.130489015392852
0.06,1.0087740888168635,2.2606675662498934,1.7025548588591226,1.1475768125621177
0.0625,1.0090481519604488,2.3389763558911913,1.6755400801212414,1.1643963863430367
0.065,1.0093917868563782,2.4235845176639703,1.6464913817502125,1.180971178135592
0.0675,1.009827238557375,2.513747743959667,1.6155580800048155,1.197063751788895
0.07,1.0101407174366066,2.609405059385148,1.5832316753710611,1.2131925630168583
0.0725,1.0105556628701355,2.7116895642785215,1.548868072853828,1.229158534037988
0.075,1.0109199543413023,2.8196939843708924,1.5128273331563014,1.2448804727494887
0.0775,1.0112581044237792,2.935896293451614,1.4746163498278364,1.2599349789624046
0.08,1.0116095944962147,3.0596090730345455,1.4345527598386303,1.275147767798878
0.0825,1.011937626566074,3.191732238897481,1.3926137501058848,1.2898930985840178
0.085,1.012288672681165,3.332150264210292,1.3490347476934343,1.304542118578
0.08750000000000001,1.012661971183936,3.4829956605251007,1.3034295592113843,1.3191897904841625
0.09,1.0129867801488794,3.6461304168800943,1.255371030891926,1.3333212363795248
0.0925,1.0133812213502207,3.820525389261713,1.2057452259476764,1.3472787258241328
0.095,1.0136720362559943,4.007183807564335,1.1544056285719888,1.361479601401829
0.0975,1.0140035966101113,4.2079630903960705,1.1014821508556414,1.375452823666471
0.1,1.0142964512808696,4.425897610256523,1.0465568039230384,1.3888439845778533
0.10250000000000001,1.014715542108109,4.660140116702785,0.9907509600526633,1.4022700318282324
0.105,1.0150761284241496,4.913305032004655,0.9337708009658151,1.4157515673865986
0.1075,1.0152950182878704,5.18689622301982,0.8759833833687545,1.4292047824911873
0.11,1.0155589776059264,5.481838858553763,0.8180681919043322,1.4421717471952387
0.1125,1.0159559546890389,5.80192455610927,0.7602061713089602,1.4551030199415935
0.115,1.0163203829462517,6.148179099457025,0.7028282433905138,1.4675483070287683
0.11750000000000001,1.0167900293956307,6.521753371136013,0.646739144542127,1.4808285842326352
0.12,1.017079476298839,6.924443283873266,0.5921282322224937,1.4934232130249285
0.1225,1.0173699139704202,7.355336100188436,0.5399237572571604,1.5055984919638832
0.125,1.017713369371869,7.816356116818079,0.49041282172551964,1.518241490939512
0.1275,1.018074842389168,8.307384871792252,0.44396817736833444,1.5301464061067436
0.13,1.018360763006426,8.823288935603802,0.40115808589795593,1.5421254239977404
0.1325,1.0187292569799566,9.361309006615745,0.36223295455451,1.5542691796085168
0.135,1.0191399848400824,9.91302699263027,0.32746493696192613,1.5663069774031806
0.1375,1.0194496119296854,10.467639995287954,0.29689940581156504,1.5782754322643266
0.14,1.0197355480622001,11.01462214531274,0.270469290265884,1.590003309962944
0.14250000000000002,1.0201125851898172,11.536321801541202,0.2482560625649647,1.602124401020452
